objid	container	type	shared_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	sx	sy	sz	radius	portal_layout_crc
-543401090	-680833778	1413566031	object/tangible/terminal/shared_terminal_elevator.iff	9	-1.01	-4.87	1.37	0.707107	0	0.707107	0	1	1	1	50	0
-543401087	-680833778	1413566031	object/tangible/terminal/shared_terminal_elevator.iff	9	-1.01	-10.03	1.37	0.707107	0	0.707107	0	1	1	1	50	0
-680833777	-680833787	1396919380	object/cell/shared_cell.iff	10	0	0	0	1	0	0	0	1	1	1	0	0
-680833317	0	1112885583	object/building/tatooine/shared_housing_tatt_style03_med.iff	0	1985.27	89.7817	1788.2	0.707108	0	0.707106	0	1	1	1	512	-1537017197
-680833316	-680833317	1396919380	object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	1	1	1	0	0
-680833315	-680833317	1396919380	object/cell/shared_cell.iff	2	0	0	0	1	0	0	0	1	1	1	0	0
-680833314	-680833317	1396919380	object/cell/shared_cell.iff	3	0	0	0	1	0	0	0	1	1	1	0	0
-680833313	-680833317	1396919380	object/cell/shared_cell.iff	4	0	0	0	1	0	0	0	1	1	1	0	0
-680833312	-680833317	1396919380	object/cell/shared_cell.iff	5	0	0	0	1	0	0	0	1	1	1	0	0
-680833311	-680833317	1396919380	object/cell/shared_cell.iff	6	0	0	0	1	0	0	0	1	1	1	0	0
-680833310	-680833317	1396919380	object/cell/shared_cell.iff	7	0	0	0	1	0	0	0	1	1	1	0	0
-680833309	-680833317	1396919380	object/cell/shared_cell.iff	8	0	0	0	1	0	0	0	1	1	1	0	0
-680833308	-680833317	1396919380	object/cell/shared_cell.iff	9	0	0	0	1	0	0	0	1	1	1	0	0
-680833307	-680833317	1396919380	object/cell/shared_cell.iff	10	0	0	0	1	0	0	0	1	1	1	0	0
-680833306	-680833317	1396919380	object/cell/shared_cell.iff	11	0	0	0	1	0	0	0	1	1	1	0	0
-680833305	-680833317	1396919380	object/cell/shared_cell.iff	12	0	0	0	1	0	0	0	1	1	1	0	0
-680832464	0	1398030671	object/static/structure/tatooine/shared_wall_pristine_tatooine_large_style_01.iff	0	2000.51	89.0668	1795.51	0.707108	0	0.707105	0	1	1	1	128	0
-680832400	0	1398030671	object/static/structure/tatooine/shared_pillar_pristine_large_style_01.iff	0	2005.38	89.0668	1796.27	1	0	0	0	1	1	1	128	0
-680832213	0	1398030671	object/static/structure/tatooine/shared_wall_pristine_tatooine_large_style_01.iff	0	2009.31	89.0855	1795.49	0.707117	0	0.707096	0	1	1	1	128	0
-680832212	0	1398030671	object/static/structure/tatooine/shared_pillar_pristine_large_style_01.iff	0	2014.23	89.0668	1796.25	1	0	0	0	1	1	1	128	0
-680832122	0	1398030671	object/static/structure/tatooine/shared_wall_pristine_tatooine_large_style_01.iff	0	2013.48	89.0668	1791.28	4.63426e-006	0	1	0	1	1	1	128	0
-680831960	0	1398030671	object/static/structure/tatooine/shared_wall_pristine_tatooine_large_style_01.iff	0	2013.43	89.0668	1782.39	4.63426e-006	0	1	0	1	1	1	128	0
-680831959	0	1398030671	object/static/structure/tatooine/shared_pillar_pristine_large_style_01.iff	0	2014.21	89.0668	1786.38	0.707108	0	0.707105	0	1	1	1	128	0
-680831706	0	1398030671	object/static/structure/tatooine/shared_pillar_pristine_large_style_01.iff	0	2014.18	89.0668	1777.46	0.707111	0	0.707102	0	1	1	1	128	0
-680831705	0	1398030671	object/static/structure/tatooine/shared_wall_pristine_tatooine_large_style_01.iff	0	2013.39	89.0668	1773.47	5e-006	0	1	0	1	1	1	128	0
-680831617	0	1398030671	object/static/structure/tatooine/shared_pillar_pristine_large_style_01.iff	0	2014.14	89.0668	1768.52	0.707113	0	0.7071	0	1	1	1	128	0
-680829093	0	1398030671	object/static/structure/tatooine/shared_antenna_tatt_style_1.iff	0	2026.12	98.1977	1763.6	1	0	0	0	2.43422	2.43422	2.43422	256	0
-680828798	0	1398030671	object/static/structure/tatooine/shared_debris_tatt_pipe_dual_unconnected.iff	0	1996.95	90	1779.72	0.0157962	0	0.999875	0	1	1	1	32	0
-680828242	0	1398030671	object/static/particle/shared_particle_smoke.iff	0	1989.84	98.1243	1780.31	1	0	0	0	1	1	1	64	0
-680827270	0	1398030671	object/static/structure/tatooine/shared_planter_window_style_01.iff	0	1987.59	92.6453	1777.1	1	0	0	0	1	1	1	32	0
-680827068	0	1398030671	object/static/structure/tatooine/shared_planter_window_style_01.iff	0	1982.95	92.5795	1777.13	1	0	0	0	1	1	1	32	0
-680826956	0	1398030671	object/static/structure/tatooine/shared_planter_window_style_01.iff	0	1978.28	92.5605	1777.2	1	0	0	0	1	1	1	32	0
-680822856	0	1112885583	object/building/tatooine/shared_tower_jabbas_palace.iff	0	1982.54	25.8224	1880.83	1	0	0	0	1	1	1	512	0
-680817479	0	1398030671	object/static/structure/general/shared_palette_supply_02.iff	0	1988.68	90	1764.66	1	0	0	0	1	1	1	32	0
-680817472	0	1398030671	object/static/structure/general/shared_palette_supply_01.iff	0	1988.62	90	1767.39	1	0	0	0	1	1	1	32	0
-680817071	0	1398030671	object/static/structure/general/shared_palette_supply_05.iff	0	1988.62	90	1762.04	1	0	0	0	1	1	1	32	0
-680816641	0	1398030671	object/static/structure/tatooine/shared_palette_tatooine_food_crates_02.iff	0	1988.48	90	1759.07	1	0	0	0	1	1	1	32	0
-680815986	0	1398030671	object/static/structure/tatooine/shared_palette_tatooine_style_01.iff	0	1982.8	91.0212	1756.38	0.862807	-0.505533	0	0	1	1	1	32	0
-680814559	0	1398030671	object/static/structure/tatooine/shared_pillar_watto_junkshop.iff	0	1972	90	1745	1	0	0	0	1	1	1	128	0
-680814160	0	1398030671	object/static/structure/tatooine/shared_pillar_watto_junkshop.iff	0	1987	90	1733	1	0	0	0	1	1	1	128	0
-680813911	0	1398030671	object/static/structure/tatooine/shared_pillar_watto_junkshop.iff	0	2005	90	1733	1	0	0	0	1	1	1	128	0
-680813493	0	1398030671	object/static/structure/tatooine/shared_pillar_watto_junkshop.iff	0	2020	90	1745	1	0	0	0	1	1	1	128	0
-680810569	0	1398030671	object/static/particle/shared_pt_airport_race_light_group.iff	0	1978.63	93.6722	1764.49	-0.65521	0.641724	-0.284775	-0.278913	1	1	1	64	0
-680778233	0	1398030671	object/static/particle/shared_pt_survey.iff	0	2001.8	91.6488	1748.32	1	0	0	0	1	1	1	64	0
-680767074	0	1398030671	object/static/structure/corellia/shared_corl_power_transformer_s02.iff	0	2026.12	90	1763.65	1	0	0	0	2.82966	2.82966	2.82966	128	0
-542993390	0	1398030671	object/static/structure/tatooine/shared_tent_house_tatooine_style_01.iff	0	1996.29	90	1734.2	1.78814e-007	0	1	0	1.48997	1.48997	1.48997	200	0
-542991635	0	1398030671	object/static/structure/tatooine/shared_stair_tatooine_small_style_02.iff	0	1991	85.2529	1771	0.707108	0	0.707106	0	1	1	1	200	0
-542990610	0	1398030671	object/static/structure/tatooine/shared_pillar_pristine_large_style_01.iff	0	2007.73	89.3269	1777.73	0.707118	0	0.707095	0	1.85447	1.85447	1.85447	128	0
-542990052	0	1398030671	object/static/structure/tatooine/shared_beam_tatooine_overhead_style_01.iff	0	2006.86	88.1877	1781.35	0.676561	0.205584	0.676561	0.205584	2.9204	1.27175	1.50083	200	0
-542989929	0	1398030671	object/static/structure/tatooine/shared_beam_tatooine_overhead_style_01.iff	0	1998.78	91.4073	1778.71	1	0	0	0	3.41838	1.04108	1.67696	200	0
-542988080	0	1398030671	object/static/creature/shared_droids_dz70.iff	0	2027.28	90.5181	1758.47	0.971338	0	-0.237702	0	1	1	1	200	0
-542987926	0	1398030671	object/static/creature/shared_droids_dz70.iff	0	2022.06	93.3927	1767.54	0.48311	0	0.87556	0	1	1	1	200	0
-542986985	0	1398030671	object/static/item/shared_eqp_camping_grill_s1.iff	0	1997.37	90	1786.59	0.707107	0	-0.707107	0	4.19619	2.1068	2.30405	32	0
-542986607	0	1398030671	object/static/item/shared_eqp_camping_crate_s1.iff	0	1997.75	90	1783.67	1	0	0	0	1	1	1	32	0
-542986572	0	1398030671	object/static/item/shared_eqp_camping_crate_s1.iff	0	1997.75	90	1784.09	1	0	0	0	1	1	1	32	0
-542986449	0	1398030671	object/static/item/shared_item_cage_bamboo.iff	0	1998.45	90	1793.49	0.741834	0	0.670583	0	2.92899	2.92899	2.92899	32	0
-542986161	0	1398030671	object/static/item/shared_item_tool_stasis_field.iff	0	1997.75	90.4099	1783.9	0.99875	0	-0.0499792	0	0.841886	0.841886	0.841886	32	0
-542986071	0	1398030671	object/static/item/shared_item_tool_sensor_frequency_jammer_s2.iff	0	1996.96	91.8018	1791.12	0.633289	0	0.773915	0	1	1	1	32	0
-542986034	0	1398030671	object/static/item/shared_item_tool_sensor_beacon.iff	0	2006.8	87.8425	1778.66	1	0	0	0	4.92123	4.92123	4.92123	32	0
-542985748	0	1398030671	object/static/item/shared_item_tapestry_tatooine.iff	0	1992.12	91.2175	1776.92	1	0	0	0	1	1	1	32	0
-542985531	0	1398030671	object/static/item/shared_item_scrolling_screen.iff	0	1995.83	94.1567	1784.78	1	0	0	0	3.75119	3.75119	3.75119	32	0
-542985145	0	1398030671	object/static/item/shared_item_sclpt_stuffed_bantha.iff	0	1996.96	91.8018	1790.36	0.721383	0	0.692535	0	1	1	1	32	0
-542985048	0	1398030671	object/static/item/shared_item_security_scanner.iff	0	1996.83	91.6796	1785.56	1	0	0	0	1	1	1	32	0
-542984955	0	1398030671	object/static/item/shared_item_kitchen_pot_style_03.iff	0	1997.26	91.4213	1785.64	0.707107	0	-0.707107	0	2.29653	2.29653	2.29653	32	0
-542984928	0	1398030671	object/static/item/shared_item_kitchen_pot_style_02.iff	0	1997.54	90.9805	1785.55	0.735092	0	-0.677967	0	2.32816	2.32816	2.32816	32	0
-542984916	0	1398030671	object/static/item/shared_item_kitchen_pot_style_01.iff	0	1997.45	90.9736	1787.26	0.707107	0	0.707107	0	2.04355	2.04355	2.04355	32	0
-542979212	0	1398030671	object/static/creature/shared_tatooine_worrt.iff	0	1998.47	90.2306	1793.51	0.0057964	0	0.999983	0	3.3358	3.46658	3.49316	200	0
-542978191	0	1398030671	object/static/creature/shared_tatooine_worrt.iff	0	2000.31	90.0787	1792.74	-0.148651	0	0.98889	0	1	1	1	200	0
-542978190	0	1398030671	object/static/item/shared_item_cage_bamboo.iff	0	2000.3	90	1792.72	0.629417	0	0.777067	0	1	1	1	32	0
-542977945	0	1398030671	object/static/item/shared_item_cage_bamboo.iff	0	2000.3	90.7389	1792.71	0.748507	0	0.663126	0	1	1	1	32	0
-542977944	0	1398030671	object/static/creature/shared_tatooine_worrt.iff	0	2000.25	90.8176	1792.64	-0.0441895	0	0.999023	0	1	1	1	200	0
-542973994	0	1398030671	object/static/item/shared_item_chair_tato_cafe_s01.iff	0	2004.43	90	1783.27	1	0	0	0	1	1	1	32	0
-542973789	0	1398030671	object/static/item/shared_item_chair_tato_cafe_s02.iff	0	2001.37	90	1783.5	0.917121	0	0.398609	0	1	1	1	32	0
-542973767	0	1398030671	object/static/item/shared_item_cheap_cabinet_01.iff	0	1996.86	90	1790.85	0.707107	0	0.707107	0	1	1	1	32	0
-542971840	0	1398030671	object/static/item/shared_item_chair_tato_cafe_s02.iff	0	2002.92	90	1784.93	-0.398609	0	0.917121	0	1	1	1	32	0
-542971460	0	1398030671	object/static/item/shared_item_cheese_wheel_s1_partial.iff	0	1997.85	90.5605	1783.88	1	0	0	0	1	1	1	32	0
-542970772	0	1398030671	object/static/item/shared_item_comp_turret_base.iff	0	2004.89	90	1794.17	1	0	0	0	1	1	1	32	0
-542970141	0	1398030671	object/static/item/shared_item_component_housing.iff	0	2004.88	90.7725	1793.86	0.707107	0.707106	0	0	8.52624	8.52624	8.52624	32	0
-542967866	0	1398030671	object/static/item/shared_item_place_setting_01.iff	0	1996.96	91.8018	1790.69	1	0	0	0	1	1	1	32	0
