objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	sx	sy	sz	scripts	objvars
-2078548910	0	object/static/structure/naboo/streetlamp_naboo_theed_style_1.iff	0	1458.33	6	1897.3	0.952333	0	0.305059	0	1	1	1		buildoutObjectId|0|-2078548910|$|
-2076484780	0	object/tangible/container/jar/jar_berries_s01.iff	0	1383.57	6.0854	1530.26	0.970137	0	0.242556	0	1	1	1		buildoutObjectId|0|-2076484780|$|
-2054174542	0	object/static/structure/naboo/bridge_stairs_s01.iff	0	886.249	6	1625.84	0.924909	0	-0.380188	0	1	1	1		buildoutObjectId|0|-2054174542|$|
-2050510647	0	object/building/naboo/ac_mystril_safehouse_01_memorial.iff	0	717.365	13.0833	1525.74	-0.357693	0	0.933839	0	1	1	1		buildoutObjectId|0|-2050510647|portalProperty.crc|0|-1095192634|$|
-1866842840	-2050510647	object/cell/cell.iff	1	0	0	0	1	0	0	0	1	1	1		buildoutObjectId|0|-1866842840|$|
-1254859980	-1866842840	object/tangible/ground_spawning/area_spawner.iff	1	10.2	1.1	-4.91691	0.168224	0	0.985749	0	1	1	1	systems.spawning.spawner_area	buildoutObjectId|0|-1254859980|fltMaxSpawnTime|2|90.000000|fltMinSpawnTime|2|75.000000|fltRadius|2|0.000000|intDefaultBehavior|0|1|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|registerWithController|0|1|strName|4|ac_mystril_skirmisher|strSpawnerType|4|area|strSpawns|4|azure_cabal_mystril_skirmisher|$|
-1168917822	-1866842840	object/tangible/ground_spawning/patrol_waypoint.iff	1	10.0841	1.1	-5.68749	1	0	0	0	1	1	1	systems.spawning.patrol_point_setup	buildoutObjectId|0|-1168917822|ignoreInBuildoutArray|0|1|pointName|4|ac_mystril_slicer_10393109_12|registerWithController|0|1|$|
-330434283	-1866842840	object/tangible/ground_spawning/patrol_waypoint.iff	1	9.20528	1.1	-4.0494	1	0	0	0	1	1	1	systems.spawning.patrol_point_setup	buildoutObjectId|0|-330434283|ignoreInBuildoutArray|0|1|pointName|4|ac_mystril_slicer_10393109_11|registerWithController|0|1|$|
-1707986495	-1866842840	object/mobile/azure_cabal_mystril_skirmisher_01.iff	1	10.2	1.1	-4.91691	0.168224	0	0.985749	0	1.14168	1.14168	1.14168	systems.combat.credit_for_kills:ai.ai:ai.creature_combat:systems.combat.combat_actions:systems.skills.stealth.player_stealth:ai.soldier:systems.spawning.spawned_tracker	_notskill.mods.carbine_accuracy|0|158|_notskill.mods.force_accuracy|0|158|_notskill.mods.heavyweapon_accuracy|0|158|_notskill.mods.melee_defense|0|141|_notskill.mods.onehandlightsaber_accuracy|0|158|_notskill.mods.onehandmelee_accuracy|0|158|_notskill.mods.pistol_accuracy|0|158|_notskill.mods.polearm_accuracy|0|158|_notskill.mods.polearmlightsaber_accuracy|0|158|_notskill.mods.ranged_defense|0|141|_notskill.mods.rifle_accuracy|0|158|_notskill.mods.thrown_accuracy|0|158|_notskill.mods.toHitChance|0|158|_notskill.mods.twohandlightsaber_accuracy|0|158|_notskill.mods.twohandmelee_accuracy|0|158|_notskill.mods.unarmed_accuracy|0|158|ai.defaultCalmBehavior|0|1|ai.diction|4|military|ai.grenadeType|4|object/weapon/ranged/grenade/grenade_fragmentation|ai.rangedOnly|0|1|ai.yaw|2|133.382477|armor.armorCategory|0|1|armor.armorLevel|0|1|armor.general_protection|2|4755.000000|combat.intCombatXP|0|1838|creature_type|4|azure_cabal_mystril_skirmisher|difficultyClass|0|0|fltRespawnTime|2|88.610413|intCombatDifficulty|0|90|loot.lootTable|4|npc/npc_21_30|loot.numItems|0|0|objParent|6|-285415627639465164|socialGroup|4|mystril|$|
-1448793988	-2050510647	object/cell/cell.iff	2	0	0	0	1	0	0	0	1	1	1		buildoutObjectId|0|-1448793988|$|
-1610971003	-1448793988	object/tangible/quest/ac_quest_loc5_memorial.iff	2	-3.51546	1.10663	1.01882	0.707115	0	-0.707098	0	1	1	1	quest.task.ground.retrieve_item_on_item	buildoutObjectId|0|-1610971003|$|
-1594789638	-1448793988	object/tangible/ground_spawning/patrol_waypoint.iff	2	-8.06007	6.1	-4.0104	1	0	0	0	1	1	1	systems.spawning.patrol_point_setup	buildoutObjectId|0|-1594789638|ignoreInBuildoutArray|0|1|pointName|4|ac_mystril_slicer_10393109_6|registerWithController|0|1|$|
-1409963665	-1448793988	object/tangible/ground_spawning/patrol_waypoint.iff	2	-10.4881	6.1	0.964424	1	0	0	0	1	1	1	systems.spawning.patrol_point_setup	buildoutObjectId|0|-1409963665|ignoreInBuildoutArray|0|1|pointName|4|ac_mystril_slicer_10393109_7|registerWithController|0|1|$|
-969172719	-1448793988	object/tangible/ground_spawning/patrol_waypoint.iff	2	5.55715	4.1	7.04239	1	0	0	0	1	1	1	systems.spawning.patrol_point_setup	buildoutObjectId|0|-969172719|ignoreInBuildoutArray|0|1|pointName|4|ac_mystril_slicer_10393109_9|registerWithController|0|1|$|
-334118085	-1448793988	object/tangible/ground_spawning/patrol_waypoint.iff	2	-0.846317	1.1	-0.513513	1	0	0	0	1	1	1	systems.spawning.patrol_point_setup	buildoutObjectId|0|-334118085|ignoreInBuildoutArray|0|1|pointName|4|ac_mystril_skirmisher_10393007_2|registerWithController|0|1|$|
-292222722	-1448793988	object/tangible/ground_spawning/patrol_waypoint.iff	2	-1.80425	6.1	-5.2394	1	0	0	0	1	1	1	systems.spawning.patrol_point_setup	buildoutObjectId|0|-292222722|ignoreInBuildoutArray|0|1|pointName|4|ac_mystril_slicer_10393109_2|registerWithController|0|1|$|
-253109893	-1448793988	object/tangible/ground_spawning/patrol_waypoint.iff	2	-6.37815	6.1	6.17384	1	0	0	0	1	1	1	systems.spawning.patrol_point_setup	buildoutObjectId|0|-253109893|ignoreInBuildoutArray|0|1|pointName|4|ac_mystril_slicer_10393109_8|registerWithController|0|1|$|
-240685210	-1448793988	object/tangible/ground_spawning/patrol_waypoint.iff	2	5.83855	1.1	-3.96264	1	0	0	0	1	1	1	systems.spawning.patrol_point_setup	buildoutObjectId|0|-240685210|ignoreInBuildoutArray|0|1|pointName|4|ac_mystril_slicer_10393109_10|registerWithController|0|1|$|
-1599153254	-2050510647	object/cell/cell.iff	3	0	0	0	1	0	0	0	1	1	1		buildoutObjectId|0|-1599153254|$|
-1405357538	-1599153254	object/tangible/ground_spawning/patrol_waypoint.iff	3	-10.5529	-4.9	0.302631	1	0	0	0	1	1	1	systems.spawning.patrol_point_setup	buildoutObjectId|0|-1405357538|ignoreInBuildoutArray|0|1|pointName|4|ac_mystril_skirmisher_10393007_5|registerWithController|0|1|$|
-1240485511	-1599153254	object/tangible/ground_spawning/patrol_waypoint.iff	3	-2.21937	1.1	9.23724	1	0	0	0	1	1	1	systems.spawning.patrol_point_setup	buildoutObjectId|0|-1240485511|ignoreInBuildoutArray|0|1|pointName|4|ac_mystril_skirmisher_10393007_3|registerWithController|0|1|$|
-1021406841	-1599153254	object/tangible/ground_spawning/patrol_waypoint.iff	3	-10.1652	-1.9	10.6859	1	0	0	0	1	1	1	systems.spawning.patrol_point_setup	buildoutObjectId|0|-1021406841|ignoreInBuildoutArray|0|1|pointName|4|ac_mystril_skirmisher_10393007_4|registerWithController|0|1|$|
-2000384531	-2050510647	object/cell/cell.iff	4	0	0	0	1	0	0	0	1	1	1		buildoutObjectId|0|-2000384531|$|
-881467075	-2000384531	object/tangible/ground_spawning/patrol_waypoint.iff	4	-2.89453	1.1	-7.6868	1	0	0	0	1	1	1	systems.spawning.patrol_point_setup	buildoutObjectId|0|-881467075|ignoreInBuildoutArray|0|1|pointName|4|ac_mystril_skirmisher_10393007_1|registerWithController|0|1|$|
-465446810	-2000384531	object/tangible/ground_spawning/patrol_spawner.iff	4	-9.57891	1.1	-7.6067	1	0	0	0	1	1	1	systems.spawning.spawner_patrol	buildoutObjectId|0|-465446810|fltMaxSpawnTime|2|240.000000|fltMinSpawnTime|2|180.000000|fltRadius|2|0.000000|intDefaultBehavior|0|3|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|patrolPathType|4|oscillate|registerWithController|0|1|strName|4|ac_mystril_skirmisher|strPatrolPointNames|5|ac_mystril_skirmisher_10393007_1:ac_mystril_skirmisher_10393007_2:ac_mystril_skirmisher_10393007_3:ac_mystril_skirmisher_10393007_4:ac_mystril_skirmisher_10393007_5:ac_mystril_skirmisher_10393007_6:ac_mystril_skirmisher_10393007_7:ac_mystril_skirmisher_10393007_8:|strSpawnerType|4|patrol|strSpawns|4|azure_cabal_mystril_skirmisher|$|
-331731774	-2000384531	object/tangible/ground_spawning/area_spawner.iff	4	-8.53372	1.1	-9.18091	0.79366	0	0.608361	0	1	1	1	systems.spawning.spawner_area	buildoutObjectId|0|-331731774|fltMaxSpawnTime|2|90.000000|fltMinSpawnTime|2|75.000000|fltRadius|2|1.000000|intDefaultBehavior|0|2|intGoodLocationSpawner|0|0|intSpawnCount|0|2|intSpawnSystem|0|1|registerWithController|0|1|strName|4|ac_mystril_slicer|strSpawnerType|4|area|strSpawns|4|azure_cabal_mystril_slicer|$|
-2129522068	-2000384531	object/mobile/azure_cabal_mystril_skirmisher_02.iff	4	-9.57891	1.1	-7.6067	-0.534656	0	0.84507	0	1.18397	1.18397	1.18397	systems.combat.credit_for_kills:ai.ai:ai.creature_combat:systems.combat.combat_actions:systems.skills.stealth.player_stealth:ai.soldier:systems.spawning.patrol_spawned_tracker	_notskill.mods.carbine_accuracy|0|158|_notskill.mods.force_accuracy|0|158|_notskill.mods.heavyweapon_accuracy|0|158|_notskill.mods.melee_defense|0|141|_notskill.mods.onehandlightsaber_accuracy|0|158|_notskill.mods.onehandmelee_accuracy|0|158|_notskill.mods.pistol_accuracy|0|158|_notskill.mods.polearm_accuracy|0|158|_notskill.mods.polearmlightsaber_accuracy|0|158|_notskill.mods.ranged_defense|0|141|_notskill.mods.rifle_accuracy|0|158|_notskill.mods.thrown_accuracy|0|158|_notskill.mods.toHitChance|0|158|_notskill.mods.twohandlightsaber_accuracy|0|158|_notskill.mods.twohandmelee_accuracy|0|158|_notskill.mods.unarmed_accuracy|0|158|ai.defaultCalmBehavior|0|3|ai.diction|4|military|ai.grenadeType|4|object/weapon/ranged/grenade/grenade_fragmentation|ai.rangedOnly|0|1|ai.yaw|2|-115.358871|armor.armorCategory|0|1|armor.armorLevel|0|1|armor.general_protection|2|4755.000000|combat.intCombatXP|0|1838|creature_type|4|azure_cabal_mystril_skirmisher|difficultyClass|0|0|intCombatDifficulty|0|90|loot.lootTable|4|npc/npc_21_30|loot.numItems|0|0|socialGroup|4|mystril|$|
-1295375329	-2000384531	object/mobile/azure_cabal_mystril_slicer_02.iff	4	-8.34948	1.1	-8.2318	0.79366	0	0.608361	0	1	1	1	systems.combat.credit_for_kills:ai.ai:ai.creature_combat:systems.combat.combat_actions:systems.skills.stealth.player_stealth:ai.soldier:systems.spawning.spawned_tracker	_notskill.mods.carbine_accuracy|0|158|_notskill.mods.force_accuracy|0|158|_notskill.mods.heavyweapon_accuracy|0|158|_notskill.mods.melee_defense|0|141|_notskill.mods.onehandlightsaber_accuracy|0|158|_notskill.mods.onehandmelee_accuracy|0|158|_notskill.mods.pistol_accuracy|0|158|_notskill.mods.polearm_accuracy|0|158|_notskill.mods.polearmlightsaber_accuracy|0|158|_notskill.mods.ranged_defense|0|141|_notskill.mods.rifle_accuracy|0|158|_notskill.mods.thrown_accuracy|0|158|_notskill.mods.toHitChance|0|158|_notskill.mods.twohandlightsaber_accuracy|0|158|_notskill.mods.twohandmelee_accuracy|0|158|_notskill.mods.unarmed_accuracy|0|158|ai.defaultCalmBehavior|0|2|ai.diction|4|military|ai.grenadeType|4|object/weapon/ranged/grenade/grenade_fragmentation|ai.rangedOnly|0|1|ai.yaw|2|132.817444|armor.armorCategory|0|1|armor.armorLevel|0|1|armor.general_protection|2|4755.000000|combat.intCombatXP|0|1838|creature_type|4|azure_cabal_mystril_slicer|difficultyClass|0|0|fltRespawnTime|2|81.805466|intCombatDifficulty|0|90|loot.lootTable|4|npc/npc_21_30|loot.numItems|0|1|objParent|6|-285415626716336958|socialGroup|4|mystril|$|
-1387327619	-2000384531	object/mobile/azure_cabal_mystril_slicer_01.iff	4	-7.96007	1.1	-9.56855	0.793661	0	0.608361	-0	1	1	1	systems.combat.credit_for_kills:ai.ai:ai.creature_combat:systems.combat.combat_actions:systems.skills.stealth.player_stealth:ai.soldier:systems.spawning.spawned_tracker	_notskill.mods.carbine_accuracy|0|158|_notskill.mods.force_accuracy|0|158|_notskill.mods.heavyweapon_accuracy|0|158|_notskill.mods.melee_defense|0|141|_notskill.mods.onehandlightsaber_accuracy|0|158|_notskill.mods.onehandmelee_accuracy|0|158|_notskill.mods.pistol_accuracy|0|158|_notskill.mods.polearm_accuracy|0|158|_notskill.mods.polearmlightsaber_accuracy|0|158|_notskill.mods.ranged_defense|0|141|_notskill.mods.rifle_accuracy|0|158|_notskill.mods.thrown_accuracy|0|158|_notskill.mods.toHitChance|0|158|_notskill.mods.twohandlightsaber_accuracy|0|158|_notskill.mods.twohandmelee_accuracy|0|158|_notskill.mods.unarmed_accuracy|0|158|ai.defaultCalmBehavior|0|2|ai.diction|4|military|ai.grenadeType|4|object/weapon/ranged/grenade/grenade_fragmentation|ai.rangedOnly|0|1|ai.yaw|2|-63.466675|armor.armorCategory|0|1|armor.armorLevel|0|1|armor.general_protection|2|4755.000000|combat.intCombatXP|0|1838|creature_type|4|azure_cabal_mystril_slicer|difficultyClass|0|0|fltRespawnTime|2|83.194305|intCombatDifficulty|0|90|loot.lootTable|4|npc/npc_21_30|loot.numItems|0|0|objParent|6|-285415626716336958|socialGroup|4|mystril|$|
-2077277927	-2050510647	object/cell/cell.iff	5	0	0	0	1	0	0	0	1	1	1		buildoutObjectId|0|-2077277927|$|
-545431737	-2077277927	object/tangible/ground_spawning/patrol_waypoint.iff	5	-3.13672	6.1	-8.19691	1	0	0	0	1	1	1	systems.spawning.patrol_point_setup	buildoutObjectId|0|-545431737|ignoreInBuildoutArray|0|1|pointName|4|ac_mystril_slicer_10393109_1|registerWithController|0|1|$|
-440147987	-2077277927	object/tangible/ground_spawning/patrol_spawner.iff	5	-7.44931	6.1	-9.24346	1	0	0	0	1	1	1	systems.spawning.spawner_patrol	buildoutObjectId|0|-440147987|fltMaxSpawnTime|2|240.000000|fltMinSpawnTime|2|180.000000|fltRadius|2|0.000000|intDefaultBehavior|0|3|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|patrolPathType|4|oscillate|registerWithController|0|1|strName|4|ac_mystril_slicer|strPatrolPointNames|5|ac_mystril_slicer_10393109_1:ac_mystril_slicer_10393109_2:ac_mystril_slicer_10393109_3:ac_mystril_slicer_10393109_4:ac_mystril_slicer_10393109_5:ac_mystril_slicer_10393109_6:ac_mystril_slicer_10393109_7:ac_mystril_slicer_10393109_8:ac_mystril_slicer_10393109_9:ac_mystril_slicer_10393109_10:ac_mystril_slicer_10393109_11:ac_mystril_slicer_10393109_12:|strSpawnerType|4|patrol|strSpawns|4|azure_cabal_mystril_slicer|$|
-38029252	-2077277927	object/tangible/ground_spawning/area_spawner.iff	5	-8.42587	6.1	-8.76091	0.80262	0	0.596491	0	1	1	1	systems.spawning.spawner_area	buildoutObjectId|0|-38029252|fltMaxSpawnTime|2|90.000000|fltMinSpawnTime|2|75.000000|fltRadius|2|1.000000|intDefaultBehavior|0|2|intGoodLocationSpawner|0|0|intSpawnCount|0|2|intSpawnSystem|0|1|registerWithController|0|1|strName|4|ac_mystril_slicer|strSpawnerType|4|area|strSpawns|4|azure_cabal_mystril_slicer|$|
-165220621	-2077277927	object/mobile/azure_cabal_mystril_slicer_03.iff	5	-7.44931	6.1	-9.24346	-0.494496	0	0.86918	0	1	1	1	systems.combat.credit_for_kills:ai.ai:ai.creature_combat:systems.combat.combat_actions:systems.skills.stealth.player_stealth:ai.soldier:systems.spawning.patrol_spawned_tracker	_notskill.mods.carbine_accuracy|0|158|_notskill.mods.force_accuracy|0|158|_notskill.mods.heavyweapon_accuracy|0|158|_notskill.mods.melee_defense|0|141|_notskill.mods.onehandlightsaber_accuracy|0|158|_notskill.mods.onehandmelee_accuracy|0|158|_notskill.mods.pistol_accuracy|0|158|_notskill.mods.polearm_accuracy|0|158|_notskill.mods.polearmlightsaber_accuracy|0|158|_notskill.mods.ranged_defense|0|141|_notskill.mods.rifle_accuracy|0|158|_notskill.mods.thrown_accuracy|0|158|_notskill.mods.toHitChance|0|158|_notskill.mods.twohandlightsaber_accuracy|0|158|_notskill.mods.twohandmelee_accuracy|0|158|_notskill.mods.unarmed_accuracy|0|158|ai.defaultCalmBehavior|0|3|ai.diction|4|military|ai.grenadeType|4|object/weapon/ranged/grenade/grenade_fragmentation|ai.rangedOnly|0|1|ai.yaw|2|-120.726990|armor.armorCategory|0|1|armor.armorLevel|0|1|armor.general_protection|2|4755.000000|combat.intCombatXP|0|1838|creature_type|4|azure_cabal_mystril_slicer|difficultyClass|0|0|intCombatDifficulty|0|90|loot.lootTable|4|npc/npc_21_30|loot.numItems|0|1|socialGroup|4|mystril|$|
-1342753807	-2077277927	object/mobile/azure_cabal_mystril_slicer_03.iff	5	-8.98943	6.1	-8.60787	0.80262	0	0.596491	0	1	1	1	systems.combat.credit_for_kills:ai.ai:ai.creature_combat:systems.combat.combat_actions:systems.skills.stealth.player_stealth:ai.soldier:systems.spawning.spawned_tracker	_notskill.mods.carbine_accuracy|0|158|_notskill.mods.force_accuracy|0|158|_notskill.mods.heavyweapon_accuracy|0|158|_notskill.mods.melee_defense|0|141|_notskill.mods.onehandlightsaber_accuracy|0|158|_notskill.mods.onehandmelee_accuracy|0|158|_notskill.mods.pistol_accuracy|0|158|_notskill.mods.polearm_accuracy|0|158|_notskill.mods.polearmlightsaber_accuracy|0|158|_notskill.mods.ranged_defense|0|141|_notskill.mods.rifle_accuracy|0|158|_notskill.mods.thrown_accuracy|0|158|_notskill.mods.toHitChance|0|158|_notskill.mods.twohandlightsaber_accuracy|0|158|_notskill.mods.twohandmelee_accuracy|0|158|_notskill.mods.unarmed_accuracy|0|158|ai.defaultCalmBehavior|0|2|ai.diction|4|military|ai.grenadeType|4|object/weapon/ranged/grenade/grenade_fragmentation|ai.rangedOnly|0|1|ai.yaw|2|80.054955|armor.armorCategory|0|1|armor.armorLevel|0|1|armor.general_protection|2|4755.000000|combat.intCombatXP|0|1838|creature_type|4|azure_cabal_mystril_slicer|difficultyClass|0|0|fltRespawnTime|2|81.505371|intCombatDifficulty|0|90|loot.lootTable|4|npc/npc_21_30|loot.numItems|0|0|objParent|6|-285415626422634436|socialGroup|4|mystril|$|
-715095210	-2077277927	object/mobile/azure_cabal_mystril_slicer_03.iff	5	-9.07098	6.1	-9.28173	0.80262	0	0.596491	-0	1	1	1	systems.combat.credit_for_kills:ai.ai:ai.creature_combat:systems.combat.combat_actions:systems.skills.stealth.player_stealth:ai.soldier:systems.spawning.spawned_tracker	_notskill.mods.carbine_accuracy|0|158|_notskill.mods.force_accuracy|0|158|_notskill.mods.heavyweapon_accuracy|0|158|_notskill.mods.melee_defense|0|141|_notskill.mods.onehandlightsaber_accuracy|0|158|_notskill.mods.onehandmelee_accuracy|0|158|_notskill.mods.pistol_accuracy|0|158|_notskill.mods.polearm_accuracy|0|158|_notskill.mods.polearmlightsaber_accuracy|0|158|_notskill.mods.ranged_defense|0|141|_notskill.mods.rifle_accuracy|0|158|_notskill.mods.thrown_accuracy|0|158|_notskill.mods.toHitChance|0|158|_notskill.mods.twohandlightsaber_accuracy|0|158|_notskill.mods.twohandmelee_accuracy|0|158|_notskill.mods.unarmed_accuracy|0|158|ai.defaultCalmBehavior|0|2|ai.diction|4|military|ai.grenadeType|4|object/weapon/ranged/grenade/grenade_fragmentation|ai.rangedOnly|0|1|ai.yaw|2|-176.801361|armor.armorCategory|0|1|armor.armorLevel|0|1|armor.general_protection|2|4755.000000|combat.intCombatXP|0|1838|creature_type|4|azure_cabal_mystril_slicer|difficultyClass|0|0|fltRespawnTime|2|81.366096|intCombatDifficulty|0|90|loot.lootTable|4|npc/npc_21_30|loot.numItems|0|0|objParent|6|-285415626422634436|socialGroup|4|mystril|$|
-1584408643	-2050510647	object/cell/cell.iff	6	0	0	0	1	0	0	0	1	1	1		buildoutObjectId|0|-1584408643|$|
-1650168677	-1584408643	object/tangible/ground_spawning/patrol_waypoint.iff	6	-5.39487	-4.9	-0.456477	1	0	0	0	1	1	1	systems.spawning.patrol_point_setup	buildoutObjectId|0|-1650168677|ignoreInBuildoutArray|0|1|pointName|4|ac_mystril_skirmisher_10393007_6|registerWithController|0|1|$|
-64128526	-1584408643	object/tangible/ground_spawning/area_spawner.iff	6	-5.87322	-4.9	-7.28382	-0.602305	0	0.798266	0	1	1	1	systems.spawning.spawner_area	buildoutObjectId|0|-64128526|fltMaxSpawnTime|2|240.000000|fltMinSpawnTime|2|180.000000|fltRadius|2|0.000000|intDefaultBehavior|0|2|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|registerWithController|0|1|strName|4|ac_mystril_prime|strSpawnerType|4|area|strSpawns|4|azure_cabal_mystril_prime_01|$|
-28057986	-1584408643	object/tangible/ground_spawning/patrol_waypoint.iff	6	-9.16242	-4.9	-8.79419	1	0	0	0	1	1	1	systems.spawning.patrol_point_setup	buildoutObjectId|0|-28057986|ignoreInBuildoutArray|0|1|pointName|4|ac_mystril_skirmisher_10393007_7|registerWithController|0|1|$|
-1694274358	-1584408643	object/mobile/azure_cabal_mystril_prime_01.iff	6	-5.87322	-4.9	-7.28382	-0.602305	0	0.798266	0	1.02289	1.02289	1.02289	systems.combat.credit_for_kills:ai.ai:ai.creature_combat:systems.combat.combat_actions:systems.skills.stealth.player_stealth:ai.soldier:systems.spawning.spawned_tracker	_notskill.mods.carbine_accuracy|0|209|_notskill.mods.force_accuracy|0|209|_notskill.mods.heavyweapon_accuracy|0|209|_notskill.mods.melee_defense|0|379|_notskill.mods.onehandlightsaber_accuracy|0|209|_notskill.mods.onehandmelee_accuracy|0|209|_notskill.mods.pistol_accuracy|0|209|_notskill.mods.polearm_accuracy|0|209|_notskill.mods.polearmlightsaber_accuracy|0|209|_notskill.mods.ranged_defense|0|379|_notskill.mods.rifle_accuracy|0|209|_notskill.mods.thrown_accuracy|0|209|_notskill.mods.toHitChance|0|209|_notskill.mods.twohandlightsaber_accuracy|0|209|_notskill.mods.twohandmelee_accuracy|0|209|_notskill.mods.unarmed_accuracy|0|209|ai.defaultCalmBehavior|0|2|ai.diction|4|military|ai.grenadeType|4|object/weapon/ranged/grenade/grenade_fragmentation|ai.rangedOnly|0|1|ai.yaw|2|64.783516|armor.armorCategory|0|1|armor.armorLevel|0|1|armor.general_protection|2|7697.000000|combat.intCombatXP|0|1891|creature_type|4|azure_cabal_mystril_prime_01|difficultyClass|0|1|fltRespawnTime|2|212.683670|intCombatDifficulty|0|92|loot.lootTable|4|npc/elite_npc:elite_npc_31_40|loot.numItems|0|0|objParent|6|-285415626448733710|socialGroup|4|mystril|$|
-1099527039	-2050510647	object/cell/cell.iff	7	0	0	0	1	0	0	0	1	1	1		buildoutObjectId|0|-1099527039|$|
-1666956454	-1099527039	object/tangible/ground_spawning/patrol_waypoint.iff	7	9.20922	6.1	-4.14003	1	0	0	0	1	1	1	systems.spawning.patrol_point_setup	buildoutObjectId|0|-1666956454|ignoreInBuildoutArray|0|1|pointName|4|ac_mystril_slicer_10393109_5|registerWithController|0|1|$|
