main	company	header	title	names	text
			Compatibility Lab		
				Jason Zimmerman	
				Ryan Boyle	
				Eric Logie	
			Executive Director of Global Customer Service		
				Brad Wilcox	
			Star Wars Galaxies In-Game Support Manager		
				Sharon Morris	
			Customer Service Supervisors		
				Timothy Vick	
				Kyle Vallee	
			Senior GM's		
				Ethan Nason	
				Preston Bianco	
				Keith Rekoske	
				Dan Binter	
			GM's		
				Melissa Laybhen	
				Jason Peffley	
				Patrick Murphy	
				Chris Garlick	
				Chase Gee	
				Andy Peck	
				Sheloman Byrd	
				Jared Sones	
				David Villegas	
				Brian Bokelman	
				Jorge Sabala	
				Reg Mizell	
			Star Wars Galaxies Subject Matter Expert		
				Jeremy Conrad	
					
		MARKETING			
			SVP Global Sales and Marketing		
				Torrie Dorrell	
			VP of Marketing		
				Michael Lustenberger	
			Senior Brand Manager		
				Debysue Wolfcale	
			Marketing Coordinator		
				Sara Cohen	
			Director of Web Presence		
				Jacob Robinson	
					
		BUSINESS DEVELOPMENT			
			Director, Busines Development		
				Louis Figueroa	
					
		TECHNICAL OPERATIONS			
			Vice President, Operations		
				Michael Bowen	
			Project Management		
				Krista Benson	
				Dennis Gaudinez	
				Eric Weiss	
			Director of SOE Security		
				Bryan Blank	
			Director of Operations		
				Jeremy Johnson	
			Associate Manager, Operations		
				David Prestin	
			Operations Team Leads		
				Steven Davis	
				Thomas Delzer	
				Eric Flynn	
			Operations Team		
				Ben Cohee	
				Ben Cole	
				Ron Corning	
				Robert Maul	
				Gary Neffendorf	
				Chris Richard	
				Roger Sewell	
				Chris Trichel	
				Jesus Zarosa	
			Director of Production Systems		
				Mark Preston	
			Production Systems Team		
				Thomas Jackson	
				Sid Jaffee	
				Kirk Lightfoot	
				Kevin Ying	
			Network Engineering Team		
				Brett Hawn	
				Travis Neidens	
				Steve Scheck	
			Director of Office Systems		
				Jeff Bolaris	
			Office Systems Team		
				Bryant Clark	
				Lisa Doleshal	
				Domenico Scaduto	
				Felicity Santo	
				Jeremy Siprelle	
				Loren G. Skeels	
				Nate Wright	
			Manager of Operational Engineering		
				Ted Garrington	
			Operational Engineering Developers		
				Timothy Arland	
				Ogi Boras	
				Chad Folz	
				Greg Herzbrun	
				Matthew Reynolds	
				David Taylor	
				Gordon Tetlow	
				Clint Urbanek	
					
		PLATFORM SERVICES			
			Vice President of Technology		
				Chris Yates	
			Administrative Assistant		
				Rowena Luansing	
			Executive Director, Platform Operations		
				David Dhunjishaw	
			Project Management		
				Jenné McPherson	
				Bonnie Davison	
				Robin Goldie	
				Wendy Kim	
				Kumiko Yuasa	
				Amy Oilman	
			Director, Engineering		
				Narayanan Gopala	
			Application Engineering Team		
				Jake Fear	
				Aaron Dressin	
				David Almilli	
				Matt Houser	
				Anthony Aarobone	
				Chris Sheddy	
				John Van Roekel	
				Michael Miljour	
				Mike Walters	
				Tina Ngo	
				Paul Christenson	
				Phil Sunbury	
				Mark Brennan	
				David Keene	
				Rob Thomas	
				Bob Bamford	
				Andres March	
			Systems Engineering Team		
				Chris Rosa	
				Rick Smith	
				Tavish Margers	
				Pablo Herrero	
				Thomas Farthing	
				Robert Kline	
				Wei Li	
				Hoa Nguyen	
				Michael Falcon	
				Phil Bouchard	
				Jeff Jones	
				Casey Winn	
				Dan Gorman	
				William Kemper	
				Chris Rosner	
				Grat Crabtree	
			Manager of Quality Assurance		
				Enrico Bernardo	
			Quality Assurance Team		
				Vien Truong	
				Thanh Nguyen	
				Bethany Rockley	
				Ben Babeshkin	
				David Bennett	
				Derek Freese	
				Elenor Larsson	
				Wilson Oen	
				Carl Flaherty	
				Karen Leslie	
			Creative Director, Product Design		
				Nathan Pearce	
			Creative Design Team		
				Eric Schmitter	
				Tony Kodis	
				David Goebel	
			Director, Web Development		
				Greg Short	
			Web Development Team		
				Nicholas Davison	
				Kyle Blackman	
				Sean White	
				Monte Green	
				Tim Cox	
			Director of Database Services		
				David Manifold	
			Database Services Team		
				Aaron Valdes	
				David Green	
				Marjorie Vaccaro	
				John McGovern	
				Aaron Hollenberg	
				Archana Pansuria	
				Nick Verenini	
				Donyl Cruz	
				Eric Ho	
				Taylor Steil	
				Mahesh Kalyanetti	
				Sherry Liu	
					
		INTERNATIONAL OPERATIONS			
			Executive Director of International Operations		
				Matt Sivertson	
			Project Management		
				Stacey Sofia-McDaniel	
				David Kim	
				James Whisenant	
				Raymond Nguyen Tan Truong	
			Technical Manager		
				Robert McEntee	
			Engineering Team		
				Jason Polk	
				Devon Kim	
				Stacy Griebel	
				Chris Lee	
				Katty Bashir	
				Lina Liang	
				Bill Mauer	
				Jacky Ho	
				Duy Le	
			Localization Liasons		
				Adriano Vasco	
				Bernard Dambron	
					
		PRODUCT DEVELOPMENT			
			Director of Technology		
				Rich Lawerence	
			Project Management		
				Bruce Ferguson	
				Mike Gaylord	
				Ty Keith	
					
		LEGAL DEPARTMENT			
			Vice President, Legal and Business Affairs		
				Rick Herman	
			Staff Counsel		
				Kelly Conway	
			Legal Coordinator & Contracts Administrator		
				Olivia Malmstrom	
					
		EXECUTIVE STAFF - SONY ONLINE ENTERTAINMENT			
			Chairman of the Board		
				Yair Landau	
			President		
				John Smedley	
			Chief Operations Officer		
				Russell Shanks	
			Chief Financial Officer		
				John Needham	
			Chief Technology Officer		
				Adam Joffe	
			Senior Vice President and General Counsel		
				Andy Zaffron	
			Executive Assistants		
				Marsha Gygax	
				Pam Impson	
				Christine Lena	
					
	LucasArts				
			Senior Director		
				Jason Willig	
			Senior Producer		
				Brian Lowe	
			Producer		
				Jake Neri	
			Producer		
				Julio Torres	
			Assistant Producer		
				Tim Temmerman	
			Localization Producer		
				Hiromi Okamoto	
			International Production Assistant		
				Ken Balough	
					
		QUALITY ASSURANCE			
			Quality Assurance Supervisor		
				Toby Mast	
			Co-Leads		
				Sean Thomson	
				Edmund Shih	
			Testers		
				Kevin Au Young	
				Steve Braman	
				Jeff Diaz	
				Joe Acedillo	
				Orion Kellogg	
				Grace Morales	
				Ian Riutta	
				Hugh Moore	
				Gabriel Roland	
				Nick Wilson	
			Compatability Supervisor and Lead Technical Writer		
				Lynn Taylor	
			Sr. Lead Compatability Technician		
				Chris Adams	
			Lead Compatability Technician		
				Brian Deksnys	
			Compatability Technician		
				Cory Fulchiron	
				John Shields	
				Lester Siat	
			QS Computer Technician		
				John Carsey	
					
		PRODUCT SUPPORT / MASTERING LAB			
			Supervisor		
				Jay Geraci	
			Senior Product Support Technician		
				Jason Smith	
			Senior Technician Master Lab		
				Scott Taylor	
			Master Lab Technician		
				Eric Rauch	
					
		VOICE, SOUND, AND MUSIC			
			Audio and Internation Manager		
				Darragh O'Farrell	
			Lead Sound Designer		
				Todd Davies	
			Associate Sound Designer		
				James Diaz	
					
					Original Star Wars music composed by John Williams (P) and © Lucasfilm Ltd. & TM. 
					
					All rights reserved. Used under authorization. Published by Bantha Music (BMI).
					Administered by and/or co-published with Warner-Tamerlane Music Publishing Corp.
					
			Music Arranging and editing		
				Jesse Harlin	
			Music Composer		
				Anna Karney	
					
		MARKETING			
			VP Marketing and Sales		
				Nancy MacIntyre	
			Director of Marketing		
				Kevin Kurtz	
			Product Brand Manager		
				Michael Webster	
			Assistant Product Brand Manager		
				Patrick Alvarado	
					
		PUBLIC RELATIONS			
			Director of Public Relations		
				Jaime Rupert	
			Public Relations Manager		
				Amy Stojsavljevic	
					
		SALES AND OPERATIONS			
			Director of Sales and Operations		
				Kevin Kebodeaux	
			Sales Coordinator		
				Mike Maguire	
			Materials Manager		
				Evelyne Bolling	
					
		FINANCE			
			VP Finance		
				Kevin Weston	
			Senior Manager of Financial Planning		
				Melissa Galicia	
			Senior Financial Analyst		
				Malachi Boyle	
					
					
			IT Services		
				Victor Tancredi-Ballugera	
				Greg Millies	
				Melanie Jacobson	
				Brendan Lloyd	
				Brad Grantham	
				John Von Eichhorn	
					
			COA Bonus DVD		
				New Wave Entertainment (NWE)	
					
			Bonus DVD Producer (NWE)		
				Paul Schneider	
					
			Bonus DVD Creative (NWE)		
				Vicki Shivley	
					
			Bonus DVD Designer (NWE)		
				Joyce Elsroad	
					
			Bonus DVD Programming (NWE)		
				Justin Loyd	
					
					
			Manual		
				Studio QED	
					
			Manual Producer		
				Heather Dougal Wright	
					
			Manual Creative Director		
				Steven Wright	
					
			Packaging Design		
				Hamagami - Carrol	
					
			Mail Services		
				Kevin Song	
					
			Lucasfilm Licensing		
				Stacy Cheregotis	
				Chris Gollaher	
				Leland Chee	
				Stacy Arnold-Strider	
					
			Special Thanks		
				Jim Ward	
				Peter Hirschmann	
				Kevin Weston	
				Anne Marie Hawkins	
				Atsuko Matsumoto	
				Seth Steinberg	
				Mette Adams	
				Matt Urban	
				Scott Taylor	
				Atsuko Matsumoto	
				Brett Tosti	
				Seth Steinberg	
				Haden Blackman	
				Gina	
					
					
					
					
			Very Special Thanks		
				George Lucas	
					
					
					
					Uses Miles Sound System. Copyright © 1991-2000 by RAD Game Tools, Inc. MPEG Layer-3 playback supplied with the Miles Sound
					System from RAD Game Tools, Inc. MPEG Layer-3 audio compression technology licensed by Fraunhofer IIS and THOMPSON multimedia.
					Miles 3D Realistic Sound Experience (RSX) Software Copyright © 1997-1999 by Intel Corporation and RAD Game Tools, Inc.
					Portions of this software are Copyright 1998-2001 Criterion Software Ltd. and its licensors.
					Portions of this software are libpng version 1.2.5 - October 3, 2002. © 1998-2002 Glenn Randers-Pehrson.
					Regular expression support is provided by the PCRE library package, which is open source software, written by Philip Hazel, and copyright by the University of Cambridge, England. © 1997-2001 University of Cambridge.
					ftp://ftp.csx.cam.ac.uk/pub/software/programming/pcre/
					Uses Bink Video Technology. Copyright (C) 1997-2005 by RAD Game Tools, Inc.
					
					
STAR WARS GALAXIES: TRIALS OF OBI-WAN					
					
	Sony Online Entertainment				
					
		PRODUCTION MANAGEMENT			
			Senior Producer		
				Dallas Dickinson	
			Producer		
				Grant McDaniel	
			Art Director		
				Whitney Ayres	
			Assistant Art Director		
				Jeff Dobson	
			Creative Director		
				Chris Cao	
			Project Manager		
				Andrew Boyd	
			Technical Director		
				William Dalton	
					
		PRODUCTION LEADS			
			Lead Artist, Architecture		
				Andrew Collins	
			Lead Artist, Characters		
				Jason Minor	
			Lead Artist, Environments		
				Jared Carr	
			Lead Designer, Expansion		
				Eli Holding	
			Lead Designer, Live		
				Dan Rubenfield	
			Lead Designer, Systems		
				Jeff Freeman	
			Lead Programmer, Client		
				Damon Osgood	
			Lead Programmer, Expansion		
				John Wesley Watson	
			Lead Programmer, Infrastructure		
				Justin Randall	
			Lead Programmer, Live		
				Roy Fleck	
			Lead Programmer, Server		
				Doug Mellencamp	
			Associate Producers		
				David Jones	
				Mario Rizzo	
					
		ART			
			Artists		
				Don Alexander	
				Bill Daly	
				Abigail Daniel	
				Chris Douglas	
				Will Kier	
				Rick Knox	
				Robert Kovach	
				Bernadette LaCarte	
				Dave Nevala	
				Alan Pickett	
				Eric Prince	
				Andrew Risch	
				Joel Thomas	
				Damon Waldrip	
			World Building		
				Alexis Allen	
				Will Kier	
				Dave Nevala	
				Andrew Risch	
			Additional Art		
				Boston Animation	
					
		GAME DESIGN			
			Expansion Designers		
				Jeff Carpenter	
				Travis Hicks	
				Niklas Johansson	
				Reece Thornton	
				Will Wallace	
			Live Designers		
				Todd Bailey	
				Jesse Benjamin	
				Thomas Blair	
				Lisa Farina	
				Michael Farone	
				Hollis Gray	
				Mark Halash	
				Janessa Johansson	
				Sam Lewis	
				James Pratt	
				Sheri Graner Ray 	
				Kai Steinmann	
				Pete Warner	
				David White	
					
		PROGRAMMING			
			Buildmaster		
				Ryan Smith	
			Programmer, Expansion		
				Jeff Uriarte	
			Programmers, Live		
				Jordan Albert	
				Matthew Bogue	
				Ben Earhart	
				Tobias Ford	
				Rob Hanz	
				Michael Howard	
				Adam Hunter	
				Steve Jakab	
				Neal Kettler	
				John Matzen	
				Bill Mauer	
				Huy Nguyen	
				Eric Sebesta	
				Robert Sitton	
				Ryan Smith	
				Vijay Thakkar	
				Tony Tyson	
					
		COMMUNITY			
			Director, Global Community Relations		
				Alan Crosby	
			Community Relations Coordinator		
				Aimee Rekoske	
			Events Manager		
				Jason Ryan	
			Director of Community Relations, SWG		
				Diane Migliaccio	
			Community Relations Manager		
				Kurt Stangl	
			Community Relations Representatives		
				Vaughn Garvin	
				Paul Williams	
					
		STUDIO MANAGEMENT			
			Vice President of Development		
				John Blakely	
			Director of Development		
				Todd Fiala	
			Executive Assistant		
				Rhonda Loeliger	
			HR Manager - Austin		
				Sheri Davenport	
					
		CUSTOMER SERVICE AND QUALITY ASSURANCE			
			Vice President of CS & QA		
				George Scotto	
			Director of Quality Assurance		
				Tony Rado	
			SOE Quality Assurance Supervisor/SOE Lead Quality Assurance Analyst		
				Taylor Haley	
			SOE Assistant Lead Quality Assurance Analyst		
				Christine Chugon	
				Jeff Haskell	
				Scott Snopel	
				Robert Nelson	
			SOE Quality Assurance Analysts		
				Will Hayes	
				Annete Rogers	
				Floyd Billings	
				Brian Ferguson	
				Howard Tang	
				James Michener	
				Brett Acuff	
				Brissia Jimenez	
				Christian Holton	
				Michael Honea	
				Richard North	
			International Quality Assurance Liaison		
				Ryan Wells	
			Compatibility Lab Lead		
				Ryan Antonelli	
			Compatibility Lab		
				Gary Binkley	
				Jorge d'Argence	
				Chris Johnson	
			Executive Director, In-Game Support		
				Scott Mattson	
			Director, Customer Service		
				Thomas Terrazas	
			Technical Support Customer Service Manager		
				Victor Ramirez	
			Star Wars Galaxies In-Game Support Manager		
				Satao Minami	
			Senior CS Supervisor		
				Bruce Economy	
			Customer Service Supervisor		
				Kyle Vallee	
			Senior CSRs		
				Ethan Nason	
				Joseph Wreggelsworth	
				Keith Rekoske	
				Preston Bianco	
			CSRs		
				Chris Garlick	
				Jason Peffley	
				Jorge Sabala	
				Melissa Laybhen	
				Patrick Murphy	
				Timothy Vick	
			Special Thanks		
				Christine Chugon	
				Jay Dunn	
				Daniel Wilhite	
					
					
		MARKETING			
			Senior Brand Manager		
				Debysue Wolfcale	
			Marketing Coordinator		
				Sara Cohen	
					
		TECHNICAL OPERATIONS			
			Vice President		
				Michael Bowen	
			Project Management		
				Krista Benson	
				Cameron Enfinger	
				Dennis Gaudinez	
			Director of SOE Security		
				Bryan Blank	
			Director of Network and Facilities Architecture		
				Dani Roisman	
			Director of Operations		
				Jeremy Johnson	
			Associate Manager, Operations		
				David Prestin	
			Operations Team Leads		
				Steven Davis	
				Thomas Delzer	
			Operations Team		
				Ben Cohee	
				Ben Cole	
				Eric Flynn	
				Anthony Gervais	
				Robert Maul	
				Chris Richard	
				Roger Sewell	
				Chris Trichel	
				Cory Wynn	
				Jesus Zarosa	
			Director of Production Systems		
				Mark Preston	
			Production Systems Team		
				David Corning	
				Bryan Glogowski	
				Sid Jaffee	
				Kirk Lightfoot	
				Kevin Ying	
			Director of Network Engineering		
				Brook Bailey	
			Network Engineering Team		
				Brett Hawn	
				Steve Scheck	
				Geoff Wade	
			Director of Office Systems		
				Jeff Bolaris	
			Office Systems Team		
				Bryant Clark	
				Lisa Doleshal	
				Domenico Scaduto	
				Felicity Santo	
				Jeremy Siprelle	
				Loren G. Skeels	
				Nate Wright	
			Manager of Operational Engineering		
				Ted Garrington	
			Operational Engineering Developers		
				Timothy Arland	
				Ogi Boras	
				Chad Folz	
				Greg Herzbrun	
				Matthew Reynolds	
				David Taylor	
				Gordon Tetlow	
					
		PLATFORM SERVICES			
			Vice President of Technology		
				Chris Yates	
			Director of Platform Operations		
				David Dhunjishaw	
			Project Management		
				Jenné McPherson	
				Bonnie Davison	
				Marie Harrington	
				Wendy Kim	
			Director, Technology & Development		
				Mick Giles	
			Application Engineering Team		
				Duy Le	
				David Keene	
				Jason Parrott	
				John Van Roekel	
				Jake Fear	
				David Almilli	
				Michael Miljour	
				Matt Houser	
				Andres March	
				Mike Walters	
				Chris Sheddy	
				Aaron Dressin	
				Rob Thomas	
				Mark Brennan	
			Manager of Systems Engineering		
				Thomas Farthing	
			Systems Engineering Team		
				Dan Gorman	
				Pablo Herrero	
				Jeff Jones	
				Bob Kline	
				Tavish Margers	
				Chris Rosa	
				Rick Smith	
				Casey Winn	
				William Kemper	
			Manager of Quality Assurance		
				Enrico Bernardo	
			Quality Assurance Team		
				Benjamin Babeshkin	
				David Bennett	
				Thanh Nguyen	
				Bethany Rockey	
				Vien Truong	
			Creative Director, Web Presence		
				Nathan Pearce	
			Director of Operations, Web Presence		
				Greg Short	
			Creative Designer		
				Eric Schmitter	
			Web Presence Project Manager		
				Steve Fuller	
			Content Team		
				Adam Stevens	
			Web Production Team		
				Tim Cox	
				Nick Davison	
				Monte Green	
				Jacob Robinson	
				Paul Tighe	
				Tony Kodis	
				Travis Gregory	
			Director of Database Services		
				David Manifold	
			Database Services Team		
				Archana Pansuria	
				John McGovern	
				Aaron Valdes	
				David Green	
				Natik Ameen	
				Taylor Steil	
				Marjorie Vacaro	
				Scott Rappoport	
				Aaron Hollenberg	
					
		INTERNATIONAL OPERATIONS			
			Executive Director of International Operations		
				Matt Sivertson	
			Project Management		
				Stacey Sofia-McDaniel	
				David Kim	
				James Whisenant	
			Technical Manager		
				Robert McEntee	
			Engineering Team		
				Jason Polk	
				Devon Kim	
				Stacy Griebel	
				Chris Lee	
				Katty Bashir	
				Lina Liang	
				Bill Mauer	
				Jacky Ho	
			International Marketing Coordinators		
				Caroline Amiguet	
				Taskin Sayilir	
			Localization Liasons		
				Adriano Vasco	
				Bernard Dambron	
				Kumiko Yuasa	
					
		PRODUCT DEVELOPMENT			
			Director of Technology		
				Rich Lawerence	
			Project Management		
				Mike Gaylord	
				Ty Keith	
					
		LEGAL DEPARTMENT			
			Vice President, Legal and Business Affairs		
				Rick Herman	
			Staff Counsel		
				Kelly Conway	
			Legal Administrator		
				Lisa Yadao	
					
		EXECUTIVE STAFF - SONY ONLINE ENTERTAINMENT			
			Chairman of the Board		
				Yair Landau	
			President		
				John Smedley	
			Chief Operations Officer		
				Russell Shanks	
			Chief Creative Officer		
				Raph Koster	
			Chief Financial Officer		
				John Needham	
			Chief Technology Officer		
				Adam Joffe	
			Senior Vice President and General Counsel		
				Andy Zaffron	
					
					
	LucasArts				
			Director of Marketing		
				Nancy MacIntyre	
			Producer		
				Julio Torres	
			Production / Marketing Assistant		
				Cameron Suey	
				Patrick Alvarado	
					
		QUALITY ASSURANCE			
			Lead Tester		
				Tim Temmerman	
			Assistant Lead Testers		
				Sean Thomson	
				Edmund Shih	
			Testers		
				Kevin Au Young	
				Sony Green	
				Ian Riutta	
				Hugh Moore	
				Steve Braman	
				Gabriel Roland	
				Tom Drake	
				Grace Morales	
				Orion Kellogg	
				Jeff Diaz	
			Compatibility Supervisor and Lead Technical Writer		
				Lynn Taylor	
			Sr. Lead Compatibility Technician		
				Dan Martinez	
			Lead Compatibility Technician		
				Kim Jardin	
			Compatibility Technicians		
				Brian Deksnys	
				John Shields	
				Lester Siat	
				Isaiah Webb	
			Additional Compatibility Testing		
				Jason Smith	
				Scott Taylor	
			QS Computer Technician		
				John Carsey	
			Manager of Quality Services		
				Paul Purdy	
			Supervisor of Quality Services		
				Chuck McFadden	
					
		PRODUCT SUPPORT			
			Supervisor		
				Jay Geraci	
					
		VOICE, SOUND, AND MUSIC			
			Audio and International Manager		
				Darragh O'Farrell	
			Lead Sound Designer		
				Todd Davies	
					
					Original Star Wars music composed by John Williams (P) and © Lucasfilm Ltd. & TM. 
					All rights reserved. Used under authorization. Published by Bantha Music (BMI).
					Administered by and/or co-published with Warner-Tamerlane Music Publishing Corp.
					
			Music Arranging and editing		
				Jesse Harlin	
			Music Composer		
				Anna Karney	
					
		PUBLIC RELATIONS AND MARKETING			
			Director of Public Relations		
				Anne Marie Stein	
			Public Relations Manager		
				Casey Keefe	
			Internet Marketing		
				Jim Passalacqua	
					
			IT Services		
				Victor Tancredi-Ballugera	
				Greg Millies	
				Melanie Jacobson	
				Brendan Lloyd	
				John Von Eichhorn	
				Brad Grantham	
			Manual Editor		
				Matthew Keast	
				Ken Balough	
			Packaging Design		
				Ayzenberg	
			Game Trailers		
				Aspect Ratio	
			In Game Movies		
				Brain Zoo Studios	
					
		SALES AND OPERATIONS			
			Sales Coordinator		
				Mike Maguire	
			Sales Analyst		
				Greg Robles	
			Director of Sales Operations		
				Jason Horstman	
			Materials Manager		
				Evelyne Bolling	
			Mail Services		
				Gabriel McDonald	
				Kevin Song	
			Facilities		
				Sandi Manesis	
				John Knowles	
				Paul Jennings	
				Catherine Durand	
			LucasArts Business Affairs		
				Anne Marie Hawkins	
				Mark Barbolak	
				Seth Steinberg	
			Lucasfilm Licensing		
				Stacy Cheregotis	
				Chris Gollaher	
				Kristi Kaufman	
				Leland Chee	
				Bijani Mizell	
				Jennie Nuccio	
					
			Special Thanks		
				Jim Ward	
				Peter Hirschmann	
				Kevin Weston	
				Howard Hoffman	
				Mark Barbolak	
				Haden Blackman	
				Atsuko Matsumoto	
				Paul Jennings	
				Mike Gallo	
				Andy Alamano	
				Jordan Arnold	
				Tom McCarthy	
				Paul Pierce	
				Seth Steinberg	
				Peggy Ary	
				Mette Adams	
				Matt Urban	
				Scott Taylor	
				Siri	
				SPI of London	
				Peter Whiteside	
				Michelle Lessley	
				Brett Tosti	
				Jannett Shirley-Paul	
				Mary Carter	
				Gina	
					
			Very Special Thanks		
				George Lucas	
					
					
					Uses Miles Sound System. Copyright © 1991-2000 by RAD Game Tools, Inc. MPEG Layer-3 playback supplied with the Miles Sound
					System from RAD Game Tools, Inc. MPEG Layer-3 audio compression technology licensed by Fraunhofer IIS and THOMPSON multimedia.
					Miles 3D Realistic Sound Experience (RSX) Software Copyright © 1997-1999 by Intel Corporation and RAD Game Tools, Inc.
					Portions of this software are Copyright 1998-2001 Criterion Software Ltd. and its licensors.
					Portions of this software are libpng version 1.2.5 - October 3, 2002. © 1998-2002 Glenn Randers-Pehrson.
					Regular expression support is provided by the PCRE library package, which is open source software, written by Philip Hazel, and copyright by the University of Cambridge, England. © 1997-2001 University of Cambridge.
					ftp://ftp.csx.cam.ac.uk/pub/software/programming/pcre/
					Uses Bink Video Technology. Copyright (C) 1997-2005 by RAD Game Tools, Inc.
					
					
					
					
STAR WARS GALAXIES: RAGE OF THE WOOKIEES					
	Sony Online Entertainment				
			Studio Manager		
				John Blakely	
			Executive Producer		
				Rich Vogel	
			Senior Producer		
				Gary Gattis	
			Producers		
				J. Allen Brack	
				Dallas Dickinson	
			Project Managers		
				Andrew Boyd	
				Grant McDaniel	
			Technical Director		
				William Dalton	
			Art Directors		
				Whitney Ayres	
				Jake Rodgers	
			Assistant Art Director		
				Jeff Dobson	
			Creative Director		
				Cinco Barnes	
			ROTW Lead Programmer		
				John Wesley Watson	
			ROTW Lead Designer		
				Cinco Barnes	
			ROTW Lead Artist		
				Jake Rodgers	
			Live Lead Server Programmer		
				Doug Mellencamp	
			Live Lead Client Programmer		
				Damon Osgood	
			Live Lead Designer		
				Kirk Black	
			Production Special Thanks		
				Robert Pfister	
				Gordon Walton	
				Forrest Workman	
					
		ROTW PROGRAMMING			
			ROTW Lead Programmer		
				John Wesley Watson	
			Programmer		
				Eric Sebesta	
					
		LIVE PROGRAMMING			
			Live Lead Server Programmer		
				Doug Mellencamp	
			Live Lead Client Programmer		
				Damon Osgood	
			Programmers		
				Matthew Bogue	
				Rick Delashmit	
				Ben Earhart	
				Roy Fleck	
				Tobias Ford	
				Michael Howard	
				Adam Hunter	
				Steve Jakab	
				John Matzen	
				Bill Mauer	
				Huy Nguyen	
				Tim Perry	
				Justin Randall	
				Robert Sitton	
				Vijay Thakkar	
				Calan Thurow	
				Tony Tyson	
				Jeff Uriarte	
				Xiaofeng Ye	
			Programming Special Thanks		
				Jeff Grills	
				Chris Mayer	
				Anthony L. Sommers	
					
		ART			
			Art Directors		
				Whitney Ayres	
				Jake Rodgers	
			ROTW Lead Artist		
				Jake Rodgers	
			Production Designer		
				Arnie Jorgensen	
			Artists		
				Don Alexander	
				Jared Carr	
				Andrew Collins	
				Bill Daly	
				Abigail Daniel	
				Chris Douglas	
				Walter Imes	
				Will Kier	
				Rick Knox	
				Robert Kovach	
				Bernadette LaCarte	
				Jason Minor	
				Dave Nevala	
				Cid Newman	
				Alan Pickett	
				Eric Prince	
				Andrew Risch	
				Jake Rodgers	
				Joel Thomas	
				Damon Waldrip	
				Sam Yeates	
			Art Special Thanks		
				Dan Borth	
				Christine Chugon	
				Cid Newman	
			Additional Art		
				Boston Animation	
			ROTW World Building		
				Jared Carr	
				Will Kier	
				Dave Nevala	
				Andrew Risch	
				Jake Rodgers	
					
		ROTW DESIGN			
			Lead Designer		
				Cinco Barnes	
			Designers		
				Michael Farone	
				Jeff Freeman	
				Travis Hicks	
				Eli Holding	
				Janessa Johansson	
				Niklas Johansson	
				Dan Rubenfield	
				Reece Thornton	
				Will Wallace	
		LIVE DESIGN			
			Lead Designer		
				Kirk Black	
			Designers		
				Alexis Allen	
				Todd Bailey	
				Thomas Blair	
				Jeff Carpenter	
				Lisa Farina	
				Hollis Gray	
				Sam Lewis	
				Sheri Graner Ray 	
				Brandon Reinhart	
				Kai Steinmann	
				Pete Warner	
				David White	
			UI Designer		
				James Pratt	
