component	engine	booster	weapon_0	weapon_1
bst_mandal_improved_jbj_mk3				
bst_mandal_jbj_mk1				
bst_mandal_jbj_mk2				
bst_mandal_jbj_mk3				
bst_mandal_jbj_mk4				
bst_mandal_jbj_mk5				
bst_mandal_limited_jbj_mk5				
bst_mandal_modified_jbj_mk2				
bst_mission_reward_imperial_rss_ion_booster				
bst_mission_reward_neutral_mandal_m_series				
bst_mission_reward_neutral_mandal_q_series				
bst_mission_reward_rebel_novaldex_hypernova				
bst_mission_reward_rebel_qualdex_halcyon				
bst_mk1				
bst_mk2				
bst_mk3				
bst_mk4				
bst_mk5				
bst_moncal_advanced				
bst_moncal_charged_heavy				
bst_moncal_deluxe_standard				
bst_moncal_elite				
bst_moncal_enhanced_elite				
bst_moncal_heavy				
bst_moncal_jlc37				
bst_moncal_limited_jlc37				
bst_moncal_rare_advanced				
bst_moncal_standard				
bst_nova_breaker				
bst_novaldex_pulsar				
bst_novaldex_pulsar_advanced				
bst_novaldex_quasar				
bst_novaldex_quasar_advanced				
bst_qualdex_xboost_mk1				
bst_qualdex_xboost_mk2				
bst_qualdex_xboost_mk3				
bst_qualdex_xboost_mk4				
bst_reward_incom_elite				
bst_reward_koensayr_elite				
bst_reward_kuat_elite				
bst_reward_novaldex_elite				
bst_reward_qualdex_elite				
bst_rss_special				
bst_sap_imperial_1				
bst_sap_imperial_2				
bst_sds_enhanced_imperial_2				
bst_sfs_imperial_1				
bst_sfs_imperial_2				
bst_slayn_ion_booster_mk1				
bst_sorosuub_enhanced_liberator_mk4				
bst_sorosuub_improved_liberator_mk2				
bst_sorosuub_liberator_mk1				
bst_sorosuub_liberator_mk2				
bst_sorosuub_liberator_mk3				
bst_sorosuub_liberator_mk4				
bst_sorosuub_liberator_mk5				
bst_sorosuub_prized_liberator_mk1				
bst_sorosuub_supercharged_liberator_mk3				
bst_sorosuub_well_tuned_liberator_mk5				
bst_subpro_accelatron_mk1				
bst_subpro_accelatron_mk2				
bst_subpro_accelatron_mk3				
bst_subpro_accelatron_mk4				
bst_subpro_accelatron_mk5				
bst_subpro_deluxe_accelatron_mk3				
bst_subpro_elite_accelatron_mk5				
bst_subpro_enhanced_accelatron_mk2				
bst_subpro_modified_accelatron_mk4				
bst_subpro_tuned_accelatron_mk1				
bst_surronian_accelerator_mk1				
bst_surronian_accelerator_mk2				
bst_surronian_nomad_x4				
bst_surronian_nomad_x8				
bst_tiefighter_basic				
bst_xwing_booster_s01				
bst_z95_basic				
eng_bezelbok_kessel_runner	triwing_engine_s02:engine1			
eng_corellian_cruiser_grade_mk1	triwing_engine_s01:engine1			
eng_corellian_cruiser_grade_mk2	triwing_engine_s01:engine1			
eng_corellian_deluxe_cruiser_grade_mk1	triwing_engine_s01:engine1			
eng_crafted_incom_fusialthrust	triwing_engine_s01:engine1			
eng_crafted_novaldex_eventhorizon	triwing_engine_s02:engine1			
eng_crafted_qualdex_kyromaster	triwing_engine_s02:engine1			
eng_cygnus_hd3	triwing_engine_s01:engine1			
eng_cygnus_hd7	triwing_engine_s01:engine1			
eng_cygnus_hd8	triwing_engine_s01:engine1			
eng_cygnus_hd_5	triwing_engine_s01:engine1			
eng_cygnus_hdx	triwing_engine_s01:engine1			
eng_damorian_rx7	triwing_engine_s01:engine1			
eng_freitek_dual_jet	triwing_engine_s01:engine1			
eng_gallofree_advanced	triwing_engine_s01:engine1			
eng_gallofree_jx2	triwing_engine_s01:engine1			
eng_gallofree_jx3	triwing_engine_s01:engine1			
eng_generic	triwing_engine_s01:engine1			
eng_h17_singularity	triwing_engine_s02:engine1			
eng_haor_chall_old_engine	triwing_engine_s01:engine1			
eng_incom_advanced	triwing_engine_s01:engine1			
eng_incom_advanced_fusialthrust	triwing_engine_s01:engine1			
eng_incom_e16	triwing_engine_s01:engine1			
eng_incom_elite	triwing_engine_s01:engine1			
eng_incom_fusialthrust	triwing_engine_s01:engine1			
eng_incom_fusialthrust_2	triwing_engine_s01:engine1			
eng_incom_heavy_fusialthrust	triwing_engine_s01:engine1			
eng_incom_improved_fusialthrust_2	triwing_engine_s01:engine1			
eng_incom_light_fusialthrust	triwing_engine_s01:engine1			
eng_koensayr_advanced	triwing_engine_s01:engine1			
eng_koensayr_dual_small_ionjet	triwing_engine_s01:engine1			
eng_koensayr_elite	triwing_engine_s01:engine1			
eng_koensayr_enhanced_dual_small_ionjet	triwing_engine_s01:engine1			
eng_koensayr_heavy_ionjet	triwing_engine_s01:engine1			
eng_koensayr_ionjet	triwing_engine_s01:engine1			
eng_koensayr_small_ionjet	triwing_engine_s01:engine1			
eng_koensayr_tuned_small_ionjet	triwing_engine_s01:engine1			
eng_kongar_defender	triwing_engine_s01:engine1			
eng_kse_a2x	triwing_engine_s01:engine1			
eng_kse_a5x	triwing_engine_s01:engine1			
eng_kse_a7x	triwing_engine_s01:engine1			
eng_kse_a8x	triwing_engine_s01:engine1			
eng_kse_advanced	triwing_engine_s01:engine1			
eng_kse_elite	triwing_engine_s01:engine1			
eng_kse_improved_a2x	triwing_engine_s01:engine1			
eng_kuat_a9x	triwing_engine_s01:engine1			
eng_kuat_f31	triwing_engine_s01:engine1			
eng_kuat_tc40	triwing_engine_s01:engine1			
eng_mandal_advanced	triwing_engine_s01:engine1			
eng_mandal_elite	triwing_engine_s01:engine1			
eng_mandal_enhanced_heavy	triwing_engine_s01:engine1			
eng_mandal_firestorm	triwing_engine_s01:engine1			
eng_mandal_firestorm_2	triwing_engine_s01:engine1			
eng_mandal_heavy	triwing_engine_s01:engine1			
eng_mandal_x37_vandal	triwing_engine_s01:engine1			
eng_mandal_x57_vandal	triwing_engine_s01:engine1			
eng_mission_reward_imperial_cygnus_megadrive	triwing_engine_s02:engine1			
eng_mission_reward_neutral_haor_chall_military	triwing_engine_s02:engine1			
eng_mission_reward_neutral_mandal_inferno	triwing_engine_s02:engine1			
eng_mission_reward_rebel_incom_military	triwing_engine_s02:engine1			
eng_mk1	triwing_engine_s01:engine1			
eng_mk2	triwing_engine_s01:engine1			
eng_mk3	triwing_engine_s02:engine1			
eng_mk4	triwing_engine_s02:engine1			
eng_mk5	triwing_engine_s02:engine1			
eng_moncal_charged_standard	triwing_engine_s01:engine1			
eng_moncal_enhanced_light	triwing_engine_s01:engine1			
eng_moncal_heavy	triwing_engine_s01:engine1			
eng_moncal_ifs32	triwing_engine_s01:engine1			
eng_moncal_ifs64	triwing_engine_s01:engine1			
eng_moncal_improved_heavy	triwing_engine_s01:engine1			
eng_moncal_light	triwing_engine_s01:engine1			
eng_moncal_standard	triwing_engine_s01:engine1			
eng_novaldex_advanced	triwing_engine_s01:engine1			
eng_novaldex_eventhorizon	triwing_engine_s02:engine1			
eng_novaldex_light_eventhorizon	triwing_engine_s01:engine1			
eng_novaldex_singularity	triwing_engine_s02:engine1			
eng_novaldex_x12	triwing_engine_s02:engine1			
eng_novaldex_x6	triwing_engine_s01:engine1			
eng_novaldex_x7	triwing_engine_s01:engine1			
eng_novaldex_x9	triwing_engine_s01:engine1			
eng_nubian_221	triwing_engine_s01:engine1			
eng_nubian_221_racing_mod	triwing_engine_s01:engine1			
eng_prototype	triwing_engine_s02:engine1			
eng_qualdex_a10	triwing_engine_s02:engine1			
eng_qualdex_a13	triwing_engine_s01:engine1			
eng_qualdex_advanced	triwing_engine_s01:engine1			
eng_qualdex_b10	triwing_engine_s01:engine1			
eng_qualdex_elite	triwing_engine_s01:engine1			
eng_qualdex_igt	triwing_engine_s02:engine1			
eng_qualdex_kyromaster	triwing_engine_s02:engine1			
eng_qualdex_small_kyromaster	triwing_engine_s01:engine1			
eng_quantum_ion_drive	triwing_engine_s02:engine1			
eng_rendili_demon_mk1	triwing_engine_s01:engine1			
eng_rendili_elite	triwing_engine_s01:engine1			
eng_rss_advanced	triwing_engine_s01:engine1			
eng_rss_elite	triwing_engine_s01:engine1			
eng_rss_imperial_skyrunner	triwing_engine_s01:engine1			
eng_rss_imperial_skyrunner_2	triwing_engine_s01:engine1			
eng_rss_imperial_skyrunner_3	triwing_engine_s01:engine1			
eng_rss_imperial_skyrunner_4	triwing_engine_s01:engine1			
eng_sds_imperial_1	triwing_engine_s01:engine1			
eng_sds_imperial_2	triwing_engine_s01:engine1			
eng_sds_limited_imperial_1	triwing_engine_s01:engine1			
eng_seinar_ps56	triwing_engine_s01:engine1			
eng_sfs_advanced	triwing_engine_s01:engine1			
eng_sfs_elite	triwing_engine_s01:engine1			
eng_sfs_imperial_1	triwing_engine_s01:engine1			
eng_sfs_imperial_2	triwing_engine_s01:engine1			
eng_sfs_imperial_3	triwing_engine_s01:engine1			
eng_sfs_imperial_4	triwing_engine_s01:engine1			
eng_sfs_imperial_5	triwing_engine_s01:engine1			
eng_sfs_modified_imperial_3	triwing_engine_s01:engine1			
eng_sfs_performance_imperial_1	triwing_engine_s01:engine1			
eng_sfs_tuned_imperial_2	triwing_engine_s01:engine1			
eng_sorosuub_l_337_ion_engine	triwing_engine_s01:engine1			
eng_sorosuub_tuned_l_337_ion_engine	triwing_engine_s01:engine1			
eng_sorosuub_u83r_ion_drive	triwing_engine_s01:engine1			
eng_subpro_light_engines	triwing_engine_s01:engine1			
eng_surronian_a2	triwing_engine_s02:engine1			
eng_surronian_a25	triwing_engine_s02:engine1			
eng_ubrikkian_n2	triwing_engine_s01:engine1			
eng_kessel_imperial_rendili_hyperion_drive	triwing_engine_s01:engine1			
eng_kessel_imperial_sds_special_forces	triwing_engine_s01:engine1			
eng_kessel_imperial_sfs_special_forces	triwing_engine_s01:engine1			
eng_kessel_rebel_incom_t11_elite	triwing_engine_s01:engine1			
eng_kessel_rebel_novaldex_blackhole_elite	triwing_engine_s01:engine1			
eng_kessel_rebel_novaldex_grb1138	triwing_engine_s01:engine1			
eng_reward_kuat_elite	triwing_engine_s01:engine1			
eng_nova_01	triwing_engine_s01:engine1			
eng_orion_01	triwing_engine_s01:engine1			
collection_reward_engine_01_mk1	triwing_engine_s01:engine1			
collection_reward_engine_01_mk2	triwing_engine_s01:engine1			
collection_reward_engine_01_mk3	triwing_engine_s01:engine1			
collection_reward_engine_01_mk4	triwing_engine_s01:engine1			
collection_reward_engine_01_mk5	triwing_engine_s01:engine1			
eng_t86_shooting_star	triwing_engine_s01:engine1			
eng_kuat_m24	triwing_engine_s01:engine1			
wpn_advanced_blaster			ywing_weapon1_s05:weapon1	ywing_weapon2_s05:turretyaw1
wpn_advanced_blaster_green			ywing_weapon1_s05:weapon1	ywing_weapon2_s05:turretyaw1
wpn_advanced_disruptor			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_advanced_ioncannon			ywing_weapon1_s06:weapon1	triwing_weapon2_s01:weapon1
wpn_armek_advanced			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_armek_elite			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_armek_sw4			ywing_weapon1_s06:weapon1	ywing_weapon2_s06:turretyaw1
wpn_armek_sw6			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_armek_sw7			ywing_weapon1_s06:weapon1	ywing_weapon2_s06:turretyaw1
wpn_armek_sw8			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_awing_blaster			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_borstel_rg9			ywing_weapon1_s06:weapon1	ywing_weapon2_s06:turretyaw1
wpn_bwing_blaster			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_corellian_1d			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_corellian_ag1g_laser			ywing_weapon1_s04:weapon1	ywing_weapon2_s04:turretyaw1
wpn_corellian_ag2g_quad_laser			ywing_weapon1_s04:weapon1	ywing_weapon2_s04:turretyaw1
wpn_corellian_cruiser_grade_blaster_mk1			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_corellian_heavy_gauss			ywing_weapon1_s06:weapon1	ywing_weapon2_s06:turretyaw1
wpn_crafted_incom_disruptor			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_crafted_slayn_ioncannon			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_crafted_subpro_tripleblaster			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_crafted_tractor_beam			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_cygnus_destroyer_mk1			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_cygnus_destroyer_mk2			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_cygnus_elite			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_cygnus_eradicator_1			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_experimental_blaster			ywing_weapon1_s05:weapon1	ywing_weapon2_s05:turretyaw1
wpn_experimental_blaster_green			ywing_weapon1_s05:weapon1	ywing_weapon2_s05:turretyaw1
wpn_experimental_disruptor			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_experimental_ioncannon			ywing_weapon1_s06:weapon1	triwing_weapon2_s01:weapon1
wpn_fastspray_2000_disruptor			ywing_weapon1_s06:weapon1	ywing_weapon2_s06:turretyaw1
wpn_freitek_cannoneer_mk1			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_gyrhil_auto_blaster			ywing_weapon1_s04:weapon1	ywing_weapon2_s04:turretyaw1
wpn_gyrhil_r9x			ywing_weapon1_s06:weapon1	ywing_weapon2_s06:turretyaw1
wpn_haor_chall_speedblaster			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_heavy_blaster			ywing_weapon1_s05:weapon1	ywing_weapon2_s05:turretyaw1
wpn_heavy_blaster_green			ywing_weapon1_s05:weapon1	ywing_weapon2_s05:turretyaw1
wpn_heavy_disruptor			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_heavy_ioncannon			ywing_weapon1_s06:weapon1	triwing_weapon2_s01:weapon1
wpn_hk_modified_scorcher_elite			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_hk_scorcher			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_hk_scorcher_2			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_hk_scorcher_3			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_hk_scorcher_advanced			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_hk_scorcher_elite			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_hk_scorcher_heavy			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_hoersch_railgun			ywing_weapon1_s06:weapon1	ywing_weapon2_s06:turretyaw1
wpn_incom_advanced_blaster			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_incom_blaster			triwing_weapon1_s01:weapon1	ywing_weapon2_s05:turretyaw1
wpn_incom_disruptor			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_incom_elite_quad_blaster			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_incom_heavy_blaster			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_incom_heavy_quad_blaster			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_incom_light_blaster			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_incom_quad_blaster			triwing_weapon1_s01:weapon1	ywing_weapon2_s04:turretyaw1
wpn_incom_shredder			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_incom_tt13			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_incom_tt8			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_kdy_pounder_mk1			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_koensayr_deluxe_ion_accelerator			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_koensayr_ion_accelerator			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_koensayr_ion_accelerator_2			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_koensayr_ion_accelerator_3			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_koensayr_ion_accelerator_advanced			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_koensayr_light_disruptor			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_koensayr_tuned_light_disruptor			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_kse_double_blaster			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_kse_light_disruptor			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_light_blaster			ywing_weapon1_s05:weapon1	ywing_weapon2_s05:turretyaw1
wpn_light_blaster_green			ywing_weapon1_s05:weapon1	ywing_weapon2_s05:turretyaw1
wpn_light_disruptor			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_light_ioncannon			ywing_weapon1_s06:weapon1	triwing_weapon2_s01:weapon1
wpn_mandal_advanced_annihilator			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_mandal_annihilator_mk2			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_mandal_annilhator_mk1			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_mandal_elite_annihilator			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_mandal_enhanced_mangler_mk1			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_mandal_heavy_annihilator			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_mandal_mangler_mk1			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_mandal_qv3_disruptor			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_mandal_qv5_disruptor			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_mandal_super_mangler			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_medium_blaster			ywing_weapon1_s05:weapon1	ywing_weapon2_s05:turretyaw1
wpn_medium_blaster_green			ywing_weapon1_s05:weapon1	ywing_weapon2_s05:turretyaw1
wpn_medium_disruptor			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_medium_ioncannon			ywing_weapon1_s06:weapon1	ywing_weapon2_s06:turretyaw1
wpn_mining_laser_mk1			ywing_weapon1_s05:weapon1	ywing_weapon2_s05:turretyaw1
wpn_mining_laser_mk2			ywing_weapon1_s05:weapon1	ywing_weapon2_s05:turretyaw1
wpn_mining_laser_mk3			ywing_weapon1_s05:weapon1	ywing_weapon2_s05:turretyaw1
wpn_mission_reward_imperial_cygnus_starblaster			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_mission_reward_imperial_sds_boltdriver			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_mission_reward_neutral_borstel_disruptor			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_mission_reward_neutral_hk_military_blaster			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_mission_reward_neutral_mandal_light_blaster			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_mission_reward_rebel_incom_tricannon			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_mission_reward_rebel_taim_ion_driver			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_moncal_light_blaster			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_prototype			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_prototype_tie			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_rendili_advanced			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_rendili_fr13_disruptor			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_rendili_fr9_disruptor			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_rendili_sc3_disruptor			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_rendili_sc8_disruptor			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_rss_imperial_cannon			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_sds_elite			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_sds_heavy_imperial_spc_forces_cannon			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_sds_imperial_blaster_1			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_sds_imperial_blaster_2			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_sds_imperial_special_forces_cannon			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_sds_modified_elite			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_seinar_disruptor			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_seinar_ion_cannon			ywing_weapon1_s06:weapon1	triwing_weapon2_s01:weapon1
wpn_seinar_linked_cannon			ywing_weapon1_s06:weapon1	ywing_weapon2_s06:turretyaw1
wpn_seinar_ls1			ywing_weapon1_s05:weapon1	ywing_weapon2_s05:turretyaw1
wpn_seinar_ls72			ywing_weapon1_s05:weapon1	ywing_weapon2_s05:turretyaw1
wpn_sfs_elite			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_sfs_imperial_blaster_1			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_sfs_imperial_blaster_2			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_sfs_imperial_blaster_3			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_sfs_imperial_blaster_4			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_sfs_imperial_special_forces_blaster			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_sfs_improved_imperial_blaster_2			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_slayn_deluxe_light_ioncannon			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_slayn_ioncannon			ywing_weapon1_s06:weapon1	triwing_weapon2_s01:weapon1
wpn_slayn_light_ioncannon			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_subpro_advanced_cannon			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_subpro_improved_light_ioncannon			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_subpro_light_ioncannon			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_subpro_modified_tricannon			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_subpro_tricannon			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_subpro_tripleblaster			ywing_weapon1_s04:weapon1	ywing_weapon2_s04:turretyaw1
wpn_subpro_tripleblaster_mark2			ywing_weapon1_s04:weapon1	ywing_weapon2_s04:turretyaw1
wpn_subpro_tripleblaster_mark3			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_taim_elite			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_taim_heavy_laser			ywing_weapon1_s05:weapon1	ywing_weapon2_s05:turretyaw1
wpn_taim_ix4			ywing_weapon1_s05:weapon1	ywing_weapon2_s05:turretyaw1
wpn_taim_ix5			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_taim_kx5			ywing_weapon1_s05:weapon1	ywing_weapon2_s05:turretyaw1
wpn_taim_kx8			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_taim_kx9			ywing_weapon1_s05:weapon1	ywing_weapon2_s05:turretyaw1
wpn_tieadvanced_blaster			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_tractor_pulse_gun			ywing_weapon1_s05:weapon1	ywing_weapon2_s05:turretyaw1
wpn_trandoshan_fg1a			ywing_weapon1_s06:weapon1	ywing_weapon2_s06:turretyaw1
wpn_vengeance_ion_cannon			ywing_weapon1_s06:weapon1	triwing_weapon2_s01:weapon1
wpn_vulcan_cannon			ywing_weapon1_s06:weapon1	ywing_weapon2_s06:turretyaw1
wpn_z95_blaster			triwing_weapon1_s01:weapon1	triwing_weapon2_s01:weapon1
wpn_heavy_ionic_pulse_weapon			ywing_weapon1_s06:weapon1	triwing_weapon2_s01:weapon1
wpn_crafted_mining_laser_mk1			ywing_weapon1_s05:weapon1	ywing_weapon2_s05:turretyaw1
wpn_crafted_mining_laser_mk2			ywing_weapon1_s05:weapon1	ywing_weapon2_s05:turretyaw1
wpn_crafted_mining_laser_mk3			ywing_weapon1_s05:weapon1	ywing_weapon2_s05:turretyaw1
wpn_crafted_mining_laser_elite			ywing_weapon1_s05:weapon1	ywing_weapon2_s05:turretyaw1
wpn_ionic_pulse_weapon			ywing_weapon1_s06:weapon1	triwing_weapon2_s01:weapon1
