component	engine	booster	weapon_0	weapon_1	weapon_2	modification_0
bst_incom_intimidator_mk2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_incom_intimidator_mk3		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_incom_intimidator_mk4		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_incom_mynock		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_incom_nkj31		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_incom_performance_nkj31		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_incom_sls_1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_incom_supercharged_vynock		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_incom_vynock		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kde_br12		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kessel_imperial_cygnus_hyperthrust		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kessel_imperial_sds_experimental_b7		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kessel_imperial_sfs_ultra_thrust		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kessel_rebel_incom_quicksilver		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kessel_rebel_incom_windrunner		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kessel_rebel_mandal_lightning_m1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_koensayr_advanced		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_koensayr_charged_advanced		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_koensayr_deluxe_elite		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_koensayr_elite		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_koensayr_evh12		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_koensayr_heavy		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_koensayr_modified_heavy		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_koensayr_racer_mk1		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_koensayr_racer_mk2		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_koensayr_racer_mk3		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_koensayr_racer_mk4		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_koensayr_special_evh12		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_koensayr_improved_standard		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_koensayr_standard		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kse_als_1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kse_bti1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kse_bti2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kse_bti3		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kse_cb6		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kse_deluxe_bti3		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kse_elite_als_1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kse_enhanced_bti2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kse_performance_bti1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kse_performance_cb6		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kuat_military_mk1		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_kuat_military_mk2		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_kuat_military_mk3		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kuat_military_mk4		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_mandal_deluxe_jbj_mk4		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_mandal_enhanced_jbj_mk1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_mandal_improved_jbj_mk3		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_mandal_jbj_mk1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_mandal_jbj_mk2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_mandal_jbj_mk3		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_mandal_jbj_mk4		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_mandal_jbj_mk5		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_mandal_limited_jbj_mk5		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_mandal_modified_jbj_mk2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_mission_reward_imperial_rss_ion_booster		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_mission_reward_neutral_mandal_m_series		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_mission_reward_neutral_mandal_q_series		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_mission_reward_rebel_novaldex_hypernova		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_mission_reward_rebel_qualdex_halcyon		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_mk1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_mk2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_mk3		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_mk4		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_mk5		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_moncal_advanced		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_moncal_charged_heavy		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_moncal_deluxe_standard		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_moncal_elite		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_moncal_enhanced_elite		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_moncal_heavy		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_moncal_jlc37		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_moncal_limited_jlc37		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_moncal_rare_advanced		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_moncal_standard		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_nova_breaker		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_novaldex_pulsar		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_novaldex_pulsar_advanced		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_novaldex_quasar		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_novaldex_quasar_advanced		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_qualdex_xboost_mk1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_qualdex_xboost_mk2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_qualdex_xboost_mk3		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_qualdex_xboost_mk4		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_reward_incom_elite		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_reward_koensayr_elite		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_reward_kuat_elite		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_reward_novaldex_elite		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_reward_qualdex_elite		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_rss_special		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sap_imperial_1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sap_imperial_2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sds_enhanced_imperial_2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sfs_imperial_1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sfs_imperial_2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_slayn_ion_booster_mk1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sorosuub_enhanced_liberator_mk4		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sorosuub_improved_liberator_mk2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sorosuub_liberator_mk1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sorosuub_liberator_mk2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sorosuub_liberator_mk3		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sorosuub_liberator_mk4		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sorosuub_liberator_mk5		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sorosuub_prized_liberator_mk1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sorosuub_supercharged_liberator_mk3		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sorosuub_well_tuned_liberator_mk5		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_subpro_accelatron_mk1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_subpro_accelatron_mk2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_subpro_accelatron_mk3		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_subpro_accelatron_mk4		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_subpro_accelatron_mk5		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_subpro_deluxe_accelatron_mk3		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_subpro_elite_accelatron_mk5		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_subpro_enhanced_accelatron_mk2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_subpro_modified_accelatron_mk4		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_subpro_tuned_accelatron_mk1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_surronian_accelerator_mk1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_surronian_accelerator_mk2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_surronian_nomad_x4		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_surronian_nomad_x8		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_tiefighter_basic		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_xwing_booster_s01		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_z95_basic		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
eng_bezelbok_kessel_runner	z95x_engine_pos_s02:engine_pos1,z95x_engine_neg_s02:engine_neg1					
eng_corellian_cruiser_grade_mk1	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_corellian_cruiser_grade_mk2	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_corellian_deluxe_cruiser_grade_mk1	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_crafted_incom_fusialthrust	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_crafted_novaldex_eventhorizon	z95x_engine_pos_s02:engine_pos1,z95x_engine_neg_s02:engine_neg1					
eng_crafted_qualdex_kyromaster	z95x_engine_pos_s02:engine_pos1,z95x_engine_neg_s02:engine_neg1					
eng_cygnus_hd3	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_cygnus_hd7	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_cygnus_hd8	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_cygnus_hd_5	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_cygnus_hdx	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_damorian_rx7	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_freitek_dual_jet	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_gallofree_advanced	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_gallofree_jx2	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_gallofree_jx3	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_generic	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_h17_singularity	z95x_engine_pos_s02:engine_pos1,z95x_engine_neg_s02:engine_neg1					
eng_haor_chall_old_engine	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_incom_advanced	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_incom_advanced_fusialthrust	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_incom_e16	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_incom_elite	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_incom_fusialthrust	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_incom_fusialthrust_2	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_incom_heavy_fusialthrust	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_incom_improved_fusialthrust_2	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_incom_light_fusialthrust	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_koensayr_advanced	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_koensayr_dual_small_ionjet	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_koensayr_elite	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_koensayr_enhanced_dual_small_ionjet	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_koensayr_heavy_ionjet	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_koensayr_ionjet	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_koensayr_small_ionjet	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_koensayr_tuned_small_ionjet	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_kongar_defender	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_kse_a2x	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_kse_a5x	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_kse_a7x	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_kse_a8x	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_kse_advanced	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_kse_elite	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_kse_improved_a2x	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_kuat_a9x	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_kuat_f31	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_kuat_tc40	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_mandal_advanced	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_mandal_elite	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_mandal_enhanced_heavy	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_mandal_firestorm	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_mandal_firestorm_2	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_mandal_heavy	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_mandal_x37_vandal	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_mandal_x57_vandal	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_mission_reward_imperial_cygnus_megadrive	z95x_engine_pos_s02:engine_pos1,z95x_engine_neg_s02:engine_neg1					
eng_mission_reward_neutral_haor_chall_military	z95x_engine_pos_s02:engine_pos1,z95x_engine_neg_s02:engine_neg1					
eng_mission_reward_neutral_mandal_inferno	z95x_engine_pos_s02:engine_pos1,z95x_engine_neg_s02:engine_neg1					
eng_mission_reward_rebel_incom_military	z95x_engine_pos_s02:engine_pos1,z95x_engine_neg_s02:engine_neg1					
eng_mk1	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_mk2	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_mk3	z95x_engine_pos_s02:engine_pos1,z95x_engine_neg_s02:engine_neg1					
eng_mk4	z95x_engine_pos_s02:engine_pos1,z95x_engine_neg_s02:engine_neg1					
eng_mk5	z95x_engine_pos_s02:engine_pos1,z95x_engine_neg_s02:engine_neg1					
eng_moncal_charged_standard	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_moncal_enhanced_light	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_moncal_heavy	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_moncal_ifs32	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_moncal_ifs64	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_moncal_improved_heavy	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_moncal_light	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_moncal_standard	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_novaldex_advanced	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_novaldex_eventhorizon	z95x_engine_pos_s02:engine_pos1,z95x_engine_neg_s02:engine_neg1					
eng_novaldex_light_eventhorizon	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_novaldex_singularity	z95x_engine_pos_s02:engine_pos1,z95x_engine_neg_s02:engine_neg1					
eng_novaldex_x12	z95x_engine_pos_s02:engine_pos1,z95x_engine_neg_s02:engine_neg1					
eng_novaldex_x6	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_novaldex_x7	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_novaldex_x9	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_nubian_221	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_nubian_221_racing_mod	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_prototype	z95x_engine_pos_s02:engine_pos1,z95x_engine_neg_s02:engine_neg1					
eng_qualdex_a10	z95x_engine_pos_s02:engine_pos1,z95x_engine_neg_s02:engine_neg1					
eng_qualdex_a13	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_qualdex_advanced	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_qualdex_b10	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_qualdex_elite	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_qualdex_igt	z95x_engine_pos_s02:engine_pos1,z95x_engine_neg_s02:engine_neg1					
eng_qualdex_kyromaster	z95x_engine_pos_s02:engine_pos1,z95x_engine_neg_s02:engine_neg1					
eng_qualdex_small_kyromaster	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_quantum_ion_drive	z95x_engine_pos_s02:engine_pos1,z95x_engine_neg_s02:engine_neg1					
eng_rendili_demon_mk1	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_rendili_elite	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_rss_advanced	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_rss_elite	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_rss_imperial_skyrunner	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_rss_imperial_skyrunner_2	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_rss_imperial_skyrunner_3	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_rss_imperial_skyrunner_4	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_sds_imperial_1	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_sds_imperial_2	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
eng_sds_limited_imperial_1	z95x_engine_pos_s01:engine_pos1,z95x_engine_neg_s01:engine_neg1					
