component	engine	booster	weapon_0
bst_surronian_nomad_x4		cloakshape_booster_s01:booster1	
bst_surronian_nomad_x8		cloakshape_booster_s01:booster1	
bst_tiefighter_basic		awing_booster_s02:booster1	
bst_xwing_booster_s01		cloakshape_booster_s01:booster1	
bst_z95_basic		cloakshape_booster_s01:booster1	
eng_bezelbok_kessel_runner	awing_engine_s02:engine1		
eng_corellian_cruiser_grade_mk1	cloakshape_engine_s01:engine1		
eng_corellian_cruiser_grade_mk2	cloakshape_engine_s01:engine1		
eng_corellian_deluxe_cruiser_grade_mk1	cloakshape_engine_s01:engine1		
eng_crafted_incom_fusialthrust	cloakshape_engine_s01:engine1		
eng_crafted_novaldex_eventhorizon	awing_engine_s02:engine1		
eng_crafted_qualdex_kyromaster	awing_engine_s02:engine1		
eng_cygnus_hd3	cloakshape_engine_s01:engine1		
eng_cygnus_hd7	cloakshape_engine_s01:engine1		
eng_cygnus_hd8	cloakshape_engine_s01:engine1		
eng_cygnus_hd_5	cloakshape_engine_s01:engine1		
eng_cygnus_hdx	cloakshape_engine_s01:engine1		
eng_damorian_rx7	cloakshape_engine_s01:engine1		
eng_freitek_dual_jet	cloakshape_engine_s01:engine1		
eng_gallofree_advanced	cloakshape_engine_s01:engine1		
eng_gallofree_jx2	cloakshape_engine_s01:engine1		
eng_gallofree_jx3	cloakshape_engine_s01:engine1		
eng_generic	cloakshape_engine_s01:engine1		
eng_h17_singularity	awing_engine_s02:engine1		
eng_haor_chall_old_engine	cloakshape_engine_s01:engine1		
eng_incom_advanced	cloakshape_engine_s01:engine1		
eng_incom_advanced_fusialthrust	cloakshape_engine_s01:engine1		
eng_incom_e16	cloakshape_engine_s01:engine1		
eng_incom_elite	cloakshape_engine_s01:engine1		
eng_incom_fusialthrust	cloakshape_engine_s01:engine1		
eng_incom_fusialthrust_2	cloakshape_engine_s01:engine1		
eng_incom_heavy_fusialthrust	cloakshape_engine_s01:engine1		
eng_incom_improved_fusialthrust_2	cloakshape_engine_s01:engine1		
eng_incom_light_fusialthrust	cloakshape_engine_s01:engine1		
eng_koensayr_advanced	cloakshape_engine_s01:engine1		
eng_koensayr_dual_small_ionjet	cloakshape_engine_s01:engine1		
eng_koensayr_elite	cloakshape_engine_s01:engine1		
eng_koensayr_enhanced_dual_small_ionjet	cloakshape_engine_s01:engine1		
eng_koensayr_heavy_ionjet	cloakshape_engine_s01:engine1		
eng_koensayr_ionjet	cloakshape_engine_s01:engine1		
eng_koensayr_small_ionjet	cloakshape_engine_s01:engine1		
eng_koensayr_tuned_small_ionjet	cloakshape_engine_s01:engine1		
eng_kongar_defender	cloakshape_engine_s01:engine1		
eng_kse_a2x	cloakshape_engine_s01:engine1		
eng_kse_a5x	cloakshape_engine_s01:engine1		
eng_kse_a7x	cloakshape_engine_s01:engine1		
eng_kse_a8x	cloakshape_engine_s01:engine1		
eng_kse_advanced	cloakshape_engine_s01:engine1		
eng_kse_elite	cloakshape_engine_s01:engine1		
eng_kse_improved_a2x	cloakshape_engine_s01:engine1		
eng_kuat_a9x	cloakshape_engine_s01:engine1		
eng_kuat_f31	cloakshape_engine_s01:engine1		
eng_kuat_tc40	cloakshape_engine_s01:engine1		
eng_mandal_advanced	cloakshape_engine_s01:engine1		
eng_mandal_elite	cloakshape_engine_s01:engine1		
eng_mandal_enhanced_heavy	cloakshape_engine_s01:engine1		
eng_mandal_firestorm	cloakshape_engine_s01:engine1		
eng_mandal_firestorm_2	cloakshape_engine_s01:engine1		
eng_mandal_heavy	cloakshape_engine_s01:engine1		
eng_mandal_x37_vandal	cloakshape_engine_s01:engine1		
eng_mandal_x57_vandal	cloakshape_engine_s01:engine1		
eng_mission_reward_imperial_cygnus_megadrive	awing_engine_s02:engine1		
eng_mission_reward_neutral_haor_chall_military	awing_engine_s02:engine1		
eng_mission_reward_neutral_mandal_inferno	awing_engine_s02:engine1		
eng_mission_reward_rebel_incom_military	awing_engine_s02:engine1		
eng_mk1	cloakshape_engine_s01:engine1		
eng_mk2	cloakshape_engine_s01:engine1		
eng_mk3	awing_engine_s02:engine1		
eng_mk4	awing_engine_s02:engine1		
eng_mk5	awing_engine_s02:engine1		
eng_moncal_charged_standard	cloakshape_engine_s01:engine1		
eng_moncal_enhanced_light	cloakshape_engine_s01:engine1		
eng_moncal_heavy	cloakshape_engine_s01:engine1		
eng_moncal_ifs32	cloakshape_engine_s01:engine1		
eng_moncal_ifs64	cloakshape_engine_s01:engine1		
eng_moncal_improved_heavy	cloakshape_engine_s01:engine1		
eng_moncal_light	cloakshape_engine_s01:engine1		
eng_moncal_standard	cloakshape_engine_s01:engine1		
eng_novaldex_advanced	cloakshape_engine_s01:engine1		
eng_novaldex_eventhorizon	awing_engine_s02:engine1		
eng_novaldex_light_eventhorizon	cloakshape_engine_s01:engine1		
eng_novaldex_singularity	awing_engine_s02:engine1		
eng_novaldex_x12	awing_engine_s02:engine1		
eng_novaldex_x6	cloakshape_engine_s01:engine1		
eng_novaldex_x7	cloakshape_engine_s01:engine1		
eng_novaldex_x9	cloakshape_engine_s01:engine1		
eng_nubian_221	cloakshape_engine_s01:engine1		
eng_nubian_221_racing_mod	cloakshape_engine_s01:engine1		
eng_prototype	awing_engine_s02:engine1		
eng_qualdex_a10	awing_engine_s02:engine1		
eng_qualdex_a13	cloakshape_engine_s01:engine1		
eng_qualdex_advanced	cloakshape_engine_s01:engine1		
eng_qualdex_b10	cloakshape_engine_s01:engine1		
eng_qualdex_elite	cloakshape_engine_s01:engine1		
eng_qualdex_igt	awing_engine_s02:engine1		
eng_qualdex_kyromaster	awing_engine_s02:engine1		
eng_qualdex_small_kyromaster	cloakshape_engine_s01:engine1		
eng_quantum_ion_drive	awing_engine_s02:engine1		
eng_rendili_demon_mk1	cloakshape_engine_s01:engine1		
eng_rendili_elite	cloakshape_engine_s01:engine1		
eng_rss_advanced	cloakshape_engine_s01:engine1		
eng_rss_elite	cloakshape_engine_s01:engine1		
eng_rss_imperial_skyrunner	cloakshape_engine_s01:engine1		
eng_rss_imperial_skyrunner_2	cloakshape_engine_s01:engine1		
eng_rss_imperial_skyrunner_3	cloakshape_engine_s01:engine1		
eng_rss_imperial_skyrunner_4	cloakshape_engine_s01:engine1		
eng_sds_imperial_1	cloakshape_engine_s01:engine1		
eng_sds_imperial_2	cloakshape_engine_s01:engine1		
eng_sds_limited_imperial_1	cloakshape_engine_s01:engine1		
eng_seinar_ps56	cloakshape_engine_s01:engine1		
eng_sfs_advanced	cloakshape_engine_s01:engine1		
eng_sfs_elite	cloakshape_engine_s01:engine1		
eng_sfs_imperial_1	cloakshape_engine_s01:engine1		
eng_sfs_imperial_2	cloakshape_engine_s01:engine1		
eng_sfs_imperial_3	cloakshape_engine_s01:engine1		
eng_sfs_imperial_4	cloakshape_engine_s01:engine1		
eng_sfs_imperial_5	cloakshape_engine_s01:engine1		
eng_sfs_modified_imperial_3	cloakshape_engine_s01:engine1		
eng_sfs_performance_imperial_1	cloakshape_engine_s01:engine1		
eng_sfs_tuned_imperial_2	cloakshape_engine_s01:engine1		
eng_sorosuub_l_337_ion_engine	cloakshape_engine_s01:engine1		
eng_sorosuub_tuned_l_337_ion_engine	cloakshape_engine_s01:engine1		
eng_sorosuub_u83r_ion_drive	cloakshape_engine_s01:engine1		
eng_subpro_light_engines	cloakshape_engine_s01:engine1		
eng_surronian_a2	awing_engine_s02:engine1		
eng_surronian_a25	awing_engine_s02:engine1		
eng_ubrikkian_n2	cloakshape_engine_s01:engine1		
eng_kessel_imperial_rendili_hyperion_drive	cloakshape_engine_s01:engine1		
eng_kessel_imperial_sds_special_forces	cloakshape_engine_s01:engine1		
eng_kessel_imperial_sfs_special_forces	cloakshape_engine_s01:engine1		
eng_kessel_rebel_incom_t11_elite	cloakshape_engine_s01:engine1		
eng_kessel_rebel_novaldex_blackhole_elite	cloakshape_engine_s01:engine1		
eng_kessel_rebel_novaldex_grb1138	cloakshape_engine_s01:engine1		
eng_reward_kuat_elite	cloakshape_engine_s01:engine1		
eng_nova_01	awing_engine_s04:engine1		
eng_orion_01	awing_engine_s04:engine1		
collection_reward_engine_01_mk1	awing_engine_s02:engine1		
collection_reward_engine_01_mk2	awing_engine_s02:engine1		
collection_reward_engine_01_mk3	awing_engine_s02:engine1		
collection_reward_engine_01_mk4	awing_engine_s02:engine1		
collection_reward_engine_01_mk5	awing_engine_s02:engine1		
eng_t86_shooting_star	cloakshape_engine_s01:engine1		
eng_kuat_m24	cloakshape_engine_s01:engine1		
wpn_advanced_blaster			awing_weapon_s05:weapon1
wpn_advanced_blaster_green			awing_weapon_s05:weapon1
wpn_advanced_disruptor			cloakshape_weapon_s01:weapon1
wpn_advanced_ioncannon			awing_weapon_s06:weapon1
wpn_armek_advanced			cloakshape_weapon_s01:weapon1
wpn_armek_elite			cloakshape_weapon_s01:weapon1
wpn_armek_sw4			cloakshape_weapon_s01:weapon1
wpn_armek_sw6			cloakshape_weapon_s01:weapon1
wpn_armek_sw7			cloakshape_weapon_s01:weapon1
wpn_armek_sw8			cloakshape_weapon_s01:weapon1
wpn_awing_blaster			cloakshape_weapon_s01:weapon1
wpn_borstel_rg9			cloakshape_weapon_s01:weapon1
wpn_bwing_blaster			cloakshape_weapon_s01:weapon1
wpn_corellian_1d			cloakshape_weapon_s01:weapon1
wpn_corellian_ag1g_laser			cloakshape_weapon_s01:weapon1
wpn_corellian_ag2g_quad_laser			cloakshape_weapon_s01:weapon1
wpn_corellian_cruiser_grade_blaster_mk1			cloakshape_weapon_s01:weapon1
wpn_corellian_heavy_gauss			awing_weapon_s05:weapon1
wpn_crafted_incom_disruptor			cloakshape_weapon_s01:weapon1
wpn_crafted_slayn_ioncannon			cloakshape_weapon_s01:weapon1
wpn_crafted_subpro_tripleblaster			cloakshape_weapon_s01:weapon1
wpn_crafted_tractor_beam			cloakshape_weapon_s01:weapon1
wpn_cygnus_destroyer_mk1			cloakshape_weapon_s01:weapon1
wpn_cygnus_destroyer_mk2			cloakshape_weapon_s01:weapon1
wpn_cygnus_elite			cloakshape_weapon_s01:weapon1
wpn_cygnus_eradicator_1			cloakshape_weapon_s01:weapon1
wpn_experimental_blaster			awing_weapon_s05:weapon1
wpn_experimental_blaster_green			awing_weapon_s05:weapon1
wpn_experimental_disruptor			cloakshape_weapon_s01:weapon1
wpn_experimental_ioncannon			awing_weapon_s06:weapon1
wpn_fastspray_2000_disruptor			awing_weapon_s05:weapon1
wpn_freitek_cannoneer_mk1			cloakshape_weapon_s01:weapon1
wpn_gyrhil_auto_blaster			cloakshape_weapon_s01:weapon1
wpn_gyrhil_r9x			cloakshape_weapon_s01:weapon1
wpn_haor_chall_speedblaster			cloakshape_weapon_s01:weapon1
wpn_heavy_blaster			awing_weapon_s05:weapon1
wpn_heavy_blaster_green			awing_weapon_s05:weapon1
wpn_heavy_disruptor			awing_weapon_s06:weapon1
wpn_heavy_ioncannon			cloakshape_weapon_s01:weapon1
wpn_hk_modified_scorcher_elite			cloakshape_weapon_s01:weapon1
wpn_hk_scorcher			cloakshape_weapon_s01:weapon1
wpn_hk_scorcher_2			cloakshape_weapon_s01:weapon1
wpn_hk_scorcher_3			cloakshape_weapon_s01:weapon1
wpn_hk_scorcher_advanced			cloakshape_weapon_s01:weapon1
wpn_hk_scorcher_elite			cloakshape_weapon_s01:weapon1
wpn_hk_scorcher_heavy			cloakshape_weapon_s01:weapon1
wpn_hoersch_railgun			awing_weapon_s05:weapon1
wpn_incom_advanced_blaster			cloakshape_weapon_s01:weapon1
wpn_incom_blaster			cloakshape_weapon_s01:weapon1
wpn_incom_disruptor			cloakshape_weapon_s01:weapon1
wpn_incom_elite_quad_blaster			cloakshape_weapon_s01:weapon1
wpn_incom_heavy_blaster			cloakshape_weapon_s01:weapon1
wpn_incom_heavy_quad_blaster			cloakshape_weapon_s01:weapon1
wpn_incom_light_blaster			cloakshape_weapon_s01:weapon1
wpn_incom_quad_blaster			cloakshape_weapon_s01:weapon1
wpn_incom_shredder			cloakshape_weapon_s01:weapon1
wpn_incom_tt13			cloakshape_weapon_s01:weapon1
wpn_incom_tt8			cloakshape_weapon_s01:weapon1
wpn_kdy_pounder_mk1			cloakshape_weapon_s01:weapon1
wpn_koensayr_deluxe_ion_accelerator			cloakshape_weapon_s01:weapon1
wpn_koensayr_ion_accelerator			cloakshape_weapon_s01:weapon1
wpn_koensayr_ion_accelerator_2			cloakshape_weapon_s01:weapon1
wpn_koensayr_ion_accelerator_3			cloakshape_weapon_s01:weapon1
wpn_koensayr_ion_accelerator_advanced			cloakshape_weapon_s01:weapon1
wpn_koensayr_light_disruptor			cloakshape_weapon_s01:weapon1
wpn_koensayr_tuned_light_disruptor			cloakshape_weapon_s01:weapon1
wpn_kse_double_blaster			cloakshape_weapon_s01:weapon1
wpn_kse_light_disruptor			cloakshape_weapon_s01:weapon1
wpn_launcher_concussion_mk1			cloakshape_weapon_s01:weapon1
wpn_launcher_concussion_mk2			cloakshape_weapon_s01:weapon1
wpn_launcher_concussion_mk3			cloakshape_weapon_s01:weapon1
wpn_launcher_imagerec_mk1			cloakshape_weapon_s01:weapon1
wpn_launcher_imagerec_mk2			cloakshape_weapon_s01:weapon1
wpn_launcher_proton_mk1			cloakshape_weapon_s01:weapon1
wpn_launcher_proton_mk2			cloakshape_weapon_s01:weapon1
wpn_launcher_proton_mk3			cloakshape_weapon_s01:weapon1
wpn_launcher_proton_mk4			cloakshape_weapon_s01:weapon1
wpn_launcher_seismic_mk1			cloakshape_weapon_s01:weapon1
wpn_launcher_seismic_mk2			cloakshape_weapon_s01:weapon1
wpn_launcher_seismic_mk3			cloakshape_weapon_s01:weapon1
wpn_launcher_spacebomb_mk1			cloakshape_weapon_s01:weapon1
wpn_launcher_spacebomb_mk2			cloakshape_weapon_s01:weapon1
wpn_light_blaster			awing_weapon_s05:weapon1
wpn_light_blaster_green			awing_weapon_s05:weapon1
wpn_light_disruptor			cloakshape_weapon_s01:weapon1
wpn_light_ioncannon			awing_weapon_s06:weapon1
wpn_mandal_advanced_annihilator			cloakshape_weapon_s01:weapon1
wpn_mandal_annihilator_mk2			cloakshape_weapon_s01:weapon1
wpn_mandal_annilhator_mk1			cloakshape_weapon_s01:weapon1
wpn_mandal_elite_annihilator			cloakshape_weapon_s01:weapon1
wpn_mandal_enhanced_mangler_mk1			cloakshape_weapon_s01:weapon1
wpn_mandal_heavy_annihilator			cloakshape_weapon_s01:weapon1
wpn_mandal_mangler_mk1			cloakshape_weapon_s01:weapon1
wpn_mandal_qv3_disruptor			cloakshape_weapon_s01:weapon1
wpn_mandal_qv5_disruptor			cloakshape_weapon_s01:weapon1
wpn_mandal_super_mangler			cloakshape_weapon_s01:weapon1
wpn_medium_blaster			awing_weapon_s05:weapon1
wpn_medium_blaster_green			awing_weapon_s05:weapon1
wpn_medium_disruptor			cloakshape_weapon_s01:weapon1
wpn_medium_ioncannon			awing_weapon_s06:weapon1
wpn_mining_laser_mk1			awing_weapon_s05:weapon1
wpn_mining_laser_mk2			awing_weapon_s05:weapon1
wpn_mining_laser_mk3			awing_weapon_s05:weapon1
wpn_mission_reward_imperial_cygnus_starblaster			cloakshape_weapon_s01:weapon1
wpn_mission_reward_imperial_sds_boltdriver			cloakshape_weapon_s01:weapon1
wpn_mission_reward_neutral_borstel_disruptor			cloakshape_weapon_s01:weapon1
wpn_mission_reward_neutral_hk_military_blaster			cloakshape_weapon_s01:weapon1
wpn_mission_reward_neutral_mandal_light_blaster			cloakshape_weapon_s01:weapon1
wpn_mission_reward_rebel_incom_tricannon			cloakshape_weapon_s01:weapon1
wpn_mission_reward_rebel_taim_ion_driver			cloakshape_weapon_s01:weapon1
wpn_moncal_light_blaster			cloakshape_weapon_s01:weapon1
wpn_prototype			cloakshape_weapon_s01:weapon1
wpn_prototype_tie			cloakshape_weapon_s01:weapon1
wpn_rendili_advanced			cloakshape_weapon_s01:weapon1
wpn_rendili_fr13_disruptor			cloakshape_weapon_s01:weapon1
wpn_rendili_fr9_disruptor			cloakshape_weapon_s01:weapon1
wpn_rendili_sc3_disruptor			cloakshape_weapon_s01:weapon1
wpn_rendili_sc8_disruptor			cloakshape_weapon_s01:weapon1
wpn_rss_imperial_cannon			cloakshape_weapon_s01:weapon1
wpn_sds_elite			cloakshape_weapon_s01:weapon1
wpn_sds_heavy_imperial_spc_forces_cannon			cloakshape_weapon_s01:weapon1
wpn_sds_imperial_blaster_1			cloakshape_weapon_s01:weapon1
wpn_sds_imperial_blaster_2			cloakshape_weapon_s01:weapon1
wpn_sds_imperial_special_forces_cannon			cloakshape_weapon_s01:weapon1
wpn_sds_modified_elite			cloakshape_weapon_s01:weapon1
wpn_seinar_disruptor			cloakshape_weapon_s01:weapon1
wpn_seinar_ion_cannon			cloakshape_weapon_s01:weapon1
wpn_seinar_linked_cannon			cloakshape_weapon_s01:weapon1
wpn_seinar_ls1			cloakshape_weapon_s01:weapon1
wpn_seinar_ls72			cloakshape_weapon_s01:weapon1
wpn_sfs_elite			cloakshape_weapon_s01:weapon1
wpn_sfs_imperial_blaster_1			cloakshape_weapon_s01:weapon1
wpn_sfs_imperial_blaster_2			cloakshape_weapon_s01:weapon1
wpn_sfs_imperial_blaster_3			cloakshape_weapon_s01:weapon1
wpn_sfs_imperial_blaster_4			cloakshape_weapon_s01:weapon1
wpn_sfs_imperial_special_forces_blaster			cloakshape_weapon_s01:weapon1
wpn_sfs_improved_imperial_blaster_2			cloakshape_weapon_s01:weapon1
wpn_slayn_deluxe_light_ioncannon			cloakshape_weapon_s01:weapon1
wpn_slayn_ioncannon			cloakshape_weapon_s01:weapon1
wpn_slayn_light_ioncannon			cloakshape_weapon_s01:weapon1
wpn_subpro_advanced_cannon			cloakshape_weapon_s01:weapon1
wpn_subpro_improved_light_ioncannon			cloakshape_weapon_s01:weapon1
wpn_subpro_light_ioncannon			cloakshape_weapon_s01:weapon1
wpn_subpro_modified_tricannon			cloakshape_weapon_s01:weapon1
wpn_subpro_tricannon			cloakshape_weapon_s01:weapon1
wpn_subpro_tripleblaster			cloakshape_weapon_s01:weapon1
wpn_subpro_tripleblaster_mark2			cloakshape_weapon_s01:weapon1
wpn_subpro_tripleblaster_mark3			cloakshape_weapon_s01:weapon1
wpn_taim_elite			cloakshape_weapon_s01:weapon1
wpn_taim_heavy_laser			cloakshape_weapon_s01:weapon1
wpn_taim_ix4			cloakshape_weapon_s01:weapon1
wpn_taim_ix5			cloakshape_weapon_s01:weapon1
wpn_taim_kx5			cloakshape_weapon_s01:weapon1
wpn_taim_kx8			cloakshape_weapon_s01:weapon1
wpn_taim_kx9			cloakshape_weapon_s01:weapon1
wpn_tieadvanced_blaster			cloakshape_weapon_s01:weapon1
wpn_tractor_pulse_gun			awing_weapon_s05:weapon1
