component	engine	booster	weapon_0
eng_crafted_qualdex_kyromaster	awing_engine_s02:engine1		
eng_cygnus_hd3	pdf_engine_s01:engine1		
eng_cygnus_hd7	pdf_engine_s01:engine1		
eng_cygnus_hd8	pdf_engine_s01:engine1		
eng_cygnus_hd_5	pdf_engine_s01:engine1		
eng_cygnus_hdx	pdf_engine_s01:engine1		
eng_damorian_rx7	pdf_engine_s01:engine1		
eng_freitek_dual_jet	pdf_engine_s01:engine1		
eng_gallofree_advanced	pdf_engine_s01:engine1		
eng_gallofree_jx2	pdf_engine_s01:engine1		
eng_gallofree_jx3	pdf_engine_s01:engine1		
eng_generic	pdf_engine_s01:engine1		
eng_h17_singularity	awing_engine_s02:engine1		
eng_haor_chall_old_engine	pdf_engine_s01:engine1		
eng_incom_advanced	pdf_engine_s01:engine1		
eng_incom_advanced_fusialthrust	pdf_engine_s01:engine1		
eng_incom_e16	pdf_engine_s01:engine1		
eng_incom_elite	pdf_engine_s01:engine1		
eng_incom_fusialthrust	pdf_engine_s01:engine1		
eng_incom_fusialthrust_2	pdf_engine_s01:engine1		
eng_incom_heavy_fusialthrust	pdf_engine_s01:engine1		
eng_incom_improved_fusialthrust_2	pdf_engine_s01:engine1		
eng_incom_light_fusialthrust	pdf_engine_s01:engine1		
eng_koensayr_advanced	pdf_engine_s01:engine1		
eng_koensayr_dual_small_ionjet	pdf_engine_s01:engine1		
eng_koensayr_elite	pdf_engine_s01:engine1		
eng_koensayr_enhanced_dual_small_ionjet	pdf_engine_s01:engine1		
eng_koensayr_heavy_ionjet	pdf_engine_s01:engine1		
eng_koensayr_ionjet	pdf_engine_s01:engine1		
eng_koensayr_small_ionjet	pdf_engine_s01:engine1		
eng_koensayr_tuned_small_ionjet	pdf_engine_s01:engine1		
eng_kongar_defender	pdf_engine_s01:engine1		
eng_kse_a2x	pdf_engine_s01:engine1		
eng_kse_a5x	pdf_engine_s01:engine1		
eng_kse_a7x	pdf_engine_s01:engine1		
eng_kse_a8x	pdf_engine_s01:engine1		
eng_kse_advanced	pdf_engine_s01:engine1		
eng_kse_elite	pdf_engine_s01:engine1		
eng_kse_improved_a2x	pdf_engine_s01:engine1		
eng_kuat_a9x	pdf_engine_s01:engine1		
eng_kuat_f31	pdf_engine_s01:engine1		
eng_kuat_tc40	pdf_engine_s01:engine1		
eng_mandal_advanced	pdf_engine_s01:engine1		
eng_mandal_elite	pdf_engine_s01:engine1		
eng_mandal_enhanced_heavy	pdf_engine_s01:engine1		
eng_mandal_firestorm	pdf_engine_s01:engine1		
eng_mandal_firestorm_2	pdf_engine_s01:engine1		
eng_mandal_heavy	pdf_engine_s01:engine1		
eng_mandal_x37_vandal	pdf_engine_s01:engine1		
eng_mandal_x57_vandal	pdf_engine_s01:engine1		
eng_mission_reward_imperial_cygnus_megadrive	awing_engine_s02:engine1		
eng_mission_reward_neutral_haor_chall_military	awing_engine_s02:engine1		
eng_mission_reward_neutral_mandal_inferno	awing_engine_s02:engine1		
eng_mission_reward_rebel_incom_military	awing_engine_s02:engine1		
eng_mk1	pdf_engine_s01:engine1		
eng_mk2	pdf_engine_s01:engine1		
eng_mk3	awing_engine_s02:engine1		
eng_mk4	awing_engine_s02:engine1		
eng_mk5	awing_engine_s02:engine1		
eng_moncal_charged_standard	pdf_engine_s01:engine1		
eng_moncal_enhanced_light	pdf_engine_s01:engine1		
eng_moncal_heavy	pdf_engine_s01:engine1		
eng_moncal_ifs32	pdf_engine_s01:engine1		
eng_moncal_ifs64	pdf_engine_s01:engine1		
eng_moncal_improved_heavy	pdf_engine_s01:engine1		
eng_moncal_light	pdf_engine_s01:engine1		
eng_moncal_standard	pdf_engine_s01:engine1		
eng_novaldex_advanced	pdf_engine_s01:engine1		
eng_novaldex_eventhorizon	awing_engine_s02:engine1		
eng_novaldex_light_eventhorizon	pdf_engine_s01:engine1		
eng_novaldex_singularity	awing_engine_s02:engine1		
eng_novaldex_x12	awing_engine_s02:engine1		
eng_novaldex_x6	pdf_engine_s01:engine1		
eng_novaldex_x7	pdf_engine_s01:engine1		
eng_novaldex_x9	pdf_engine_s01:engine1		
eng_nubian_221	pdf_engine_s01:engine1		
eng_nubian_221_racing_mod	pdf_engine_s01:engine1		
eng_prototype	awing_engine_s02:engine1		
eng_qualdex_a10	awing_engine_s02:engine1		
eng_qualdex_a13	pdf_engine_s01:engine1		
eng_qualdex_advanced	pdf_engine_s01:engine1		
eng_qualdex_b10	pdf_engine_s01:engine1		
eng_qualdex_elite	pdf_engine_s01:engine1		
eng_qualdex_igt	awing_engine_s02:engine1		
eng_qualdex_kyromaster	awing_engine_s02:engine1		
eng_qualdex_small_kyromaster	pdf_engine_s01:engine1		
eng_quantum_ion_drive	awing_engine_s02:engine1		
eng_rendili_demon_mk1	pdf_engine_s01:engine1		
eng_rendili_elite	pdf_engine_s01:engine1		
eng_rss_advanced	pdf_engine_s01:engine1		
eng_rss_elite	pdf_engine_s01:engine1		
eng_rss_imperial_skyrunner	pdf_engine_s01:engine1		
eng_rss_imperial_skyrunner_2	pdf_engine_s01:engine1		
eng_rss_imperial_skyrunner_3	pdf_engine_s01:engine1		
eng_rss_imperial_skyrunner_4	pdf_engine_s01:engine1		
eng_sds_imperial_1	pdf_engine_s01:engine1		
eng_sds_imperial_2	pdf_engine_s01:engine1		
eng_sds_limited_imperial_1	pdf_engine_s01:engine1		
eng_seinar_ps56	pdf_engine_s01:engine1		
eng_sfs_advanced	pdf_engine_s01:engine1		
eng_sfs_elite	pdf_engine_s01:engine1		
eng_sfs_imperial_1	pdf_engine_s01:engine1		
eng_sfs_imperial_2	pdf_engine_s01:engine1		
eng_sfs_imperial_3	pdf_engine_s01:engine1		
eng_sfs_imperial_4	pdf_engine_s01:engine1		
eng_sfs_imperial_5	pdf_engine_s01:engine1		
eng_sfs_modified_imperial_3	pdf_engine_s01:engine1		
eng_sfs_performance_imperial_1	pdf_engine_s01:engine1		
eng_sfs_tuned_imperial_2	pdf_engine_s01:engine1		
eng_sorosuub_l_337_ion_engine	pdf_engine_s01:engine1		
eng_sorosuub_tuned_l_337_ion_engine	pdf_engine_s01:engine1		
eng_sorosuub_u83r_ion_drive	pdf_engine_s01:engine1		
eng_subpro_light_engines	pdf_engine_s01:engine1		
eng_surronian_a2	awing_engine_s02:engine1		
eng_surronian_a25	awing_engine_s02:engine1		
eng_ubrikkian_n2	pdf_engine_s01:engine1		
eng_kessel_imperial_rendili_hyperion_drive	pdf_engine_s01:engine1		
eng_kessel_imperial_sds_special_forces	pdf_engine_s01:engine1		
eng_kessel_imperial_sfs_special_forces	pdf_engine_s01:engine1		
eng_kessel_rebel_incom_t11_elite	pdf_engine_s01:engine1		
eng_kessel_rebel_novaldex_blackhole_elite	pdf_engine_s01:engine1		
eng_kessel_rebel_novaldex_grb1138	pdf_engine_s01:engine1		
eng_reward_kuat_elite	pdf_engine_s01:engine1		
eng_nova_01	awing_engine_s04:engine1		
eng_orion_01	awing_engine_s04:engine1		
collection_reward_engine_01_mk1	awing_engine_s02:engine1		
collection_reward_engine_01_mk2	awing_engine_s02:engine1		
collection_reward_engine_01_mk3	awing_engine_s02:engine1		
collection_reward_engine_01_mk4	awing_engine_s02:engine1		
collection_reward_engine_01_mk5	awing_engine_s02:engine1		
eng_t86_shooting_star	pdf_engine_s01:engine1		
eng_kuat_m24	pdf_engine_s01:engine1		
wpn_advanced_blaster			awing_weapon_s05:weapon1
wpn_advanced_blaster_green			awing_weapon_s05:weapon1
wpn_advanced_disruptor			pdf_weapon_s01:weapon1
wpn_advanced_ioncannon			awing_weapon_s06:weapon1
wpn_armek_advanced			pdf_weapon_s01:weapon1
wpn_armek_elite			pdf_weapon_s01:weapon1
wpn_armek_sw4			pdf_weapon_s01:weapon1
wpn_armek_sw6			pdf_weapon_s01:weapon1
wpn_armek_sw7			pdf_weapon_s01:weapon1
wpn_armek_sw8			pdf_weapon_s01:weapon1
wpn_awing_blaster			pdf_weapon_s01:weapon1
wpn_borstel_rg9			pdf_weapon_s01:weapon1
wpn_bwing_blaster			pdf_weapon_s01:weapon1
wpn_corellian_1d			pdf_weapon_s01:weapon1
wpn_corellian_ag1g_laser			pdf_weapon_s01:weapon1
wpn_corellian_ag2g_quad_laser			pdf_weapon_s01:weapon1
wpn_corellian_cruiser_grade_blaster_mk1			pdf_weapon_s01:weapon1
wpn_corellian_heavy_gauss			awing_weapon_s05:weapon1
wpn_crafted_incom_disruptor			pdf_weapon_s01:weapon1
wpn_crafted_slayn_ioncannon			pdf_weapon_s01:weapon1
wpn_crafted_subpro_tripleblaster			pdf_weapon_s01:weapon1
wpn_crafted_tractor_beam			pdf_weapon_s01:weapon1
wpn_cygnus_destroyer_mk1			pdf_weapon_s01:weapon1
wpn_cygnus_destroyer_mk2			pdf_weapon_s01:weapon1
wpn_cygnus_elite			pdf_weapon_s01:weapon1
wpn_cygnus_eradicator_1			pdf_weapon_s01:weapon1
wpn_experimental_blaster			awing_weapon_s05:weapon1
wpn_experimental_blaster_green			awing_weapon_s05:weapon1
wpn_experimental_disruptor			pdf_weapon_s01:weapon1
wpn_experimental_ioncannon			awing_weapon_s06:weapon1
wpn_fastspray_2000_disruptor			awing_weapon_s05:weapon1
wpn_freitek_cannoneer_mk1			pdf_weapon_s01:weapon1
wpn_gyrhil_auto_blaster			pdf_weapon_s01:weapon1
wpn_gyrhil_r9x			pdf_weapon_s01:weapon1
wpn_haor_chall_speedblaster			pdf_weapon_s01:weapon1
wpn_heavy_blaster			awing_weapon_s05:weapon1
wpn_heavy_blaster_green			awing_weapon_s05:weapon1
wpn_heavy_disruptor			awing_weapon_s06:weapon1
wpn_heavy_ioncannon			pdf_weapon_s01:weapon1
wpn_hk_modified_scorcher_elite			pdf_weapon_s01:weapon1
wpn_hk_scorcher			pdf_weapon_s01:weapon1
wpn_hk_scorcher_2			pdf_weapon_s01:weapon1
wpn_hk_scorcher_3			pdf_weapon_s01:weapon1
wpn_hk_scorcher_advanced			pdf_weapon_s01:weapon1
wpn_hk_scorcher_elite			pdf_weapon_s01:weapon1
wpn_hk_scorcher_heavy			pdf_weapon_s01:weapon1
wpn_hoersch_railgun			awing_weapon_s05:weapon1
wpn_incom_advanced_blaster			pdf_weapon_s01:weapon1
wpn_incom_blaster			pdf_weapon_s01:weapon1
wpn_incom_disruptor			pdf_weapon_s01:weapon1
wpn_incom_elite_quad_blaster			pdf_weapon_s01:weapon1
wpn_incom_heavy_blaster			pdf_weapon_s01:weapon1
wpn_incom_heavy_quad_blaster			pdf_weapon_s01:weapon1
wpn_incom_light_blaster			pdf_weapon_s01:weapon1
wpn_incom_quad_blaster			pdf_weapon_s01:weapon1
wpn_incom_shredder			pdf_weapon_s01:weapon1
wpn_incom_tt13			pdf_weapon_s01:weapon1
wpn_incom_tt8			pdf_weapon_s01:weapon1
wpn_kdy_pounder_mk1			pdf_weapon_s01:weapon1
wpn_koensayr_deluxe_ion_accelerator			pdf_weapon_s01:weapon1
wpn_koensayr_ion_accelerator			pdf_weapon_s01:weapon1
wpn_koensayr_ion_accelerator_2			pdf_weapon_s01:weapon1
wpn_koensayr_ion_accelerator_3			pdf_weapon_s01:weapon1
wpn_koensayr_ion_accelerator_advanced			pdf_weapon_s01:weapon1
wpn_koensayr_light_disruptor			pdf_weapon_s01:weapon1
wpn_koensayr_tuned_light_disruptor			pdf_weapon_s01:weapon1
wpn_kse_double_blaster			pdf_weapon_s01:weapon1
wpn_kse_light_disruptor			pdf_weapon_s01:weapon1
wpn_launcher_concussion_mk1			pdf_weapon_s01:weapon1
wpn_launcher_concussion_mk2			pdf_weapon_s01:weapon1
wpn_launcher_concussion_mk3			pdf_weapon_s01:weapon1
wpn_launcher_imagerec_mk1			pdf_weapon_s01:weapon1
wpn_launcher_imagerec_mk2			pdf_weapon_s01:weapon1
wpn_launcher_proton_mk1			pdf_weapon_s01:weapon1
wpn_launcher_proton_mk2			pdf_weapon_s01:weapon1
wpn_launcher_proton_mk3			pdf_weapon_s01:weapon1
wpn_launcher_proton_mk4			pdf_weapon_s01:weapon1
wpn_launcher_seismic_mk1			pdf_weapon_s01:weapon1
wpn_launcher_seismic_mk2			pdf_weapon_s01:weapon1
wpn_launcher_seismic_mk3			pdf_weapon_s01:weapon1
wpn_launcher_spacebomb_mk1			pdf_weapon_s01:weapon1
wpn_launcher_spacebomb_mk2			pdf_weapon_s01:weapon1
wpn_light_blaster			awing_weapon_s05:weapon1
wpn_light_blaster_green			awing_weapon_s05:weapon1
wpn_light_disruptor			pdf_weapon_s01:weapon1
wpn_light_ioncannon			awing_weapon_s06:weapon1
wpn_mandal_advanced_annihilator			pdf_weapon_s01:weapon1
wpn_mandal_annihilator_mk2			pdf_weapon_s01:weapon1
wpn_mandal_annilhator_mk1			pdf_weapon_s01:weapon1
wpn_mandal_elite_annihilator			pdf_weapon_s01:weapon1
wpn_mandal_enhanced_mangler_mk1			pdf_weapon_s01:weapon1
wpn_mandal_heavy_annihilator			pdf_weapon_s01:weapon1
wpn_mandal_mangler_mk1			pdf_weapon_s01:weapon1
wpn_mandal_qv3_disruptor			pdf_weapon_s01:weapon1
wpn_mandal_qv5_disruptor			pdf_weapon_s01:weapon1
wpn_mandal_super_mangler			pdf_weapon_s01:weapon1
wpn_medium_blaster			awing_weapon_s05:weapon1
wpn_medium_blaster_green			awing_weapon_s05:weapon1
wpn_medium_disruptor			pdf_weapon_s01:weapon1
wpn_medium_ioncannon			awing_weapon_s06:weapon1
wpn_mining_laser_mk1			awing_weapon_s05:weapon1
wpn_mining_laser_mk2			awing_weapon_s05:weapon1
wpn_mining_laser_mk3			awing_weapon_s05:weapon1
wpn_mission_reward_imperial_cygnus_starblaster			pdf_weapon_s01:weapon1
wpn_mission_reward_imperial_sds_boltdriver			pdf_weapon_s01:weapon1
wpn_mission_reward_neutral_borstel_disruptor			pdf_weapon_s01:weapon1
wpn_mission_reward_neutral_hk_military_blaster			pdf_weapon_s01:weapon1
wpn_mission_reward_neutral_mandal_light_blaster			pdf_weapon_s01:weapon1
wpn_mission_reward_rebel_incom_tricannon			pdf_weapon_s01:weapon1
wpn_mission_reward_rebel_taim_ion_driver			pdf_weapon_s01:weapon1
wpn_moncal_light_blaster			pdf_weapon_s01:weapon1
wpn_prototype			pdf_weapon_s01:weapon1
wpn_prototype_tie			pdf_weapon_s01:weapon1
wpn_rendili_advanced			pdf_weapon_s01:weapon1
wpn_rendili_fr13_disruptor			pdf_weapon_s01:weapon1
wpn_rendili_fr9_disruptor			pdf_weapon_s01:weapon1
wpn_rendili_sc3_disruptor			pdf_weapon_s01:weapon1
wpn_rendili_sc8_disruptor			pdf_weapon_s01:weapon1
wpn_rss_imperial_cannon			pdf_weapon_s01:weapon1
wpn_sds_elite			pdf_weapon_s01:weapon1
wpn_sds_heavy_imperial_spc_forces_cannon			pdf_weapon_s01:weapon1
wpn_sds_imperial_blaster_1			pdf_weapon_s01:weapon1
wpn_sds_imperial_blaster_2			pdf_weapon_s01:weapon1
wpn_sds_imperial_special_forces_cannon			pdf_weapon_s01:weapon1
wpn_sds_modified_elite			pdf_weapon_s01:weapon1
wpn_seinar_disruptor			pdf_weapon_s01:weapon1
wpn_seinar_ion_cannon			pdf_weapon_s01:weapon1
wpn_seinar_linked_cannon			pdf_weapon_s01:weapon1
wpn_seinar_ls1			pdf_weapon_s01:weapon1
wpn_seinar_ls72			pdf_weapon_s01:weapon1
wpn_sfs_elite			pdf_weapon_s01:weapon1
wpn_sfs_imperial_blaster_1			pdf_weapon_s01:weapon1
wpn_sfs_imperial_blaster_2			pdf_weapon_s01:weapon1
wpn_sfs_imperial_blaster_3			pdf_weapon_s01:weapon1
wpn_sfs_imperial_blaster_4			pdf_weapon_s01:weapon1
wpn_sfs_imperial_special_forces_blaster			pdf_weapon_s01:weapon1
wpn_sfs_improved_imperial_blaster_2			pdf_weapon_s01:weapon1
wpn_slayn_deluxe_light_ioncannon			pdf_weapon_s01:weapon1
wpn_slayn_ioncannon			pdf_weapon_s01:weapon1
wpn_slayn_light_ioncannon			pdf_weapon_s01:weapon1
wpn_subpro_advanced_cannon			pdf_weapon_s01:weapon1
wpn_subpro_improved_light_ioncannon			pdf_weapon_s01:weapon1
wpn_subpro_light_ioncannon			pdf_weapon_s01:weapon1
wpn_subpro_modified_tricannon			pdf_weapon_s01:weapon1
wpn_subpro_tricannon			pdf_weapon_s01:weapon1
wpn_subpro_tripleblaster			pdf_weapon_s01:weapon1
wpn_subpro_tripleblaster_mark2			pdf_weapon_s01:weapon1
wpn_subpro_tripleblaster_mark3			pdf_weapon_s01:weapon1
wpn_taim_elite			pdf_weapon_s01:weapon1
wpn_taim_heavy_laser			pdf_weapon_s01:weapon1
wpn_taim_ix4			pdf_weapon_s01:weapon1
wpn_taim_ix5			pdf_weapon_s01:weapon1
wpn_taim_kx5			pdf_weapon_s01:weapon1
wpn_taim_kx8			pdf_weapon_s01:weapon1
wpn_taim_kx9			pdf_weapon_s01:weapon1
wpn_tieadvanced_blaster			pdf_weapon_s01:weapon1
wpn_tractor_pulse_gun			awing_weapon_s05:weapon1
wpn_trandoshan_fg1a			awing_weapon_s05:weapon1
wpn_vengeance_ion_cannon			awing_weapon_s05:weapon1
wpn_vulcan_cannon			awing_weapon_s05:weapon1
wpn_z95_blaster			pdf_weapon_s01:weapon1
wpn_heavy_ionic_pulse_weapon			awing_weapon_s06:weapon1
wpn_crafted_mining_laser_mk1			awing_weapon_s05:weapon1
wpn_crafted_mining_laser_mk2			awing_weapon_s05:weapon1
wpn_crafted_mining_laser_mk3			awing_weapon_s05:weapon1
wpn_crafted_mining_laser_elite			awing_weapon_s05:weapon1
wpn_prototype			awing_weapon_s05:weapon1
wpn_ionic_pulse_weapon			awing_weapon_s06:weapon1
wpn_reward_seinar_elite			awing_weapon_s05:weapon1
wpn_kessel_imperial_rendili_prototype_x			awing_weapon_s05:weapon1
wpn_kessel_imperial_sds_experimental_secret_ops			awing_weapon_s05:weapon1
wpn_kessel_imperial_sfs_elite_ops			awing_weapon_s05:weapon1
wpn_kessel_rebel_incom_dualcore_flashcannon			awing_weapon_s05:weapon1
wpn_kessel_rebel_riiz_combine_slammer_cannon			awing_weapon_s05:weapon1
wpn_kessel_rebel_unknown_rayslinger			awing_weapon_s05:weapon1
wpn_reward_incom_elite			awing_weapon_s05:weapon1
wpn_reward_seinar_elite			awing_weapon_s05:weapon1
wpn_reward_slayn_elite			awing_weapon_s05:weapon1
wpn_reward_subpro_elite			awing_weapon_s05:weapon1
wpn_reward_taim_elite			awing_weapon_s05:weapon1
wpn_nova_ioncannon			awing_weapon_s07:weapon1
wpn_orion_disruptor			awing_weapon_s07:weapon1
