component	engine	booster	weapon_0	weapon_1	weapon_2	modification_0
bst_incom_intimidator_mk2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_incom_intimidator_mk3		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_incom_intimidator_mk4		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_incom_mynock		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_incom_nkj31		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_incom_performance_nkj31		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_incom_sls_1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_incom_supercharged_vynock		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_incom_vynock		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kde_br12		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kessel_imperial_cygnus_hyperthrust		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kessel_imperial_sds_experimental_b7		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kessel_imperial_sfs_ultra_thrust		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kessel_rebel_incom_quicksilver		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kessel_rebel_incom_windrunner		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kessel_rebel_mandal_lightning_m1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_koensayr_advanced		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_koensayr_charged_advanced		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_koensayr_deluxe_elite		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_koensayr_elite		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_koensayr_evh12		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_koensayr_heavy		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_koensayr_modified_heavy		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_koensayr_racer_mk1		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_koensayr_racer_mk2		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_koensayr_racer_mk3		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_koensayr_racer_mk4		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_koensayr_special_evh12		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_koensayr_improved_standard		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_koensayr_standard		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kse_als_1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kse_bti1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kse_bti2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kse_bti3		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kse_cb6		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kse_deluxe_bti3		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kse_elite_als_1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kse_enhanced_bti2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kse_performance_bti1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kse_performance_cb6		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kuat_military_mk1		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_kuat_military_mk2		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_kuat_military_mk3		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_kuat_military_mk4		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_mandal_deluxe_jbj_mk4		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_mandal_enhanced_jbj_mk1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_mandal_improved_jbj_mk3		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_mandal_jbj_mk1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_mandal_jbj_mk2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_mandal_jbj_mk3		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_mandal_jbj_mk4		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_mandal_jbj_mk5		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_mandal_limited_jbj_mk5		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_mandal_modified_jbj_mk2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_mission_reward_imperial_rss_ion_booster		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_mission_reward_neutral_mandal_m_series		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_mission_reward_neutral_mandal_q_series		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_mission_reward_rebel_novaldex_hypernova		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_mission_reward_rebel_qualdex_halcyon		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_mk1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_mk2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_mk3		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_mk4		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_mk5		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_moncal_advanced		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_moncal_charged_heavy		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_moncal_deluxe_standard		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_moncal_elite		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_moncal_enhanced_elite		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_moncal_heavy		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_moncal_jlc37		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_moncal_limited_jlc37		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_moncal_rare_advanced		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_moncal_standard		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_nova_breaker		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_novaldex_pulsar		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_novaldex_pulsar_advanced		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_novaldex_quasar		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_novaldex_quasar_advanced		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_qualdex_xboost_mk1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_qualdex_xboost_mk2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_qualdex_xboost_mk3		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_qualdex_xboost_mk4		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_reward_incom_elite		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_reward_koensayr_elite		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_reward_kuat_elite		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_reward_novaldex_elite		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_reward_qualdex_elite		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_rss_special		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sap_imperial_1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sap_imperial_2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sds_enhanced_imperial_2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sfs_imperial_1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sfs_imperial_2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_slayn_ion_booster_mk1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sorosuub_enhanced_liberator_mk4		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sorosuub_improved_liberator_mk2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sorosuub_liberator_mk1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sorosuub_liberator_mk2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sorosuub_liberator_mk3		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sorosuub_liberator_mk4		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sorosuub_liberator_mk5		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sorosuub_prized_liberator_mk1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sorosuub_supercharged_liberator_mk3		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_sorosuub_well_tuned_liberator_mk5		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_subpro_accelatron_mk1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_subpro_accelatron_mk2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_subpro_accelatron_mk3		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_subpro_accelatron_mk4		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_subpro_accelatron_mk5		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_subpro_deluxe_accelatron_mk3		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_subpro_elite_accelatron_mk5		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_subpro_enhanced_accelatron_mk2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_subpro_modified_accelatron_mk4		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_subpro_tuned_accelatron_mk1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_surronian_accelerator_mk1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_surronian_accelerator_mk2		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_surronian_nomad_x4		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_surronian_nomad_x8		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_tiefighter_basic		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_xwing_booster_s01		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_z95_basic		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
eng_bezelbok_kessel_runner	xg1_engine_s01:engine1					
eng_corellian_cruiser_grade_mk1	xg1_engine_s01:engine1					
eng_corellian_cruiser_grade_mk2	xg1_engine_s01:engine1					
eng_corellian_deluxe_cruiser_grade_mk1	xg1_engine_s01:engine1					
eng_crafted_incom_fusialthrust	xg1_engine_s01:engine1					
eng_crafted_novaldex_eventhorizon	xg1_engine_s01:engine1					
eng_crafted_qualdex_kyromaster	xg1_engine_s01:engine1					
eng_cygnus_hd3	xg1_engine_s01:engine1					
eng_cygnus_hd7	xg1_engine_s01:engine1					
eng_cygnus_hd8	xg1_engine_s01:engine1					
eng_cygnus_hd_5	xg1_engine_s01:engine1					
eng_cygnus_hdx	xg1_engine_s01:engine1					
eng_damorian_rx7	xg1_engine_s01:engine1					
eng_freitek_dual_jet	xg1_engine_s01:engine1					
eng_gallofree_advanced	xg1_engine_s01:engine1					
eng_gallofree_jx2	xg1_engine_s01:engine1					
eng_gallofree_jx3	xg1_engine_s01:engine1					
eng_generic	xg1_engine_s01:engine1					
eng_h17_singularity	xg1_engine_s01:engine1					
eng_haor_chall_old_engine	xg1_engine_s01:engine1					
eng_incom_advanced	xg1_engine_s01:engine1					
eng_incom_advanced_fusialthrust	xg1_engine_s01:engine1					
eng_incom_e16	xg1_engine_s01:engine1					
eng_incom_elite	xg1_engine_s01:engine1					
eng_incom_fusialthrust	xg1_engine_s01:engine1					
eng_incom_fusialthrust_2	xg1_engine_s01:engine1					
eng_incom_heavy_fusialthrust	xg1_engine_s01:engine1					
eng_incom_improved_fusialthrust_2	xg1_engine_s01:engine1					
eng_incom_light_fusialthrust	xg1_engine_s01:engine1					
eng_koensayr_advanced	xg1_engine_s01:engine1					
eng_koensayr_dual_small_ionjet	xg1_engine_s01:engine1					
eng_koensayr_elite	xg1_engine_s01:engine1					
eng_koensayr_enhanced_dual_small_ionjet	xg1_engine_s01:engine1					
eng_koensayr_heavy_ionjet	xg1_engine_s01:engine1					
eng_koensayr_ionjet	xg1_engine_s01:engine1					
eng_koensayr_small_ionjet	xg1_engine_s01:engine1					
eng_koensayr_tuned_small_ionjet	xg1_engine_s01:engine1					
eng_kongar_defender	xg1_engine_s01:engine1					
eng_kse_a2x	xg1_engine_s01:engine1					
eng_kse_a5x	xg1_engine_s01:engine1					
eng_kse_a7x	xg1_engine_s01:engine1					
eng_kse_a8x	xg1_engine_s01:engine1					
eng_kse_advanced	xg1_engine_s01:engine1					
eng_kse_elite	xg1_engine_s01:engine1					
eng_kse_improved_a2x	xg1_engine_s01:engine1					
eng_kuat_a9x	xg1_engine_s01:engine1					
eng_kuat_f31	xg1_engine_s01:engine1					
eng_kuat_tc40	xg1_engine_s01:engine1					
eng_mandal_advanced	xg1_engine_s01:engine1					
eng_mandal_elite	xg1_engine_s01:engine1					
eng_mandal_enhanced_heavy	xg1_engine_s01:engine1					
eng_mandal_firestorm	xg1_engine_s01:engine1					
eng_mandal_firestorm_2	xg1_engine_s01:engine1					
eng_mandal_heavy	xg1_engine_s01:engine1					
eng_mandal_x37_vandal	xg1_engine_s01:engine1					
eng_mandal_x57_vandal	xg1_engine_s01:engine1					
eng_mission_reward_imperial_cygnus_megadrive	xg1_engine_s01:engine1					
eng_mission_reward_neutral_haor_chall_military	xg1_engine_s01:engine1					
eng_mission_reward_neutral_mandal_inferno	xg1_engine_s01:engine1					
eng_mission_reward_rebel_incom_military	xg1_engine_s01:engine1					
eng_mk1	xg1_engine_s01:engine1					
eng_mk2	xg1_engine_s01:engine1					
eng_mk3	xg1_engine_s01:engine1					
eng_mk4	xg1_engine_s01:engine1					
eng_mk5	xg1_engine_s01:engine1					
eng_moncal_charged_standard	xg1_engine_s01:engine1					
eng_moncal_enhanced_light	xg1_engine_s01:engine1					
eng_moncal_heavy	xg1_engine_s01:engine1					
eng_moncal_ifs32	xg1_engine_s01:engine1					
eng_moncal_ifs64	xg1_engine_s01:engine1					
eng_moncal_improved_heavy	xg1_engine_s01:engine1					
eng_moncal_light	xg1_engine_s01:engine1					
eng_moncal_standard	xg1_engine_s01:engine1					
eng_novaldex_advanced	xg1_engine_s01:engine1					
eng_novaldex_eventhorizon	xg1_engine_s01:engine1					
eng_novaldex_light_eventhorizon	xg1_engine_s01:engine1					
eng_novaldex_singularity	xg1_engine_s01:engine1					
eng_novaldex_x12	xg1_engine_s01:engine1					
eng_novaldex_x6	xg1_engine_s01:engine1					
eng_novaldex_x7	xg1_engine_s01:engine1					
eng_novaldex_x9	xg1_engine_s01:engine1					
eng_nubian_221	xg1_engine_s01:engine1					
eng_nubian_221_racing_mod	xg1_engine_s01:engine1					
eng_prototype	xg1_engine_s01:engine1					
eng_qualdex_a10	xg1_engine_s01:engine1					
eng_qualdex_a13	xg1_engine_s01:engine1					
eng_qualdex_advanced	xg1_engine_s01:engine1					
eng_qualdex_b10	xg1_engine_s01:engine1					
eng_qualdex_elite	xg1_engine_s01:engine1					
eng_qualdex_igt	xg1_engine_s01:engine1					
eng_qualdex_kyromaster	xg1_engine_s01:engine1					
eng_qualdex_small_kyromaster	xg1_engine_s01:engine1					
eng_quantum_ion_drive	xg1_engine_s01:engine1					
eng_rendili_demon_mk1	xg1_engine_s01:engine1					
eng_rendili_elite	xg1_engine_s01:engine1					
eng_rss_advanced	xg1_engine_s01:engine1					
eng_rss_elite	xg1_engine_s01:engine1					
eng_rss_imperial_skyrunner	xg1_engine_s01:engine1					
eng_rss_imperial_skyrunner_2	xg1_engine_s01:engine1					
eng_rss_imperial_skyrunner_3	xg1_engine_s01:engine1					
eng_rss_imperial_skyrunner_4	xg1_engine_s01:engine1					
eng_sds_imperial_1	xg1_engine_s01:engine1					
eng_sds_imperial_2	xg1_engine_s01:engine1					
eng_sds_limited_imperial_1	xg1_engine_s01:engine1					
eng_seinar_ps56	xg1_engine_s01:engine1					
eng_sfs_advanced	xg1_engine_s01:engine1					
eng_sfs_elite	xg1_engine_s01:engine1					
eng_sfs_imperial_1	xg1_engine_s01:engine1					
eng_sfs_imperial_2	xg1_engine_s01:engine1					
eng_sfs_imperial_3	xg1_engine_s01:engine1					
eng_sfs_imperial_4	xg1_engine_s01:engine1					
eng_sfs_imperial_5	xg1_engine_s01:engine1					
eng_sfs_modified_imperial_3	xg1_engine_s01:engine1					
eng_sfs_performance_imperial_1	xg1_engine_s01:engine1					
eng_sfs_tuned_imperial_2	xg1_engine_s01:engine1					
eng_sorosuub_l_337_ion_engine	xg1_engine_s01:engine1					
eng_sorosuub_tuned_l_337_ion_engine	xg1_engine_s01:engine1					
eng_sorosuub_u83r_ion_drive	xg1_engine_s01:engine1					
eng_subpro_light_engines	xg1_engine_s01:engine1					
eng_surronian_a2	xg1_engine_s01:engine1					
eng_surronian_a25	xg1_engine_s01:engine1					
eng_ubrikkian_n2	xg1_engine_s01:engine1					
eng_kessel_imperial_rendili_hyperion_drive	xg1_engine_s01:engine1					
eng_kessel_imperial_sds_special_forces	xg1_engine_s01:engine1					
eng_kessel_imperial_sfs_special_forces	xg1_engine_s01:engine1					
eng_kessel_rebel_incom_t11_elite	xg1_engine_s01:engine1					
eng_kessel_rebel_novaldex_blackhole_elite	xg1_engine_s01:engine1					
eng_kessel_rebel_novaldex_grb1138	xg1_engine_s01:engine1					
eng_reward_kuat_elite	xg1_engine_s01:engine1					
eng_nova_01	xwing_engine_pos_s03:engine_pos1,xwing_engine_neg_s03:engine_neg1					
eng_orion_01	xwing_engine_pos_s03:engine_pos1,xwing_engine_neg_s03:engine_neg1					
collection_reward_engine_01_mk1	xg1_engine_s01:engine1					
collection_reward_engine_01_mk2	xg1_engine_s01:engine1					
collection_reward_engine_01_mk3	xg1_engine_s01:engine1					
collection_reward_engine_01_mk4	xg1_engine_s01:engine1					
collection_reward_engine_01_mk5	xg1_engine_s01:engine1					
eng_t86_shooting_star	xg1_engine_s01:engine1					
eng_kuat_m24	xg1_engine_s01:engine1					
mod_xwing_modification_s01						xwing_modification_s01:attach1
wpn_advanced_blaster			xwing_weapon1_pos_s05_0:weapon1_pos1	xwing_weapon1_neg_s05_0:weapon1_neg1	xwing_weapon2_pos_s05_1:weapon2_pos1,xwing_weapon2_neg_s05_1:weapon2_neg1	
wpn_advanced_blaster_green			xwing_weapon1_pos_s05_0:weapon1_pos1	xwing_weapon1_neg_s05_0:weapon1_neg1	xwing_weapon2_pos_s05_1:weapon2_pos1,xwing_weapon2_neg_s05_1:weapon2_neg1	
wpn_advanced_disruptor			xg1_weapon1_s01_l:weapon1_l,xg1_weapon1_s01_r:weapon1_r	xg1_weapon2_s01:weapon1	xwing_weapon2_pos_s01_1:weapon2_pos1,xwing_weapon2_neg_s01_1:weapon2_neg1	
wpn_advanced_ioncannon			xwing_weapon1_pos_s06_0:weapon1_pos1	xwing_weapon1_neg_s06_0:weapon1_neg1	xwing_weapon2_pos_s06_1:weapon2_pos1,xwing_weapon2_neg_s06_1:weapon2_neg1	
wpn_armek_advanced			xg1_weapon1_s01_l:weapon1_l,xg1_weapon1_s01_r:weapon1_r	xg1_weapon2_s01:weapon1	xwing_weapon2_pos_s01_1:weapon2_pos1,xwing_weapon2_neg_s01_1:weapon2_neg1	
wpn_armek_elite			xg1_weapon1_s01_l:weapon1_l,xg1_weapon1_s01_r:weapon1_r	xg1_weapon2_s01:weapon1	xwing_weapon2_pos_s01_1:weapon2_pos1,xwing_weapon2_neg_s01_1:weapon2_neg1	
wpn_armek_sw4			xwing_weapon1_pos_s06_0:weapon1_pos1	xwing_weapon1_neg_s06_0:weapon1_neg1	xwing_weapon2_pos_s05_1:weapon2_pos1,xwing_weapon2_neg_s05_1:weapon2_neg1	
wpn_armek_sw6			xg1_weapon1_s01_l:weapon1_l,xg1_weapon1_s01_r:weapon1_r	xg1_weapon2_s01:weapon1	xwing_weapon2_pos_s01_1:weapon2_pos1,xwing_weapon2_neg_s01_1:weapon2_neg1	
wpn_armek_sw7			xwing_weapon1_pos_s06_0:weapon1_pos1	xwing_weapon1_neg_s06_0:weapon1_neg1	xwing_weapon2_pos_s05_1:weapon2_pos1,xwing_weapon2_neg_s05_1:weapon2_neg1	
wpn_armek_sw8			xg1_weapon1_s01_l:weapon1_l,xg1_weapon1_s01_r:weapon1_r	xg1_weapon2_s01:weapon1	xwing_weapon2_pos_s01_1:weapon2_pos1,xwing_weapon2_neg_s01_1:weapon2_neg1	
wpn_awing_blaster			xg1_weapon1_s01_l:weapon1_l,xg1_weapon1_s01_r:weapon1_r	xg1_weapon2_s01:weapon1	xwing_weapon2_pos_s01_1:weapon2_pos1,xwing_weapon2_neg_s01_1:weapon2_neg1	
wpn_borstel_rg9			xwing_weapon1_pos_s06_0:weapon1_pos1	xwing_weapon1_neg_s06_0:weapon1_neg1	xwing_weapon2_pos_s06_1:weapon2_pos1,xwing_weapon2_neg_s06_1:weapon2_neg1	
wpn_bwing_blaster			xg1_weapon1_s01_l:weapon1_l,xg1_weapon1_s01_r:weapon1_r	xg1_weapon2_s01:weapon1	xwing_weapon2_pos_s01_1:weapon2_pos1,xwing_weapon2_neg_s01_1:weapon2_neg1	
