commandName	defaultPriority	scriptHook	failScriptHook	cppHook	failCppHook	defaultTime	characterAbility	L:standing	L:sneaking	L:walking	L:running	L:kneeling	L:crouchSneaking	L:crouchWalking	L:prone	L:crawling	L:climbingStationary	L:climbing	L:hovering	L:flying	L:lyingDown	L:sitting	L:skillAnimating	L:drivingVehicle	L:ridingCreature	L:knockedDown	L:incapacitated	L:dead	L:blocking	S:cover	S:combat	S:peace	S:aiming	S:alert	S:berserk	S:feignDeath	S:combatAttitudeEvasive	S:combatAttitudeNormal	S:combatAttitudeAggressive	S:tumbling	S:rallied	S:stunned	S:blinded	S:dizzy	S:intimidated	S:immobilized	S:frozen	S:swimming	S:sittingOnChair	S:crafting	S:glowingJedi	S:maskScent	S:poisoned	S:bleeding	S:diseased	S:onFire	S:ridingMount	S:mountedCreature	S:pilotingShip	S:pilotingPobShip	S:shipOperations	S:shipGunner	S:shipInterior	tempScript	target	targetType	stringId	visible	callOnTarget	commandGroup	disabled	maxRangeToTarget	godLevel	displayGroup	addToCombatQueue	validWeapon	invalidWeapon	cooldownGroup	warmupTime	executeTime	cooldownTime	cooldownGroup2	cooldownTime2	toolbarOnly	fromServerOnly	autoAddToToolbar
retell	0			instantMessageRetell		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	0		2	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
r	0			instantMessageReply		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	0		2	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
reply	0			instantMessageReply		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	0		3	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
rtell	0			instantMessageRetell		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	0		3	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
tell	0			instantMessageTell		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	0		3	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
t	0			instantMessageTell		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	0		2	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
attack	0			attack		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1		2	2		0	0	1707421147	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
examine	0			examine		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
trade	0			trade		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
tradeAccept	0			tradeAccept		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
pickup	0			pickup		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
equip	0			equip		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
unequip	0			unequip		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
drop	0			drop		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
conversationStart	0			conversationStart		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
conversationStop	0			conversationStop		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	2		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
itemMail	0			itemMail		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
activate	0			activate		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
deactivate	0			deactivate		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
auctionUse	0			auctionUse		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
split	0			split		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
join	0			join		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	2		0	0	1707421147	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
decline	0			decline		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	0		0	0	1707421147	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
open	0			open		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
openNewWindow	0			openNewWindow		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
destroyObject	0			destroyObject		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
consider	0			consider		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	2		3	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
con	0			consider		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	2		2	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
language	0			language		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	0		2	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
setScale	0			setScale		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
setYaw	0			setYaw		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
hideMe	0			hideMe		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	0		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
reloadAdminTable	0			reloadAdminTable		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	0		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
skills	0			skills		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
spawn	0			spawn		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	0		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
destroy	0			destroy		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
logChat	0			logChat		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	0		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
sysgroup	0			sysgroup		0	sysgroup	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	0		2	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
editBank	0			editBank		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
editInventory	0			editInventory		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
editDatapad	0			editDatapad		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
examineObjVars	0			examineObjVars		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
renamePlayer	0			renamePlayer		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
echo	0			echo		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	0		2	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
dumpPausedCommands	0			dumpPausedCommands		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	0		2	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
macro	0			macro		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	0		2	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
shownetworkids	0			shownetworkids		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	0		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
debugexamine	0			debugexamine		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	0		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
unload	0			unload		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
friendComment	0			friendComment		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	0		2	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
friend	0			friend		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	0		2	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
friendList	0			friendList		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	0		2	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
ignore	0			ignore		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	0		2	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
ignoreList	0			ignoreList		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	0		2	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
friendGroup	0			friendGroup		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	0		2	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
mailSave	0			mailSave		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	0		2	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
notepad	0			notepad		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	0		2	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
target	0			target		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	2		0	0	1707421147	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
emptyMail	0			emptyMail		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	0		2	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
chatterSpeech	0			chatterSpeech		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	0		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
