INDEX	KEY	MUSIC	CATEGORY	SHOW	TYPE
96	bdg_exp_ror_imp_camp	sound/music_acq_miner.snd	2	0	exploration_easy
97	bdg_exp_ror_imp_hyperdrive_fac	sound/music_acq_miner.snd	2	0	exploration_easy
98	bdg_exp_lok_imp_outpost	sound/music_acq_miner.snd	2	0	exploration_easy
99	bdg_exp_lok_kimogila_skeleton	sound/music_acq_miner.snd	2	0	exploration_easy
100	bdg_exp_10_badges	sound/music_acq_miner.snd	2	0	accumulation
101	bdg_exp_20_badges	sound/music_acq_miner.snd	2	0	accumulation
102	bdg_exp_30_badges	sound/music_acq_miner.snd	2	0	accumulation
103	bdg_exp_40_badges	sound/music_acq_miner.snd	2	0	accumulation
104	bdg_exp_45_badges	sound/music_acq_miner.snd	2	0	accumulation
105	bdg_thm_park_jabba_badge	NONE	2	0	content
106	bdg_thm_park_imperial_badge	NONE	2	0	content
107	bdg_thm_park_rebel_badge	NONE	2	0	content
108	bdg_thm_park_nym_badge	NONE	2	0	content
109	event_coa3_rebel	NONE	4	0	events
110	event_coa3_imperial	NONE	4	0	events
111	bdg_library_trivia	sound/music_acq_miner.snd	1	0	events
112	bdg_corvette_imp_destroy	sound/music_acq_miner.snd	5	0	content
113	bdg_corvette_imp_rescue	sound/music_acq_miner.snd	5	0	content
114	bdg_corvette_imp_assassin	sound/music_acq_miner.snd	5	0	content
115	bdg_corvette_neutral_destroy	sound/music_acq_miner.snd	5	0	content
116	bdg_corvette_neutral_rescue	sound/music_acq_miner.snd	5	0	content
117	bdg_corvette_neutral_assassin	sound/music_acq_miner.snd	5	0	content
118	bdg_corvette_reb_destroy	sound/music_acq_miner.snd	5	0	content
119	bdg_corvette_reb_rescue	sound/music_acq_miner.snd	5	0	content
120	bdg_corvette_reb_assassin	sound/music_acq_miner.snd	5	0	content
121	bdg_racing_agrilat_swamp	sound/music_acq_miner.snd	4	0	events
122	bdg_racing_keren_city	sound/music_acq_miner.snd	4	0	events
123	bdg_racing_mos_espa	sound/music_acq_miner.snd	4	0	events
124	bdg_accolade_live_event	sound/music_acq_miner.snd	4	0	events
125	bdg_racing_lok_marathon	sound/music_acq_miner.snd	4	0	events
126	bdg_racing_narmle_memorial	sound/music_acq_miner.snd	4	0	events
127	bdg_racing_nashal_river	sound/music_acq_miner.snd	4	0	events
128	destroy_deathstar	NONE	4	0	events
129	crafting_shipwright	NONE	3	0	master
130	pilot_rebel_navy_naboo	NONE	3	0	master
131	pilot_rebel_navy_corellia	NONE	3	0	master
132	pilot_rebel_navy_tatooine	NONE	3	0	master
133	pilot_imperial_navy_naboo	NONE	3	0	master
134	pilot_imperial_navy_corellia	NONE	3	0	master
135	pilot_imperial_navy_tatooine	NONE	3	0	master
136	pilot_neutral_naboo	NONE	3	0	master
137	pilot_neutral_corellia	NONE	3	0	master
138	pilot_neutral_tatooine	NONE	3	0	master
139	bdg_accolade_home_show	sound/music_acq_miner.snd	4	0	events
140	exp_tan_pan	sound/music_acq_miner.snd	2	0	exploration_easy
141	exp_tan_downed_ship	sound/music_acq_miner.snd	2	0	exploration_dangerous
142	exp_tan_mine	sound/music_acq_miner.snd	2	0	exploration_easy
143	exp_tan_hexfarms	sound/music_acq_miner.snd	2	0	exploration_easy
144	exp_tan_great_herd	sound/music_acq_miner.snd	2	0	exploration_easy
145	exp_tan_canyonlands	sound/music_acq_miner.snd	2	0	exploration_easy
146	exp_man_mythosaur_graveyard	sound/music_acq_miner.snd	2	0	exploration_dangerous
147	exp_man_mandalmotors	sound/music_acq_miner.snd	2	0	exploration_dangerous
148	exp_man_taung_warrior_bunker	sound/music_acq_miner.snd	2	0	exploration_dangerous
149	exp_man_cave_of_darth_caedus	sound/music_acq_miner.snd	2	0	exploration_dangerous
150	exp_man_peace_park	sound/music_acq_miner.snd	2	0	exploration_dangerous
151	exp_man_vizsla_hideout	sound/music_acq_miner.snd	2	0	exploration_dangerous
152	bdg_boonta_bib	sound/music_acq_miner.snd	5	0	content
153	bdg_boonta_pod_racing	sound/music_acq_miner.snd	5	0	content
154	bdg_boonta_skyhopper_racing	sound/music_acq_miner.snd	5	0	content
155	bdg_empireday_rebel_recognized	sound/music_acq_miner.snd	5	0	content
156	bdg_empireday_imperial_recognized	sound/music_acq_miner.snd	5	0	content
157	chandrila_mon_mothma_house	sound/music_acq_miner.snd	2	0	exploration_easy
158	chandrila_jedi_tomb	sound/music_acq_miner.snd	2	0	exploration_jedi
159	chandrila_state_park	sound/music_acq_miner.snd	2	0	exploration_easy
160	coruscant_visit	sound/mus_imp_flourish_01.snd	2	0	exploration_easy
161	kuat_visit	sound/mus_imp_flourish_02.snd	2	0	exploration_easy
162	dac_visit	sound/mus_reb_flourish_01.snd	2	0	exploration_easy
163	utapau_visit	sound/mus_quest_found_lost_treasure.snd	2	0	exploration_easy
164	164	sound/music_acq_miner.snd	2	0	content
165	165	sound/music_acq_miner.snd	2	0	content
166	166	sound/music_acq_miner.snd	2	0	content
167	167	sound/music_acq_miner.snd	2	0	content
168	168	sound/music_acq_miner.snd	2	0	content
169	169	sound/music_acq_miner.snd	2	0	content
170	170	sound/music_acq_miner.snd	2	0	content
171	171	sound/music_acq_miner.snd	2	0	content
172	172	sound/music_acq_miner.snd	2	0	content
173	173	sound/music_acq_miner.snd	2	0	content
174	174	sound/music_acq_miner.snd	2	0	content
175	175	sound/music_acq_miner.snd	2	0	content
176	176	sound/music_acq_miner.snd	2	0	content
177	177	sound/music_acq_miner.snd	2	0	content
178	178	sound/music_acq_miner.snd	2	0	content
179	179	sound/music_acq_miner.snd	2	0	content
180	180	sound/music_acq_miner.snd	2	0	content
181	181	sound/music_acq_miner.snd	2	0	content
182	182	sound/music_acq_miner.snd	2	0	content
183	183	sound/music_acq_miner.snd	2	0	content
184	184	sound/music_acq_miner.snd	2	0	content
185	185	sound/music_acq_miner.snd	2	0	content
186	186	sound/music_acq_miner.snd	2	0	content
187	187	sound/music_acq_miner.snd	2	0	content
188	188	sound/music_acq_miner.snd	2	0	content
189	189	sound/music_acq_miner.snd	2	0	content
190	190	sound/music_acq_miner.snd	2	0	content
191	191	sound/music_acq_miner.snd	2	0	content
192	192	sound/music_acq_miner.snd	2	0	content
193	193	sound/music_acq_miner.snd	2	0	content
194	194	sound/music_acq_miner.snd	2	0	content
195	195	sound/music_acq_miner.snd	2	0	content
196	196	sound/music_acq_miner.snd	2	0	content
197	197	sound/music_acq_miner.snd	2	0	content
198	198	sound/music_acq_miner.snd	2	0	content
199	199	sound/music_acq_miner.snd	2	0	content
200	200	sound/music_acq_miner.snd	2	0	content
201	201	sound/music_acq_miner.snd	2	0	content
202	202	sound/music_acq_miner.snd	2	0	content
203	203	sound/music_acq_miner.snd	2	0	content
204	204	sound/music_acq_miner.snd	2	0	content
205	205	sound/music_acq_miner.snd	2	0	content
206	206	sound/music_acq_miner.snd	2	0	content
207	207	sound/music_acq_miner.snd	2	0	content
208	208	sound/music_acq_miner.snd	2	0	content
209	209	sound/music_acq_miner.snd	2	0	content
210	210	sound/music_acq_miner.snd	2	0	content
211	211	sound/music_acq_miner.snd	2	0	content
212	212	sound/music_acq_miner.snd	2	0	content
213	213	sound/music_acq_miner.snd	2	0	content
214	214	sound/music_acq_miner.snd	2	0	content
215	215	sound/music_acq_miner.snd	2	0	content
216	216	sound/music_acq_miner.snd	2	0	content
217	217	sound/music_acq_miner.snd	2	0	content
218	218	sound/music_acq_miner.snd	2	0	content
219	219	sound/music_acq_miner.snd	2	0	content
220	220	sound/music_acq_miner.snd	2	0	content
221	221	sound/music_acq_miner.snd	2	0	content
222	222	sound/music_acq_miner.snd	2	0	content
223	223	sound/music_acq_miner.snd	2	0	content
224	224	sound/music_acq_miner.snd	2	0	content
225	225	sound/music_acq_miner.snd	2	0	content
226	226	sound/music_acq_miner.snd	2	0	content
227	227	sound/music_acq_miner.snd	2	0	content
228	228	sound/music_acq_miner.snd	2	0	content
229	229	sound/music_acq_miner.snd	2	0	content
230	230	sound/music_acq_miner.snd	2	0	content
231	231	sound/music_acq_miner.snd	2	0	content
232	232	sound/music_acq_miner.snd	2	0	content
233	233	sound/music_acq_miner.snd	2	0	content
234	234	sound/music_acq_miner.snd	2	0	content
235	235	sound/music_acq_miner.snd	2	0	content
236	236	sound/music_acq_miner.snd	2	0	content
237	237	sound/music_acq_miner.snd	2	0	content
238	238	sound/music_acq_miner.snd	2	0	content
239	239	sound/music_acq_miner.snd	2	0	content
240	240	sound/music_acq_miner.snd	2	0	content
241	241	sound/music_acq_miner.snd	2	0	content
242	242	sound/music_acq_miner.snd	2	0	content
243	243	sound/music_acq_miner.snd	2	0	content
244	244	sound/music_acq_miner.snd	2	0	content
245	245	sound/music_acq_miner.snd	2	0	content
246	246	sound/music_acq_miner.snd	2	0	content
247	247	sound/music_acq_miner.snd	2	0	content
248	248	sound/music_acq_miner.snd	2	0	content
249	249	sound/music_acq_miner.snd	2	0	content
250	250	sound/music_acq_miner.snd	2	0	content
251	251	sound/music_acq_miner.snd	2	0	content
252	252	sound/music_acq_miner.snd	2	0	content
253	253	sound/music_acq_miner.snd	2	0	content
254	254	sound/music_acq_miner.snd	2	0	content
255	bdg_255	sound/music_acq_miner.snd	2	0	content
256	bdg_256	sound/music_acq_miner.snd	2	0	content
257	257	sound/music_acq_miner.snd	2	0	content
258	258	sound/music_acq_miner.snd	2	0	content
259	259	sound/music_acq_miner.snd	2	0	content
260	260	sound/music_acq_miner.snd	2	0	content
261	261	sound/music_acq_miner.snd	2	0	content
262	262	sound/music_acq_miner.snd	2	0	content
263	263	sound/music_acq_miner.snd	2	0	content
264	264	sound/music_acq_miner.snd	2	0	content
265	265	sound/music_acq_miner.snd	2	0	content
266	266	sound/music_acq_miner.snd	2	0	content
267	267	sound/music_acq_miner.snd	2	0	content
268	268	sound/music_acq_miner.snd	2	0	content
269	269	sound/music_acq_miner.snd	2	0	content
270	270	sound/music_acq_miner.snd	2	0	content
271	271	sound/music_acq_miner.snd	2	0	content
272	272	sound/music_acq_miner.snd	2	0	content
273	273	sound/music_acq_miner.snd	2	0	content
274	274	sound/music_acq_miner.snd	2	0	content
275	275	sound/music_acq_miner.snd	2	0	content
276	276	sound/music_acq_miner.snd	2	0	content
277	277	sound/music_acq_miner.snd	2	0	content
278	278	sound/music_acq_miner.snd	2	0	content
279	279	sound/music_acq_miner.snd	2	0	content
280	280	sound/music_acq_miner.snd	2	0	content
281	281	sound/music_acq_miner.snd	2	0	content
282	282	sound/music_acq_miner.snd	2	0	content
283	283	sound/music_acq_miner.snd	2	0	content
284	284	sound/music_acq_miner.snd	2	0	content
285	285	sound/music_acq_miner.snd	2	0	content
286	286	sound/music_acq_miner.snd	2	0	content
287	287	sound/music_acq_miner.snd	2	0	content
288	288	sound/music_acq_miner.snd	2	0	content
289	289	sound/music_acq_miner.snd	2	0	content
290	290	sound/music_acq_miner.snd	2	0	content
291	291	sound/music_acq_miner.snd	2	0	content
292	292	sound/music_acq_miner.snd	2	0	content
293	293	sound/music_acq_miner.snd	2	0	content
294	294	sound/music_acq_miner.snd	2	0	content
295	295	sound/music_acq_miner.snd	2	0	content
296	296	sound/music_acq_miner.snd	2	0	content
297	297	sound/music_acq_miner.snd	2	0	content
298	298	sound/music_acq_miner.snd	2	0	content
299	299	sound/music_acq_miner.snd	2	0	content
300	300	sound/music_acq_miner.snd	2	0	content
301	301	sound/music_acq_miner.snd	2	0	content
302	302	sound/music_acq_miner.snd	2	0	content
303	303	sound/music_acq_miner.snd	2	0	content
304	304	sound/music_acq_miner.snd	2	0	content
305	305	sound/music_acq_miner.snd	2	0	content
306	306	sound/music_acq_miner.snd	2	0	content
307	307	sound/music_acq_miner.snd	2	0	content
308	308	sound/music_acq_miner.snd	2	0	content
309	309	sound/music_acq_miner.snd	2	0	content
310	310	sound/music_acq_miner.snd	2	0	content
311	311	sound/music_acq_miner.snd	2	0	content
312	312	sound/music_acq_miner.snd	2	0	content
313	313	sound/music_acq_miner.snd	2	0	content
314	314	sound/music_acq_miner.snd	2	0	content
315	315	sound/music_acq_miner.snd	2	0	content
316	316	sound/music_acq_miner.snd	2	0	content
317	317	sound/music_acq_miner.snd	2	0	content
318	318	sound/music_acq_miner.snd	2	0	content
319	319	sound/music_acq_miner.snd	2	0	content
320	320	sound/music_acq_miner.snd	2	0	content
321	321	sound/music_acq_miner.snd	2	0	content
322	322	sound/music_acq_miner.snd	2	0	content
323	323	sound/music_acq_miner.snd	2	0	content
324	324	sound/music_acq_miner.snd	2	0	content
325	325	sound/music_acq_miner.snd	2	0	content
326	326	sound/music_acq_miner.snd	2	0	content
327	327	sound/music_acq_miner.snd	2	0	content
328	328	sound/music_acq_miner.snd	2	0	content
329	329	sound/music_acq_miner.snd	2	0	content
330	330	sound/music_acq_miner.snd	2	0	content
331	331	sound/music_acq_miner.snd	2	0	content
332	332	sound/music_acq_miner.snd	2	0	content
333	333	sound/music_acq_miner.snd	2	0	content
334	334	sound/music_acq_miner.snd	2	0	content
335	335	sound/music_acq_miner.snd	2	0	content
336	336	sound/music_acq_miner.snd	2	0	content
337	337	sound/music_acq_miner.snd	2	0	content
338	338	sound/music_acq_miner.snd	2	0	content
339	339	sound/music_acq_miner.snd	2	0	content
340	340	sound/music_acq_miner.snd	2	0	content
341	341	sound/music_acq_miner.snd	2	0	content
342	342	sound/music_acq_miner.snd	2	0	content
343	343	sound/music_acq_miner.snd	2	0	content
344	344	sound/music_acq_miner.snd	2	0	content
345	345	sound/music_acq_miner.snd	2	0	content
346	346	sound/music_acq_miner.snd	2	0	content
347	347	sound/music_acq_miner.snd	2	0	content
348	348	sound/music_acq_miner.snd	2	0	content
349	349	sound/music_acq_miner.snd	2	0	content
350	350	sound/music_acq_miner.snd	2	0	content
351	351	sound/music_acq_miner.snd	2	0	content
352	352	sound/music_acq_miner.snd	2	0	content
353	353	sound/music_acq_miner.snd	2	0	content
354	354	sound/music_acq_miner.snd	2	0	content
355	355	sound/music_acq_miner.snd	2	0	content
356	356	sound/music_acq_miner.snd	2	0	content
357	357	sound/music_acq_miner.snd	2	0	content
358	358	sound/music_acq_miner.snd	2	0	content
359	359	sound/music_acq_miner.snd	2	0	content
360	360	sound/music_acq_miner.snd	2	0	content
361	361	sound/music_acq_miner.snd	2	0	content
362	362	sound/music_acq_miner.snd	2	0	content
363	363	sound/music_acq_miner.snd	2	0	content
364	364	sound/music_acq_miner.snd	2	0	content
365	365	sound/music_acq_miner.snd	2	0	content
366	366	sound/music_acq_miner.snd	2	0	content
367	367	sound/music_acq_miner.snd	2	0	content
368	368	sound/music_acq_miner.snd	2	0	content
369	369	sound/music_acq_miner.snd	2	0	content
370	370	sound/music_acq_miner.snd	2	0	content
371	371	sound/music_acq_miner.snd	2	0	content
372	372	sound/music_acq_miner.snd	2	0	content
373	373	sound/music_acq_miner.snd	2	0	content
374	374	sound/music_acq_miner.snd	2	0	content
375	375	sound/music_acq_miner.snd	2	0	content
376	376	sound/music_acq_miner.snd	2	0	content
377	377	sound/music_acq_miner.snd	2	0	content
378	378	sound/music_acq_miner.snd	2	0	content
379	379	sound/music_acq_miner.snd	2	0	content
380	380	sound/music_acq_miner.snd	2	0	content
381	381	sound/music_acq_miner.snd	2	0	content
382	382	sound/music_acq_miner.snd	2	0	content
383	383	sound/music_acq_miner.snd	2	0	content
384	384	sound/music_acq_miner.snd	2	0	content
385	385	sound/music_acq_miner.snd	2	0	content
386	386	sound/music_acq_miner.snd	2	0	content
387	387	sound/music_acq_miner.snd	2	0	content
388	388	sound/music_acq_miner.snd	2	0	content
389	389	sound/music_acq_miner.snd	2	0	content
390	390	sound/music_acq_miner.snd	2	0	content
391	391	sound/music_acq_miner.snd	2	0	content
392	392	sound/music_acq_miner.snd	2	0	content
393	393	sound/music_acq_miner.snd	2	0	content
394	394	sound/music_acq_miner.snd	2	0	content
395	395	sound/music_acq_miner.snd	2	0	content
396	396	sound/music_acq_miner.snd	2	0	content
397	397	sound/music_acq_miner.snd	2	0	content
398	398	sound/music_acq_miner.snd	2	0	content
399	399	sound/music_acq_miner.snd	2	0	content
400	400	sound/music_acq_miner.snd	2	0	content
401	401	sound/music_acq_miner.snd	2	0	content
402	402	sound/music_acq_miner.snd	2	0	content
403	403	sound/music_acq_miner.snd	2	0	content
404	404	sound/music_acq_miner.snd	2	0	content
405	405	sound/music_acq_miner.snd	2	0	content
406	406	sound/music_acq_miner.snd	2	0	content
407	407	sound/music_acq_miner.snd	2	0	content
408	408	sound/music_acq_miner.snd	2	0	content
409	409	sound/music_acq_miner.snd	2	0	content
410	410	sound/music_acq_miner.snd	2	0	content
411	411	sound/music_acq_miner.snd	2	0	content
412	412	sound/music_acq_miner.snd	2	0	content
413	413	sound/music_acq_miner.snd	2	0	content
414	414	sound/music_acq_miner.snd	2	0	content
415	415	sound/music_acq_miner.snd	2	0	content
416	416	sound/music_acq_miner.snd	2	0	content
417	417	sound/music_acq_miner.snd	2	0	content
418	418	sound/music_acq_miner.snd	2	0	content
419	419	sound/music_acq_miner.snd	2	0	content
420	420	sound/music_acq_miner.snd	2	0	content
421	421	sound/music_acq_miner.snd	2	0	content
422	422	sound/music_acq_miner.snd	2	0	content
423	423	sound/music_acq_miner.snd	2	0	content
424	424	sound/music_acq_miner.snd	2	0	content
425	425	sound/music_acq_miner.snd	2	0	content
426	426	sound/music_acq_miner.snd	2	0	content
427	427	sound/music_acq_miner.snd	2	0	content
428	428	sound/music_acq_miner.snd	2	0	content
429	429	sound/music_acq_miner.snd	2	0	content
430	430	sound/music_acq_miner.snd	2	0	content
431	431	sound/music_acq_miner.snd	2	0	content
432	432	sound/music_acq_miner.snd	2	0	content
433	433	sound/music_acq_miner.snd	2	0	content
434	434	sound/music_acq_miner.snd	2	0	content
435	435	sound/music_acq_miner.snd	2	0	content
436	436	sound/music_acq_miner.snd	2	0	content
437	437	sound/music_acq_miner.snd	2	0	content
438	438	sound/music_acq_miner.snd	2	0	content
439	439	sound/music_acq_miner.snd	2	0	content
440	440	sound/music_acq_miner.snd	2	0	content
441	441	sound/music_acq_miner.snd	2	0	content
442	442	sound/music_acq_miner.snd	2	0	content
443	443	sound/music_acq_miner.snd	2	0	content
444	444	sound/music_acq_miner.snd	2	0	content
445	445	sound/music_acq_miner.snd	2	0	content
446	446	sound/music_acq_miner.snd	2	0	content
447	447	sound/music_acq_miner.snd	2	0	content
448	448	sound/music_acq_miner.snd	2	0	content
449	449	sound/music_acq_miner.snd	2	0	content
450	450	sound/music_acq_miner.snd	2	0	content
451	451	sound/music_acq_miner.snd	2	0	content
452	452	sound/music_acq_miner.snd	2	0	content
453	453	sound/music_acq_miner.snd	2	0	content
454	454	sound/music_acq_miner.snd	2	0	content
455	455	sound/music_acq_miner.snd	2	0	content
456	456	sound/music_acq_miner.snd	2	0	content
457	457	sound/music_acq_miner.snd	2	0	content
458	458	sound/music_acq_miner.snd	2	0	content
459	459	sound/music_acq_miner.snd	2	0	content
460	460	sound/music_acq_miner.snd	2	0	content
461	461	sound/music_acq_miner.snd	2	0	content
462	462	sound/music_acq_miner.snd	2	0	content
463	463	sound/music_acq_miner.snd	2	0	content
464	464	sound/music_acq_miner.snd	2	0	content
465	465	sound/music_acq_miner.snd	2	0	content
466	466	sound/music_acq_miner.snd	2	0	content
467	467	sound/music_acq_miner.snd	2	0	content
468	468	sound/music_acq_miner.snd	2	0	content
469	469	sound/music_acq_miner.snd	2	0	content
470	470	sound/music_acq_miner.snd	2	0	content
471	471	sound/music_acq_miner.snd	2	0	content
472	472	sound/music_acq_miner.snd	2	0	content
473	473	sound/music_acq_miner.snd	2	0	content
474	474	sound/music_acq_miner.snd	2	0	content
475	475	sound/music_acq_miner.snd	2	0	content
476	476	sound/music_acq_miner.snd	2	0	content
477	477	sound/music_acq_miner.snd	2	0	content
478	478	sound/music_acq_miner.snd	2	0	content
479	479	sound/music_acq_miner.snd	2	0	content
