Weapon Effect Id	Weapon Effect Index	Projectile Appearance Template	Fire Client Effect	Hit (Creature) Client Effect	Hit (Metal) Client Effect	Hit (Stone) Client Effect	Hit (Wood) Client Effect	Hit (Other) Client Effect	Miss (Hit Water) Client Effect	Miss (Hit Terrain) Client Effect	Miss (Hit Creature) Client Effect	Miss (Hit Metal) Client Effect	Miss (Hit Stone) Client Effect	Miss (Hit Wood) Client Effect	Miss (Hit Other) Client Effect	Miss (Hit Nothing) Client Effect	Ricochet Client Effect
bolt	10	appearance/pt_bolt_green.prt	clientEffect/combat_bls_0_wep_fire_disruptor_pistol.cef	clientEffect/combat_bls_4_disruptor_hit_creature_01.cef	clientEffect/combat_bls_4_disruptor_hit_metal_01.cef	clientEffect/combat_bls_4_disruptor_hit_stone_01.cef	clientEffect/combat_bls_4_disruptor_hit_wood_01.cef	clientEffect/combat_bls_4_disruptor_hit_other_01.cef	clientEffect/combat_bls_4_disruptor_miss_water_01.cef	clientEffect/combat_bls_4_disruptor_miss_terrain_01.cef	clientEffect/combat_bls_4_disruptor_miss_creature_01.cef	clientEffect/combat_bls_4_disruptor_miss_metal_01.cef	clientEffect/combat_bls_4_disruptor_miss_stone_01.cef	clientEffect/combat_bls_4_disruptor_miss_wood_01.cef	clientEffect/combat_bls_4_disruptor_miss_other_01.cef	clientEffect/combat_bls_4_disruptor_miss_nothing_01.cef	clientEffect/combat_miss.cef
bolt	11	appearance/pt_bolt_green.prt	clientEffect/combat_bls_2_wep_fire_disruptor_rifle.cef	clientEffect/combat_bls_4_disruptor_hit_creature_01.cef	clientEffect/combat_bls_4_disruptor_hit_metal_01.cef	clientEffect/combat_bls_4_disruptor_hit_stone_01.cef	clientEffect/combat_bls_4_disruptor_hit_wood_01.cef	clientEffect/combat_bls_4_disruptor_hit_other_01.cef	clientEffect/combat_bls_4_disruptor_miss_water_01.cef	clientEffect/combat_bls_4_disruptor_miss_terrain_01.cef	clientEffect/combat_bls_4_disruptor_miss_creature_01.cef	clientEffect/combat_bls_4_disruptor_miss_metal_01.cef	clientEffect/combat_bls_4_disruptor_miss_stone_01.cef	clientEffect/combat_bls_4_disruptor_miss_wood_01.cef	clientEffect/combat_bls_4_disruptor_miss_other_01.cef	clientEffect/combat_bls_4_disruptor_miss_nothing_01.cef	clientEffect/combat_miss.cef
bolt	12	appearance/pt_bolt_blue.prt	clientEffect/combat_bls_2_wep_fire_jawa_stun_blaster.cef	clientEffect/combat_bls_6_jawa_ion_hit_creature_01.cef	clientEffect/combat_bls_6_jawa_ion_hit_metal_01.cef	clientEffect/combat_bls_6_jawa_ion_hit_stone_01.cef	clientEffect/combat_bls_6_jawa_ion_hit_wood_01.cef	clientEffect/combat_bls_6_jawa_ion_hit_other_01.cef	clientEffect/combat_bls_6_jawa_ion_miss_water_01.cef	clientEffect/combat_bls_6_jawa_ion_miss_terrain_01.cef	clientEffect/combat_bls_6_jawa_ion_miss_creature_01.cef	clientEffect/combat_bls_6_jawa_ion_miss_metal_01.cef	clientEffect/combat_bls_6_jawa_ion_miss_stone_01.cef	clientEffect/combat_bls_6_jawa_ion_miss_wood_01.cef	clientEffect/combat_bls_6_jawa_ion_miss_other_01.cef	clientEffect/combat_bls_6_jawa_ion_miss_nothing_01.cef	clientEffect/combat_miss.cef
bolt	13	appearance/pt_bolt_blue.prt	clientEffect/combat_bls_2_wep_fire_sonic_rifle.cef	clientEffect/combat_bls_5_sonic_hit_creature_01.cef	clientEffect/combat_bls_5_sonic_hit_metal_01.cef	clientEffect/combat_bls_5_sonic_hit_stone_01.cef	clientEffect/combat_bls_5_sonic_hit_wood_01.cef	clientEffect/combat_bls_5_sonic_hit_other_01.cef	clientEffect/combat_bls_5_sonic_miss_water_01.cef	clientEffect/combat_bls_5_sonic_miss_terrain_01.cef	clientEffect/combat_bls_5_sonic_miss_creature_01.cef	clientEffect/combat_bls_5_sonic_miss_metal_01.cef	clientEffect/combat_bls_5_sonic_miss_stone_01.cef	clientEffect/combat_bls_5_sonic_miss_wood_01.cef	clientEffect/combat_bls_5_sonic_miss_other_01.cef	clientEffect/combat_bls_5_sonic_miss_nothing_01.cef	clientEffect/combat_miss.cef
bolt	14	appearance/pt_bolt_blue.prt	clientEffect/combat_bls_2_wep_fire_sonic_pistol.cef	clientEffect/combat_bls_5_sonic_hit_creature_01.cef	clientEffect/combat_bls_5_sonic_hit_metal_01.cef	clientEffect/combat_bls_5_sonic_hit_stone_01.cef	clientEffect/combat_bls_5_sonic_hit_wood_01.cef	clientEffect/combat_bls_5_sonic_hit_other_01.cef	clientEffect/combat_bls_5_sonic_miss_water_01.cef	clientEffect/combat_bls_5_sonic_miss_terrain_01.cef	clientEffect/combat_bls_5_sonic_miss_creature_01.cef	clientEffect/combat_bls_5_sonic_miss_metal_01.cef	clientEffect/combat_bls_5_sonic_miss_stone_01.cef	clientEffect/combat_bls_5_sonic_miss_wood_01.cef	clientEffect/combat_bls_5_sonic_miss_other_01.cef	clientEffect/combat_bls_5_sonic_miss_nothing_01.cef	clientEffect/combat_miss.cef
bolt	15	appearance/pt_bolt_green.prt	clientEffect/combat_bls_1_wep_fire_bowcaster.cef	clientEffect/combat_bls_4_disruptor_hit_creature_01.cef	clientEffect/combat_bls_4_disruptor_hit_metal_01.cef	clientEffect/combat_bls_4_disruptor_hit_stone_01.cef	clientEffect/combat_bls_4_disruptor_hit_wood_01.cef	clientEffect/combat_bls_4_disruptor_hit_other_01.cef	clientEffect/combat_bls_4_disruptor_miss_water_01.cef	clientEffect/combat_bls_4_disruptor_miss_terrain_01.cef	clientEffect/combat_bls_4_disruptor_miss_creature_01.cef	clientEffect/combat_bls_4_disruptor_miss_metal_01.cef	clientEffect/combat_bls_4_disruptor_miss_stone_01.cef	clientEffect/combat_bls_4_disruptor_miss_wood_01.cef	clientEffect/combat_bls_4_disruptor_miss_other_01.cef	clientEffect/combat_bls_4_disruptor_miss_nothing_01.cef	clientEffect/combat_miss.cef
bolt	16	appearance/pt_bolt_green.prt	clientEffect/combat_bls_1_wep_fire_spraystick.cef	clientEffect/combat_bls_4_disruptor_hit_creature_01.cef	clientEffect/combat_bls_4_disruptor_hit_metal_01.cef	clientEffect/combat_bls_4_disruptor_hit_stone_01.cef	clientEffect/combat_bls_4_disruptor_hit_wood_01.cef	clientEffect/combat_bls_4_disruptor_hit_other_01.cef	clientEffect/combat_bls_4_disruptor_miss_water_01.cef	clientEffect/combat_bls_4_disruptor_miss_terrain_01.cef	clientEffect/combat_bls_4_disruptor_miss_creature_01.cef	clientEffect/combat_bls_4_disruptor_miss_metal_01.cef	clientEffect/combat_bls_4_disruptor_miss_stone_01.cef	clientEffect/combat_bls_4_disruptor_miss_wood_01.cef	clientEffect/combat_bls_4_disruptor_miss_other_01.cef	clientEffect/combat_bls_4_disruptor_miss_nothing_01.cef	clientEffect/combat_miss.cef
bolt	17	appearance/pt_rocket_tracer.prt	clientEffect/combat_rocket_1_muz_flash.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_bls_1_red_miss_water_01.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_rocket_1_hit_creature.cef			clientEffect/combat_miss.cef
bolt	18	appearance/pt_bolt_scatter.prt	clientEffect/combat_slg_1_muz_rifle.cef	clientEffect/combat_bls_3_hv_blaster_hit_creature_01.cef	clientEffect/combat_bls_3_lt_blaster_hit_metal_01.cef	clientEffect/combat_bls_3_hv_blaster_hit_stone_01.cef	clientEffect/combat_bls_3_lt_blaster_hit_wood_01.cef	clientEffect/combat_bls_3_hv_blaster_hit_other_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_water_01.cef	clientEffect/combat_bls_3_hv_blaster_miss_terrain_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_creature_01.cef	clientEffect/combat_bls_3_hv_blaster_miss_metal_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_stone_01.cef	clientEffect/combat_bls_3_hv_blaster_miss_wood_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_other_01.cef	clientEffect/combat_bls_3_hv_blaster_miss_nothing_01.cef	clientEffect/combat_miss.cef
bolt	19	appearance/pt_bolt_green.prt	clientEffect/combat_ep1_republic_blaster_fire.cef	clientEffect/combat_bls_4_disruptor_hit_creature_01.cef	clientEffect/combat_bls_4_disruptor_hit_metal_01.cef	clientEffect/combat_bls_4_disruptor_hit_stone_01.cef	clientEffect/combat_bls_4_disruptor_hit_wood_01.cef	clientEffect/combat_bls_4_disruptor_hit_other_01.cef	clientEffect/combat_bls_4_disruptor_miss_water_01.cef	clientEffect/combat_bls_4_disruptor_miss_terrain_01.cef	clientEffect/combat_bls_4_disruptor_miss_creature_01.cef	clientEffect/combat_bls_4_disruptor_miss_metal_01.cef	clientEffect/combat_bls_4_disruptor_miss_stone_01.cef	clientEffect/combat_bls_4_disruptor_miss_wood_01.cef	clientEffect/combat_bls_4_disruptor_miss_other_01.cef	clientEffect/combat_bls_4_disruptor_miss_nothing_01.cef	clientEffect/combat_miss.cef
bolt	20	appearance/pt_bolt_lightning.prt	clientEffect/combat_lightning_rifle_fire.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef
bolt	21	appearance/pt_bolt_fireball.prt	clientEffect/combat_rocket_1_muz_flash.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_bls_1_red_miss_water_01.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_rocket_1_hit_creature.cef			clientEffect/combat_miss.cef
bolt	22	appearance/pt_bolt_crossbow.prt	clientEffect/combat_cr_spit_tooth.cef	clientEffect/combat_slg_1_hit_metal.cef	clientEffect/combat_slg_1_hit_stone.cef	clientEffect/combat_slg_1_hit_wood.cef	clientEffect/combat_slg_1_hit_other.cef	clientEffect/combat_slg_1_miss_water.cef	clientEffect/combat_slg_1_miss_terrain.cef	clientEffect/combat_slg_1_miss_creature.cef	clientEffect/combat_slg_1_miss_metal.cef	clientEffect/combat_slg_1_miss_stone.cef	clientEffect/combat_slg_1_miss_wood.cef	clientEffect/combat_slg_1_miss_terrain.cef	clientEffect/combat_slg_1_miss_nothing.cef	clientEffect/combat_miss.cef	clientEffect/combat_miss.cef
bolt_turret	0	appearance/pt_bolt_turret_red.prt	clientEffect/combat_bls_1_red_muz_flash_01.cef	clientEffect/combat_bls_1_red_hit_creature_01.cef	clientEffect/combat_miss.cef	clientEffect/combat_miss.cef	clientEffect/combat_miss.cef	clientEffect/combat_miss.cef	clientEffect/combat_bls_1_red_miss_water_01.cef	clientEffect/combat_turret_0_miss_terrain_01.cef	clientEffect/combat_turret_0_miss_terrain_01.cef	clientEffect/combat_turret_0_miss_terrain_01.cef	clientEffect/combat_turret_0_miss_terrain_01.cef	clientEffect/combat_turret_0_miss_terrain_01.cef	clientEffect/combat_turret_0_miss_terrain_01.cef	clientEffect/combat_turret_0_miss_terrain_01.cef	clientEffect/combat_miss.cef
rocket	0	appearance/pt_rocket_smoke.prt	clientEffect/combat_rocket_1_muz_flash.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_bls_1_red_miss_water_01.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_rocket_1_hit_creature.cef	clientEffect/combat_rocket_1_hit_creature.cef			clientEffect/combat_miss.cef
rocket	1	appearance/pt_laser_red.prt	clientEffect/combat_particle_cannon_fire.cef	clientEffect/combat_particle_cannon_hit.cef	clientEffect/combat_particle_cannon_hit.cef	clientEffect/combat_particle_cannon_hit.cef	clientEffect/combat_particle_cannon_hit.cef	clientEffect/combat_particle_cannon_hit.cef	clientEffect/combat_particle_cannon_hit.cef	clientEffect/combat_particle_cannon_hit.cef	clientEffect/combat_particle_cannon_hit.cef	clientEffect/combat_particle_cannon_hit.cef	clientEffect/combat_particle_cannon_hit.cef	clientEffect/combat_particle_cannon_hit.cef	clientEffect/combat_particle_cannon_hit.cef	clientEffect/combat_particle_cannon_hit.cef	clientEffect/combat_particle_cannon_hit.cef
rocket	2	appearance/pt_beam_acid.prt	clientEffect/combat_heavy_acid_launcher_hit.cef	clientEffect/combat_heavy_acid_launcher_hit.cef	clientEffect/combat_heavy_acid_launcher_hit.cef	clientEffect/combat_heavy_acid_launcher_hit.cef	clientEffect/combat_heavy_acid_launcher_hit.cef	clientEffect/combat_heavy_acid_launcher_hit.cef	clientEffect/combat_heavy_acid_launcher_hit.cef	clientEffect/combat_heavy_acid_launcher_hit.cef	clientEffect/combat_heavy_acid_launcher_hit.cef	clientEffect/combat_heavy_acid_launcher_hit.cef	clientEffect/combat_heavy_acid_launcher_hit.cef	clientEffect/combat_heavy_acid_launcher_hit.cef	clientEffect/combat_heavy_acid_launcher_hit.cef	clientEffect/combat_heavy_acid_launcher_hit.cef	clientEffect/combat_heavy_acid_launcher_hit.cef
rocket	3	appearance/pt_beam_lightning.prt	clientEffect/combat_lightning_rifle_fire.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef	clientEffect/combat_lightning_rifle_hit.cef
projectile_pistol	1	appearance/pt_bls_slug_trail.prt	clientEffect/combat_slg_1_muz_pistol.cef	clientEffect/combat_slg_1_hit_creature.cef	clientEffect/combat_slg_1_hit_metal.cef	clientEffect/combat_slg_1_hit_stone.cef	clientEffect/combat_slg_1_hit_wood.cef	clientEffect/combat_slg_1_hit_other.cef	clientEffect/combat_slg_1_miss_water.cef	clientEffect/combat_slg_1_miss_terrain.cef	clientEffect/combat_slg_1_miss_creature.cef	clientEffect/combat_slg_1_miss_metal.cef	clientEffect/combat_slg_1_miss_stone.cef	clientEffect/combat_slg_1_miss_wood.cef	clientEffect/combat_slg_1_miss_terrain.cef	clientEffect/combat_slg_1_miss_nothing.cef	clientEffect/combat_miss.cef
projectile_rifle	1	appearance/pt_bls_slug_trail.prt	clientEffect/combat_slg_1_muz_rifle.cef	clientEffect/combat_slg_1_hit_creature.cef	clientEffect/combat_slg_1_hit_metal.cef	clientEffect/combat_slg_1_hit_stone.cef	clientEffect/combat_slg_1_hit_wood.cef	clientEffect/combat_slg_1_hit_other.cef	clientEffect/combat_slg_1_miss_water.cef	clientEffect/combat_slg_1_miss_terrain.cef	clientEffect/combat_slg_1_miss_creature.cef	clientEffect/combat_slg_1_miss_metal.cef	clientEffect/combat_slg_1_miss_stone.cef	clientEffect/combat_slg_1_miss_wood.cef	clientEffect/combat_slg_1_miss_terrain.cef	clientEffect/combat_slg_1_miss_nothing.cef	clientEffect/combat_miss.cef
spit	0	appearance/pt_spit_green_lg.prt	clientEffect/combat_cr_spit.cef	clientEffect/combat_cr_spit_impact.cef	clientEffect/combat_cr_spit_impact.cef	clientEffect/combat_cr_spit_impact.cef	clientEffect/combat_cr_spit_impact.cef	clientEffect/combat_cr_spit_impact.cef	clientEffect/combat_cr_spit_impact.cef	clientEffect/combat_cr_spit_impact.cef	clientEffect/combat_cr_spit_impact.cef	clientEffect/combat_cr_spit_impact.cef	clientEffect/combat_cr_spit_impact.cef	clientEffect/combat_cr_spit_impact.cef	clientEffect/combat_cr_spit_impact.cef	clientEffect/combat_cr_spit_impact.cef	clientEffect/combat_miss.cef
spit	1	appearance/pt_spit_green_sm.prt	clientEffect/combat_cr_spit_tooth.cef	clientEffect/combat_slg_1_hit_creature.cef	clientEffect/combat_slg_1_hit_metal.cef	clientEffect/combat_slg_1_hit_stone.cef	clientEffect/combat_slg_1_hit_wood.cef	clientEffect/combat_slg_1_hit_other.cef	clientEffect/combat_slg_1_miss_water.cef	clientEffect/combat_slg_1_miss_terrain.cef	clientEffect/combat_slg_1_miss_creature.cef	clientEffect/combat_slg_1_miss_metal.cef	clientEffect/combat_slg_1_miss_stone.cef	clientEffect/combat_slg_1_miss_wood.cef	clientEffect/combat_slg_1_miss_terrain.cef	clientEffect/combat_slg_1_miss_nothing.cef	clientEffect/combat_miss.cef
spit	2	appearance/pt_spit_green_spray_sm.prt	clientEffect/combat_cr_spray.cef	clientEffect/combat_cr_spray_impact.cef	clientEffect/combat_cr_spray_impact.cef	clientEffect/combat_cr_spray_impact.cef	clientEffect/combat_cr_spray_impact.cef	clientEffect/combat_cr_spray_impact.cef	clientEffect/combat_cr_spray_impact.cef	clientEffect/combat_cr_spray_impact.cef	clientEffect/combat_cr_spray_impact.cef	clientEffect/combat_cr_spray_impact.cef	clientEffect/combat_cr_spray_impact.cef	clientEffect/combat_cr_spray_impact.cef	clientEffect/combat_cr_spray_impact.cef	clientEffect/combat_cr_spray_impact.cef	clientEffect/combat_cr_spray_impact.cef
