Weapon	Swoosh Appearance	Hue Swoosh	Attack Sound	Attack Sound Pitch	Hit Appearance	Hue Hit	Hit Target Sound	Hit Sound Pitch	Use Weapon Hue
shared_sword_01.iff	appearance/sw_streaked.swh	0	sound/wep_sword.snd	0		1		0	0
shared_sword_02.iff	appearance/sw_streaked.swh	0	sound/wep_sword.snd	0		1		0	0
shared_sword_acid.iff	appearance/sw_streaked.swh	0	sound/wep_sword_acid.snd	0		1		0	0
shared_sword_blade_ryyk.iff	appearance/sw_streaked.swh	0	sound/wep_sword_ryyk_blade.snd	0		1		0	0
shared_sword_curved_nyax.iff	appearance/sw_streaked.swh	0	sound/wep_sword_curved_nyax.snd	0		1		0	0
shared_sword_mace_junti.iff	appearance/sw_streaked.swh	0	sound/wep_sword_junti_mace.snd	0		1		0	0
shared_sword_marauder.iff	appearance/sw_streaked.swh	0	sound/wep_sword_marauder.snd	0		1		0	0
shared_sword_massassi.iff	appearance/sw_streaked.swh	0	sound/wep_sword_massassi.snd	0		1		0	0
shared_sword_nyax.iff	appearance/sw_streaked.swh	0	sound/wep_sword_nyax.snd	0		1		0	0
shared_sword_rantok.iff	appearance/sw_streaked_glow.swh	0	sound/wep_sword_rantok.snd	0		1		0	0
shared_sword_rsf.iff	appearance/sw_streaked_glow.swh	0	sound/wep_sword_rsf.snd	0		1		0	0
shared_ep3_loot_sickle.iff	appearance/sw_color_bands.swh	0	sound/wep_2h_sword_sith.snd	0		1		0	0
shared_ep3_loot_heartstriker.iff	appearance/sw_lines.swh	0	sound/wep_razor_knuckler.snd	0		1		0	0
shared_ep3_loot_blackbane.iff	appearance/sw_color_bands_purple.swh	0	sound/wep_knife_janta.snd	0		1		0	0
shared_ep3_loot_lifeblood.iff	appearance/sw_streaky_glow_coolwhite.swh	0	sound/wep_cleaver.snd	0		1		0	0
shared_ep3_loot_strike.iff	appearance/sw_vibrolance.swh	0	sound/wep_lance_vibro.snd	0		1		0	0
shared_ep3_loot_soulstinger.iff	appearance/sw_lines.swh	0	sound/wep_razor_knuckler.snd	0		1		0	0
shared_ep3_loot_eventide.iff	appearance/sw_streaked_glow.swh	0	sound/wep_sword_rantok.snd	0		1		0	0
shared_ep3_loot_pestilence.iff	appearance/sw_lines_nightsister.swh	0	sound/wep_lance_nightsister.snd	0		1		0	0
shared_ep3_loot_necrosis.iff	appearance/sw_lines.swh	0	sound/wep_razor_knuckler.snd	0		1		0	0
shared_ep3_loot_ripper.iff	appearance/sw_streaked.swh	0	sound/wep_sword_marauder.snd	0		1		0	0
shared_ep3_loot_executer.iff	appearance/sw_streaked.swh	1	sound/wep_2h_sword_kashyyk.snd	0		1		0	0
shared_ep3_loot_poisonspike.iff	appearance/sw_lines.swh	0	sound/wep_lance_cryo.snd	0		1		0	0
shared_2h_sword_avatar_wke_toothpick.iff	appearance/sw_streaked.swh	1	sound/wep_executioners_hack.snd	0		1		0	0
shared_baton_avatar_trando_stun_stick.iff	appearance/sw_streaky_glow_coolwhite.swh	0	sound/wep_baton_stun.snd	0		1		0	0
shared_lance_avatar_wke_heartlance.iff	appearance/sw_vibrolance.swh	0	sound/wep_lance_vibro.snd	0		1		0	0
shared_sword_avatar_wke_spiritblade.iff	appearance/sw_streaked.swh	0	sound/wep_sword.snd	0		1		0	0
shared_lance_staff_wood_s1_npe.iff	appearance/sw_polearm_brown.swh	0	sound/wep_staff.snd	0		1		0	0
shared_knife_survival_npe.iff	appearance/sw_stoneknife.swh	0	sound/wep_knife_survival.snd	0		1		0	0
shared_axe_heavy_duty_npe.iff	appearance/sw_streaky_glow_coolwhite.swh	0	sound/wep_axe.snd	0		1		0	0
shared_lance_staff_wood_s2_npe.iff	appearance/sw_polearm_dark_brown.swh	0	sound/wep_staff.snd	0		1		0	0
shared_sword_01_npe.iff	appearance/sw_streaked.swh	0	sound/wep_sword.snd	0		1		0	0
shared_2h_sword_battleaxe_npe.iff	appearance/sw_lines.swh	0	sound/wep_battleaxe.snd	0		1		0	0
shared_lance_controllerfp_npe.iff	appearance/sw_lines.swh	0	sound/wep_lance_vibro_controller_fp.snd	0		1		0	0
shared_baton_gaderiffi_npe.iff	appearance/sw_streaky_glow_coolwhite.swh	0	sound/wep_baton_gaderiffi.snd	0		1		0	0
shared_2h_sword_cleaver_npe.iff	appearance/sw_streaky_glow_coolwhite.swh	0	sound/wep_cleaver.snd	0		1		0	0
shared_vibroknuckler_npe.iff	appearance/sw_lines.swh	0	sound/wep_knuckler_vibro.snd	0		1		0	0
shared_vibroknuckler_static.iff	appearance/sw_lines.swh	0	sound/wep_knuckler_vibro.snd	0		1		0	0
shared_sword_01_static.iff	appearance/sw_streaked.swh	0	sound/wep_sword.snd	0		1		0	0
shared_knife_dagger_static.iff	appearance/sw_color_bands.swh	0	sound/wep_knife_twilek_dagger.snd	0		1		0	0
shared_som_lance_obsidian.iff	appearance/sw_lines.swh	0	sound/wep_melee_som_lance_obsidian.snd	0		1		0	0
shared_som_lance_xandank.iff	appearance/sw_lines.swh	0	sound/wep_melee_som_lance_xandank.snd	0		1		0	0
shared_som_sword_mustafar_bandit.iff	appearance/sw_streaked.swh	0	sound/wep_melee_som_sword_mustafar_bandit.snd	0		1		0	0
shared_som_sword_obsidian.iff	appearance/sw_streaked.swh	0	sound/wep_melee_som_sword_obsidian.snd	0		1		0	0
shared_som_2h_sword_tulrus.iff	appearance/sw_streaked.swh	0	sound/wep_melee_som_2h_sword_tulrus.snd	0		1		0	0
shared_som_2h_sword_obsidian.iff	appearance/sw_streaked.swh	0	sound/wep_melee_som_2h_sword_obsidian.snd	0		1		0	0
shared_som_lance_obsidian_generic.iff	appearance/sw_lines.swh	0	sound/wep_melee_som_lance_obsidian.snd	0		1		0	0
shared_som_lance_xandank_generic.iff	appearance/sw_lines.swh	0	sound/wep_melee_som_lance_xandank.snd	0		1		0	0
shared_som_sword_mustafar_bandit_generic.iff	appearance/sw_streaked.swh	0	sound/wep_melee_som_sword_mustafar_bandit.snd	0		1		0	0
shared_som_sword_obsidian_generic.iff	appearance/sw_streaked.swh	0	sound/wep_melee_som_sword_obsidian.snd	0		1		0	0
shared_som_2h_sword_tulrus_generic.iff	appearance/sw_streaked.swh	0	sound/wep_melee_som_2h_sword_tulrus.snd	0		1		0	0
shared_som_2h_sword_obsidian_generic.iff	appearance/sw_streaked.swh	0	sound/wep_melee_som_2h_sword_obsidian.snd	0		1		0	0
shared_2h_sword_sith_generic.iff	appearance/sw_streaked.swh	1	sound/wep_2h_sword_sith.snd	0		1		0	0
shared_lance_kashyyk_generic.iff	appearance/sw_lines.swh	0	sound/wep_polearm_kashyyk_bladestick	0		1		0	0
shared_blacksun_razor_generic.iff	appearance/sw_lines.swh	0	sound/wep_razor_knuckler.snd	0		1		0	0
shared_blasterfist_generic.iff	appearance/sw_lines.swh	0	sound/wep_blasterfist.snd	0		1		0	0
shared_massassiknuckler_generic.iff	appearance/sw_lines.swh	0	sound/wep_massassiknuckler.snd	0		1		0	0
shared_sword_mace_junti_generic.iff	appearance/sw_streaked.swh	0	sound/wep_sword_junti_mace.snd	0		1		0	0
shared_sword_massassi_generic.iff	appearance/sw_streaked.swh	0	sound/wep_sword_massassi.snd	0		1		0	0
shared_sword_rantok_generic.iff	appearance/sw_streaked_glow.swh	0	sound/wep_sword_rantok.snd	0		1		0	0
shared_sword_rsf_generic.iff	appearance/sw_streaked_glow.swh	0	sound/wep_sword_rsf.snd	0		1		0	0
shared_lance_kaminoan_generic.iff	appearance/sw_lines.swh	0	sound/wep_lance_kaminoan.snd	0		1		0	0
shared_polearm_vibro_axe_npe.iff	appearance/sw_vibrolance.swh	0	sound/wep_poleaxe_vibro.snd	0		1		0	0
shared_lance_staff_magna_guard.iff		0	sound/wep_polearm_magnaguard.snd	0	appearance/pt_magnaguard_sparks_hit.prt	1	sound/wep_polearm_magnaguard_hit.snd	0	0
shared_pvp_bf_knuckler.tpf	appearance/sw_streaked.swh	0	sound/wep_knuckler_vibro.snd	0		1		0	0
shared_sword_pvp_bf_01.iff	appearance/sw_streaky_glow_coolwhite.swh	1	sound/wep_sword_nyax.snd	0		1	sound/wep_sm_blade_hit_flesh.snd	0	0
shared_2h_sword_pvp_bf_01.iff	appearance/sw_streaked.swh	0	sound/wep_sword_massassi.snd	0		1		0	0
shared_lance_gcw_gand_shockprod.iff		0	sound/wep_polearm_magnaguard.snd	0	appearance/pt_magnaguard_sparks_hit.prt	1	sound/wep_polearm_magnaguard_hit.snd	0	0
shared_2h_sword_maul_legendary.iff	appearance/sw_streaked.swh	0	sound/wep_2h_sword_maul.snd	0		1		0	0
shared_baton_stun_legendary.iff	appearance/sw_streaky_glow_coolwhite.swh	0	sound/wep_baton_stun.snd	0		1		0	0
shared_lance_nightsister_legendary.iff	appearance/sw_lines_nightsister.swh	0	sound/wep_lance_vibro_nightsister.snd	0		1		0	0
shared_fan_metal.iff	appearance/sw_lines.swh	0	sound/wep_blasterfist.snd	0		1		0	0
shared_wod_war_fan.iff	appearance/sw_lines.swh	0	sound/wep_blasterfist.snd	0		1		0	0
