location	hardpoint
HIT_LOCATION_R_LEG	fambaa_rrearshin
HIT_LOCATION_R_LEG	right_ankle
HIT_LOCATION_R_LEG	right_shin
HIT_LOCATION_R_LEG	rHeel
HIT_LOCATION_R_LEG	r_rear_shin
HIT_LOCATION_R_LEG	RMidLeg2
HIT_LOCATION_R_LEG	rBkLeg2
HIT_LOCATION_R_LEG	rWing
HIT_LOCATION_R_LEG	joint10
HIT_LOCATION_R_LEG	rRearAnkle
HIT_LOCATION_R_LEG	rHip
HIT_LOCATION_R_LEG	R_B_knee
HIT_LOCATION_R_LEG	tentacle0
HIT_LOCATION_R_LEG	rLeg2_3
HIT_LOCATION_R_LEG	tail2
HIT_LOCATION_R_LEG	r_elbow
HIT_LOCATION_R_LEG	arm05
HIT_LOCATION_R_LEG	armBase
HIT_LOCATION_R_LEG	arm_e_bicep
HIT_LOCATION_R_LEG	door
HIT_LOCATION_L_LEG	lshin
HIT_LOCATION_L_LEG	am_lfoot
HIT_LOCATION_L_LEG	lknee
HIT_LOCATION_L_LEG	lRearLeg2
HIT_LOCATION_L_LEG	l_kneeb
HIT_LOCATION_L_LEG	l_knee
HIT_LOCATION_L_LEG	lankle
HIT_LOCATION_L_LEG	l_knee_1
HIT_LOCATION_L_LEG	left_knee
HIT_LOCATION_L_LEG	lftKnee
HIT_LOCATION_L_LEG	l_b_leg2
HIT_LOCATION_L_LEG	LUpperLeg
HIT_LOCATION_L_LEG	l_back_hip
HIT_LOCATION_L_LEG	lRearHeel
HIT_LOCATION_L_LEG	LRearKnee
HIT_LOCATION_L_LEG	joint71
HIT_LOCATION_L_LEG	L_rear_knee1
HIT_LOCATION_L_LEG	fambaa_lrearshin
HIT_LOCATION_L_LEG	left_ankle
HIT_LOCATION_L_LEG	left_shin
HIT_LOCATION_L_LEG	lHeel
HIT_LOCATION_L_LEG	l_rear_shin
HIT_LOCATION_L_LEG	LMidLeg2
HIT_LOCATION_L_LEG	lBkLeg2
HIT_LOCATION_L_LEG	lWing
HIT_LOCATION_L_LEG	joint21
HIT_LOCATION_L_LEG	lRearAnkle
HIT_LOCATION_L_LEG	lHip
HIT_LOCATION_L_LEG	L_B_knee
HIT_LOCATION_L_LEG	tentacle_1
HIT_LOCATION_L_LEG	lLeg2_3
HIT_LOCATION_L_LEG	tail1
HIT_LOCATION_L_LEG	m_shoulder
HIT_LOCATION_L_LEG	arm01
HIT_LOCATION_L_LEG	arm2
HIT_LOCATION_L_LEG	arm_b_bicep
HIT_LOCATION_L_LEG	door
