Weapon	Muzzle Appearance	Hue Muzzle Effect	Muzzle Sound	Muzzle Sound Pitch	Bolt Appearance	Hue Bolt	Hit Target Appearance	Hue Hit	Miss Target Appearance	Hue Miss	Ricochet Appearance	Hue Ricochet	Hit Target Sound	Hit Target Sound Pitch	Hit Nothing Sound	Hit Nothing Sound Pitch	Hit Ricochet Sound	Hit Ricochet Sound Pitch	Hit Effect Scale	Add Damage Base Hit Effect	Add Damage Elemental Hit Effect
shared_creature_spit_particle_beam.iff	appearance/pt_bls_1_red_muz_flash_01.prt	0	sound/wep_particle_cannon_fire.snd	0	appearance/pt_laser_red.prt	0	appearance/pt_bls_1_red_hit_other_01.prt	0	appearance/pt_bls_1_red_hit_other_01.prt	0	appearance/pt_bls_1_red_hit_other_01.prt	0	sound/wep_particle_cannon_hit.snd	0		0		0	1	1	1
shared_creature_spit_small_green.iff		0	sound/cr_spit_tooth_fire.snd	0	appearance/pt_spit_green_sm.prt	0	appearance/pt_slg_1_hit_creature.prt	0	appearance/pt_slg_1_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_projectile_hit_flesh.snd	0		0		0	1	1	1
shared_creature_spit_small_red.iff		0	sound/cr_spit_tooth_fire.snd	0	appearance/pt_spit_red_sm.prt	0	appearance/pt_slg_1_hit_creature.prt	0	appearance/pt_slg_1_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_projectile_hit_flesh.snd	0		0		0	1	1	1
shared_creature_spit_small_toxicgreen.iff		0	sound/cr_spit_tooth_fire.snd	0	appearance/pt_spit_toxicgreen_sm.prt	0	appearance/pt_slg_1_hit_creature.prt	0	appearance/pt_slg_1_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_projectile_hit_flesh.snd	0		0		0	1	1	1
shared_creature_spit_small_yellow.iff		0	sound/cr_spit_tooth_fire.snd	0	appearance/pt_spit_yellow_sm.prt	0	appearance/pt_slg_1_hit_creature.prt	0	appearance/pt_slg_1_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_projectile_hit_flesh.snd	0		0		0	1	1	1
shared_creature_spit_spray_green.iff		0	sound/cr_spray_fire.snd	0	appearance/pt_spit_green_spray_sm.prt	0	appearance/pt_spit_hit_green.prt	0	appearance/pt_spit_hit_green.prt	0	appearance/pt_blast_deflect.prt	0	sound/cr_spray_impact.snd	0		0		0	1	1	1
shared_creature_spit_spray_red.iff		0	sound/cr_spray_fire.snd	0	appearance/pt_spit_red_spray_sm.prt	0	appearance/pt_spit_hit_red.prt	0	appearance/pt_spit_hit_red.prt	0	appearance/pt_blast_deflect.prt	0	sound/cr_spray_impact.snd	0		0		0	1	1	1
shared_creature_spit_spray_toxicgreen.iff		0	sound/cr_spray_fire.snd	0	appearance/pt_spit_toxicgreen_spray_sm.prt	0	appearance/pt_spit_hit_green.prt	0	appearance/pt_spit_hit_green.prt	0	appearance/pt_blast_deflect.prt	0	sound/cr_spray_impact.snd	0		0		0	1	1	1
shared_creature_spit_spray_yellow.iff		0	sound/cr_spray_fire.snd	0	appearance/pt_spit_yellow_spray_sm.prt	0	appearance/pt_spit_hit_yellow.prt	0	appearance/pt_spit_hit_yellow.prt	0	appearance/pt_blast_deflect.prt	0	sound/cr_spray_impact.snd	0		0		0	1	1	1
shared_droid_astromech_ranged.iff	appearance/pt_bls_1_blue_muz_flash_01.prt	0	sound/wep_lightning_rifle_fire.snd	0	appearance/pt_beam_lightning.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	sound/wep_lightning_rifle_hit.snd	0		0		0	1	1	1
shared_droid_droideka_ranged.iff	appearance/pt_bls_1_red_muz_flash_01.prt	0	sound/dro_droideka_fire.snd	0	appearance/pt_bolt_red.prt	0	appearance/pt_bls_1_red_hit_creature_01.prt	0	appearance/pt_bls_1_red_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_hv_blaster_hit_flesh.snd	0		0		0	1	1	1
shared_droid_probot_ranged.iff		0	sound/cr_spit_tooth_fire.snd	0	appearance/pt_bolt_red.prt	0	appearance/pt_bls_1_red_hit_creature_01.prt	0	appearance/pt_slg_1_hit_other_01.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_lt_blaster_hit_flesh.snd	0		0		0	1	1	1
shared_heavy_acid_beam.iff	appearance/pt_bls_1_green_muz_flash_01.prt	0	sound/wep_quest_heavy_acid_beam.snd	0	appearance/pt_acidfield_bolt.prt	0	appearance/pt_bls_1_green_hit_creature_01.prt	0	appearance/pt_bls_1_green_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_heavy_acid_launcher_hit.snd	0		0		0	1	1	1
shared_heavy_lightning_beam.iff	appearance/pt_bls_1_blue_muz_flash_01.prt	0	sound/wep_lightning_rifle_fire.snd	0	appearance/pt_lightning_cannon.ltn	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	sound/wep_lightning_rifle_hit.snd	0		0		0	1	1	1
shared_heavy_particle_beam.iff	appearance/pt_bls_1_red_muz_flash_01.prt	0	sound/wep_particle_cannon_fire.snd	0	appearance/pt_heavy_particle_beam.ltn	0		0		0	appearance/pt_blast_deflect.prt	0	sound/wep_particle_cannon_hit.snd	0		0		0	1	1	1
shared_heavy_rocket_launcher.iff		0	sound/wep_heavy_rocket_launcher.snd	0	appearance/pt_rocketlauncher_rocket.prt	0		0		0	appearance/pt_blast_deflect.prt	0	sound/exp_medium_generic.snd	0		0		0	1	1	1
shared_pistol_alliance_disruptor.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_alliance_disruptor.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_cdef.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_blaster_cdef.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_cdef_corsec.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_blaster_cdef_corsec.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_d18.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_blaster_d18.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_de_10.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_de_10.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_deathhammer.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_deathhammer_needle.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_dh17.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_blaster_dh17.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_dl44.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_blaster_dl44.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_dl44_metal.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_blaster_dl44_metal.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_dl44_metal_light.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_blaster_dl44_metal.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_dx2.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_disrupter_dx2.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_flare.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_flare.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_flechette.iff	appearance/pt_slg_1_muz_flash_01.prt	0	sound/wep_projectile_pistol.snd	0	appearance/pt_bolt_flechette.prt	0	appearance/pt_slg_1_hit_creature.prt	0	appearance/pt_wp_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_projectile_hit_flesh.snd	0		0		0	1	1	1
shared_pistol_fwg5.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_flechette_fwg5_quest.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_fwg5_quest.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_flechette_fwg5_quest.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_geonosian_sonic_blaster_loot.iff	appearance/pt_bug_gun_fire.prt	0	sound/wep_geonos_sonic_fire.snd	0	appearance/pt_bug_gun_bolt.prt	0	appearance/pt_bls_1_blue_hit_creature_01.prt	0	appearance/pt_bls_1_blue_miss_nothing_01.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_geonos_sonic_hit_flesh.snd	0		0		0	1	1	1
shared_pistol_intimidator.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_intimidator.snd	0	appearance/pt_bolt_underslug_rotary_carbine.prt	0	appearance/pt_slg_1_hit_creature.prt	0	appearance/pt_wp_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_projectile_hit_flesh.snd	0		0		0	1	1	1
shared_pistol_ion_stunner.iff	appearance/pt_bls_1_blue_muz_flash_01.prt	0	sound/wep_lightning_rifle_fire.snd	0	appearance/pt_lightning_cannon.ltn	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	sound/wep_lightning_rifle_hit.snd	0		0		0	1	1	1
shared_pistol_jawa.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_jawa.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_kyd21.iff	appearance/pt_bls_1_red_muz_flash_01.prt	0	sound/wep_pistol_kyd21.snd	0	appearance/pt_bolt_red.prt	0	appearance/pt_bls_1_red_hit_creature_01.prt	0	appearance/pt_bls_1_red_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_projectile_hit_flesh.snd	0		0		0	1	1	1
shared_pistol_launcher.iff	appearance/pt_poisonfield_muzzle.prt	0	sound/wep_quest_pistol_launcher.snd	0		0		0		0	appearance/pt_blast_deflect.prt	0	sound/wep_heavy_acid_launcher_hit.snd	0		0		0	1	1	1
shared_pistol_launcher_elite.iff	appearance/pt_poisonfield_muzzle.prt	1	sound/wep_quest_pistol_launcher.snd	0		1		1		0		0	sound/wep_heavy_acid_launcher_hit.snd	0		0		0	1	1	1
shared_pistol_launcher_medium.iff	appearance/pt_poisonfield_muzzle.prt	1	sound/wep_quest_pistol_launcher.snd	0		1		1		0		0	sound/wep_heavy_acid_launcher_hit.snd	0		0		0	1	1	1
shared_pistol_power5.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_blaster_power5.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_quest_imperial_navy_formal.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_quest_imperial_navy_formal.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_renegade.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_renegade.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_republic_blaster.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_republic_blaster.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_republic_blaster_quest.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_republic_blaster_quest.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_scatter.iff	appearance/pt_slg_1_muz_flash_01.prt	0	sound/wep_projectile_rifle.snd	0	appearance/pt_bolt_scatter.prt	0	appearance/pt_bls_1_red_hit_creature_01.prt	0	appearance/pt_slg_1_hit_other_01.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_hv_blaster_hit_flesh.snd	0		0		0	1	1	1
shared_pistol_scout_blaster.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_blaster_scout_trooper.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_scout_blaster_corsec.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_blaster_scout_trooper_corsec.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_srcombat.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_blaster_short_range_combat.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_striker.iff	appearance/pt_slg_1_muz_flash_01.prt	0	sound/wep_projectile_rifle.snd	0	appearance/pt_bls_slug_trail.prt	0	appearance/pt_slg_1_hit_creature.prt	0	appearance/pt_wp_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_projectile_hit_flesh.snd	0		0		0	1	1	1
shared_pistol_tangle.iff	appearance/pt_slg_1_muz_flash_01.prt	0	sound/wep_projectile_rifle.snd	0	appearance/pt_bls_slug_trail.prt	0	appearance/pt_slg_1_hit_creature.prt	0	appearance/pt_wp_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_projectile_hit_flesh.snd	0		0		0	1	1	1
shared_pistol_trando_suppressor.iff	appearance/pt_bls_1_blue_muz_flash_01.prt	0	sound/wep_pistol_trandoshan_suppressor.snd	0	appearance/pt_lightning_cannon.ltn	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	sound/wep_lightning_rifle_hit.snd	0		0		0	1	1	1
shared_pistol_wookiee.iff	appearance/pt_bug_gun_fire.prt	0	sound/wep_wookiee_blaster_glove.snd	0	appearance/pt_bug_gun_bolt.prt	0	appearance/pt_bls_1_blue_hit_creature_01.prt	0	appearance/pt_bls_1_blue_miss_nothing_01.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_geonos_sonic_hit_flesh.snd	0		0		0	1	1	1
shared_pistol_wookiee_bowcaster.iff	appearance/pt_bls_1_green_muz_flash_01.prt	0	sound/wep_wookiee_bowcaster_pistol.snd	0	appearance/pt_bolt_green.prt	0	appearance/pt_bls_1_green_hit_creature_01.prt	0	appearance/pt_bls_1_green_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_lt_blaster_hit_flesh.snd	0		0		0	1	1	1
shared_quest_heavy_acid_beam.iff	appearance/pt_bls_1_green_muz_flash_01.prt	0	sound/wep_quest_heavy_acid_beam.snd	0	appearance/pt_acidfield_bolt.prt	0	appearance/pt_bls_1_green_hit_creature_01.prt	0	appearance/pt_bls_1_green_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_heavy_acid_launcher_hit.snd	0		0		0	1	1	1
shared_quest_heavy_particle_beam.iff	appearance/pt_bls_1_red_muz_flash_01.prt	1	sound/wep_quest_heavy_particle_beam.snd	0	appearance/pt_heavy_particle_beam.ltn	0		0		0	appearance/pt_blast_deflect.prt	0	sound/wep_particle_cannon_hit.snd	0		0		0	1	1	1
shared_quest_pistol_launcher.iff	appearance/pt_poisonfield_muzzle.prt	0	sound/wep_quest_pistol_launcher.snd	0	appearance/pt_poisonflield_muzzle.prt	0	appearance/pt_explosion_md.prt	0	appearance/pt_mine_explosion.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_heavy_acid_launcher_hit.snd	0		0		0	1	1	1
shared_quest_pistol_republic_blaster.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_quest_pistol_republic_blaster_quest.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_quest_rifle_flame_thrower.iff		0	sound/wep_shoulder_launch.snd	0	appearance/pt_bolt_fireball.prt	0	appearance/pt_mine_explosion.prt	0	appearance/pt_mine_explosion.prt	0	appearance/pt_mine_explosion.prt	0	sound/exp_large_generic.snd	0		0		0	1	1	1
shared_quest_rifle_lightning.iff	appearance/pt_bls_1_blue_muz_flash_01.prt	0	sound/wep_lightning_rifle_fire.snd	0	appearance/pt_light_lightning_cannon.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	sound/wep_lightning_rifle_hit.snd	0		0		0	1	1	1
shared_rifle_acid_beam.iff	appearance/pt_bls_1_green_muz_flash_01.prt	0	sound/wep_quest_heavy_acid_beam.snd	0	appearance/pt_acidfield_bolt.prt	0	appearance/pt_bls_1_green_hit_creature_01.prt	0	appearance/pt_bls_1_green_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_heavy_acid_launcher_hit.snd	0		0		0	1	1	1
shared_rifle_adventurer.iff	appearance/pt_wp_muzzle_rifle.prt	1	sound/wep_rifle_adventurer_hv_sniper.snd	0	appearance/pt_wp_bolt_rifle.prt	1		1		0		0		0		0		0	1	1	1
shared_rifle_beam.iff	appearance/pt_wp_muzzle_rifle.prt	1	sound/wep_rifle_beam.snd	0	appearance/pt_wp_bolt_rifle.prt	1		1		0		0		0		0		0	1	1	1
shared_rifle_berserker.iff	appearance/pt_slg_1_muz_flash_01.prt	0	sound/wep_projectile_rifle.snd	0	appearance/pt_bolt_flechette.prt	0	appearance/pt_slg_1_hit_creature.prt	0	appearance/pt_wp_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_projectile_hit_flesh.snd	0		0		0	1	1	1
shared_rifle_bowcaster.iff	appearance/pt_bls_1_green_muz_flash_01.prt	1	sound/wep_rifle_bowcaster.snd	1	appearance/pt_bolt_green.prt	1	appearance/pt_wp_hit_mode1.prt	1		0	appearance/pt_blast_deflect.prt	1	sound/wep_lt_blaster_hit_flesh.snd	0		0		0	1	1	1
shared_rifle_bowcaster_heavy.iff	appearance/pt_bls_1_green_muz_flash_01.prt	1	sound/wep_rifle_bowcaster.snd	1	appearance/pt_bolt_green.prt	1	appearance/pt_wp_hit_mode1.prt	1		0	appearance/pt_blast_deflect.prt	1	sound/wep_lt_blaster_hit_flesh.snd	0		0		0	1	1	1
