PobName	Cell Name	Day sound/ambient Sound (2d .snd)	Night sound/ambient Sound (2d .snd)	First Music (2d .snd)	Surface Type	Fog Enabled	Fog Density	Fog Color R	Fog Color G	Fog Color B	Environment Map (dds)	Room Type
mun_tato_guild_commerce_s01	default	sound/amb_desert_inside.snd	sound/default_interior.snd		stone	1	0.02	0.3	0.3	0.26	texture/env_tato_house.dds	22
mun_tato_guild_theater_s01	default	sound/amb_desert_inside.snd	sound/default_interior.snd		wood	1	0.02	0.3	0.3	0.26	texture/env_tato_house.dds	22
mun_tato_guild_university_s01	default	sound/amb_desert_inside.snd	sound/default_interior.snd		carpet	1	0.02	0.3	0.3	0.26	texture/env_tato_house.dds	22
mun_tato_hospital_s01	default	sound/amb_desert_inside.snd	sound/default_interior.snd		metal	1	0.02	0.3	0.3	0.26	texture/env_tato_house.dds	22
mun_tato_hospital_s02	default	sound/amb_desert_inside.snd	sound/default_interior.snd		metal	1	0.02	0.3	0.3	0.26	texture/env_tato_house.dds	22
mun_tato_hotel_s01	default	sound/amb_desert_inside.snd	sound/default_interior.snd		wood	1	0.02	0.3	0.3	0.26	texture/env_tato_house.dds	22
mun_tato_starport_s01_u01	default	sound/amb_starport_int_lp.snd	sound/amb_starport_int_lp.snd		metal	1	0.009	0.3	0.3	0.32	texture/env_corl_interior.dds	22
ply_all_assoc_hall_civ_s01	default	sound/default_interior.snd	sound/default_interior.snd		stone	0	0	0	0	0	texture/env_corl_interior.dds	22
ply_all_house_lg_s01_fp1	default	sound/default_interior.snd	sound/default_interior.snd		stone	0	0	0	0	0	texture/env_corl_interior.dds	22
ply_all_house_lg_s02_fp1	default	sound/default_interior.snd	sound/default_interior.snd		stone	0	0	0	0	0	texture/env_corl_interior.dds	22
ply_all_house_m_s01_fp1	default	sound/default_interior.snd	sound/default_interior.snd		stone	0	0	0	0	0	texture/env_corl_interior.dds	22
ply_all_house_m_s02_fp1	default	sound/default_interior.snd	sound/default_interior.snd		stone	0	0	0	0	0	texture/env_corl_interior.dds	22
ply_all_house_sm_s01_fp1	default	sound/default_interior.snd	sound/default_interior.snd		stone	0	0	0	0	0	texture/env_corl_interior.dds	22
ply_all_house_sm_s01_fp2	default	sound/default_interior.snd	sound/default_interior.snd		stone	0	0	0	0	0	texture/env_corl_interior.dds	22
ply_all_house_sm_s02_fp1	default	sound/default_interior.snd	sound/default_interior.snd		stone	0	0	0	0	0	texture/env_corl_interior.dds	22
ply_all_house_sm_s02_fp2	default	sound/default_interior.snd	sound/default_interior.snd		stone	0	0	0	0	0	texture/env_corl_interior.dds	22
ply_all_merchant_tent_s01	default	sound/default_interior.snd	sound/default_interior.snd		stone	1	0.002	0.16	0.16	0.16	texture/env_yavn_grey.dds	22
ply_corl_assoc_hall_civ_s01	default	sound/default_interior.snd	sound/default_interior.snd		metal	0	0	0	0	0	texture/env_corl_interior.dds	22
ply_corl_capitol_s01	default	sound/default_interior.snd	sound/default_interior.snd		stone	0	0	0	0	0	texture/env_capitol.dds	22
ply_corl_house_lg_s01_fp1	default	sound/default_interior.snd	sound/default_interior.snd		metal	0	0	0	0	0	texture/env_corl_interior.dds	22
ply_corl_house_lg_s02_fp1	default	sound/default_interior.snd	sound/default_interior.snd		metal	0	0	0	0	0	texture/env_corl_interior.dds	22
ply_corl_house_m_s01_fp1	default	sound/default_interior.snd	sound/default_interior.snd		metal	0	0	0	0	0	texture/env_corl_interior.dds	22
ply_corl_house_m_s02_fp1	default	sound/default_interior.snd	sound/default_interior.snd		metal	0	0	0	0	0	texture/env_corl_interior.dds	22
ply_corl_house_sm_s01_fp1	default	sound/default_interior.snd	sound/default_interior.snd		metal	0	0	0	0	0	texture/env_corl_interior.dds	22
ply_corl_house_sm_s01_fp2	default	sound/default_interior.snd	sound/default_interior.snd		metal	0	0	0	0	0	texture/env_corl_interior.dds	22
ply_corl_house_sm_s02_fp1	default	sound/default_interior.snd	sound/default_interior.snd		metal	0	0	0	0	0	texture/env_corl_interior.dds	22
ply_corl_house_sm_s02_fp2	default	sound/default_interior.snd	sound/default_interior.snd		metal	0	0	0	0	0	texture/env_corl_interior.dds	22
ply_corl_idesigner_tent_s01	default	sound/default_interior.snd	sound/default_interior.snd	sound/music_corellia_salon.snd	carpet	0	0	0	0	0	texture/env_corl_interior.dds	22
ply_corl_merchant_tent_s01	default	sound/default_interior.snd	sound/default_interior.snd		stone	1	0.002	0.16	0.16	0.16	texture/env_yavn_grey.dds	22
ply_nboo_assoc_hall_civ_s01	default	sound/default_interior.snd	sound/default_interior.snd		wood	0	0	0	0	0	texture/env_ply_nboo_medhouse.dds	22
ply_nboo_capitol_s01	default	sound/default_interior.snd	sound/default_interior.snd		stone	0	0	0	0	0	texture/env_capitol.dds	22
ply_nboo_house_lg_s01_fp1	default	sound/default_interior.snd	sound/default_interior.snd		wood	0	0	0	0	0	texture/env_ply_nboo_medhouse.dds	22
ply_nboo_house_m_s01_fp1	default	sound/default_interior.snd	sound/default_interior.snd		wood	0	0	0	0	0	texture/env_ply_nboo_medhouse.dds	22
ply_nboo_house_m_s02_fp1	default	sound/default_interior.snd	sound/default_interior.snd		wood	0	0	0	0	0	texture/env_ply_nboo_medhouse.dds	22
ply_nboo_house_sm_s01_fp1	default	sound/default_interior.snd	sound/default_interior.snd		wood	0	0	0	0	0	texture/env_ply_nboo_medhouse.dds	22
ply_nboo_house_sm_s02_fp1	default	sound/default_interior.snd	sound/default_interior.snd		wood	0	0	0	0	0	texture/env_ply_nboo_medhouse.dds	22
ply_nboo_idesigner_tent_s01	default	sound/default_interior.snd	sound/default_interior.snd	sound/music_naboo_salon.snd	carpet	0	0	0	0	0	texture/env_ply_nboo_medhouse.dds	22
ply_nboo_merchant_tent_s01	default	sound/default_interior.snd	sound/default_interior.snd		stone	1	0.002	0.16	0.16	0.16	texture/env_yavn_grey.dds	22
ply_tato_assoc_hall_civ_s01	default	sound/amb_desert_inside.snd	sound/default_interior.snd		stone	0	0	0	0	0	texture/env_tato_house.dds	22
ply_tato_assoc_hall_civ_s02	default	sound/amb_desert_inside.snd	sound/default_interior.snd		stone	0	0	0	0	0	texture/env_tato_house.dds	22
ply_tato_capitol_s01	default	sound/default_interior.snd	sound/default_interior.snd		stone	0	0	0	0	0	texture/env_capitol.dds	22
ply_tato_house_lg_s01_fp1	default	sound/amb_desert_inside.snd	sound/default_interior.snd		stone	0	0	0	0	0	texture/env_tato_house.dds	22
ply_tato_house_m_s01_fp1	default	sound/amb_desert_inside.snd	sound/default_interior.snd		stone	0	0	0	0	0	texture/env_tato_house.dds	22
ply_tato_house_sm_s01_fp1	default	sound/amb_desert_inside.snd	sound/default_interior.snd		stone	0	0	0	0	0	texture/env_tato_house.dds	22
ply_tato_house_sm_s02_fp1	default	sound/amb_desert_inside.snd	sound/default_interior.snd		stone	0	0	0	0	0	texture/env_tato_house.dds	22
ply_tato_idesigner_tent_s01	default	sound/default_interior.snd	sound/default_interior.snd	sound/music_tatooine_salon.snd	carpet	0	0	0	0	0	texture/env_tato_house.dds	22
ply_tato_merchant_tent_s01	default	sound/default_interior.snd	sound/default_interior.snd		stone	1	0.002	0.16	0.16	0.16	texture/env_yavn_grey.dds	22
poi_all_bunker_allum_mine	default	sound/amb_geon_biolab_main_rm_lp.snd	sound/amb_geon_biolab_main_rm_lp.snd		metal	1	0.035	0.3	0.22	0.18	texture/env_all_cave.dds	22
poi_all_bunker_allum_mine	filtrationroom18	sound/amb_geon_biolab_main_rm_lp.snd	sound/amb_geon_biolab_main_rm_lp.snd		metal	1	0.04	0.3	0.3	0.3	texture/env_all_cave.dds	22
poi_all_bunker_allum_mine	largeroom	sound/amb_geon_biolab_main_rm_lp.snd	sound/amb_geon_biolab_main_rm_lp.snd		metal	1	0.02	0.3	0.22	0.18	texture/env_all_cave.dds	22
poi_all_bunker_allum_mine	medroom38	sound/amb_geon_biolab_main_rm_lp.snd	sound/amb_geon_biolab_main_rm_lp.snd		metal	1	0.02	0.3	0.22	0.18	texture/env_all_cave.dds	22
poi_all_bunker_allum_mine	observationroom17	sound/amb_geon_biolab_main_rm_lp.snd	sound/amb_geon_biolab_main_rm_lp.snd		metal	1	0.02	0.3	0.22	0.18	texture/env_all_cave.dds	22
poi_all_bunker_allum_mine	observationroom34	sound/amb_geon_biolab_main_rm_lp.snd	sound/amb_geon_biolab_main_rm_lp.snd		metal	1	0.02	0.3	0.22	0.18	texture/env_all_cave.dds	22
poi_all_bunker_allum_mine	storageroom24	sound/amb_geon_biolab_main_rm_lp.snd	sound/amb_geon_biolab_main_rm_lp.snd		metal	1	0.028	0.3	0.22	0.18	texture/env_all_cave.dds	22
poi_all_bunker_mad_bio_s01	default	sound/amb_combat_area_lp.snd	sound/amb_combat_area_lp.snd		metal	1	0.002	0.25	0.25	0.26	texture/env_all_cave.dds	22
poi_all_bunker_mad_bio_s01	grandcageroom	sound/amb_geon_biolab_main_rm_lp.snd	sound/amb_geon_biolab_main_rm_lp.snd		metal	1	0.002	0.25	0.25	0.26	texture/env_all_cave.dds	22
poi_all_bunker_mad_bio_s01	lab1	sound/amb_geon_biolab_reactr_rm_lp.snd	sound/amb_geon_biolab_reactr_rm_lp.snd		metal	1	0.002	0.25	0.25	0.26	texture/env_all_cave.dds	22
poi_all_bunker_mad_bio_s01	operatingroom1	sound/amb_geon_biolab_bacta_rm_lp.snd	sound/amb_geon_biolab_bacta_rm_lp.snd		metal	1	0.002	0.25	0.25	0.26	texture/env_all_cave.dds	22
poi_all_bunker_mad_bio_s01	operatingroom2	sound/amb_geon_biolab_bacta_rm_lp.snd	sound/amb_geon_biolab_bacta_rm_lp.snd		metal	1	0.002	0.25	0.25	0.26	texture/env_all_cave.dds	22
poi_all_impl_bunker_crimelord_retreat_s01	default	sound/amb_combat_area_lp.snd	sound/amb_combat_area_lp.snd		metal	1	0.002	0.25	0.25	0.26	texture/env_corl_interior.dds	22
poi_all_impl_bunker_imperial_prison_s01	default	sound/amb_combat_area_lp.snd	sound/amb_combat_area_lp.snd		metal	1	0.002	0.25	0.25	0.26	texture/env_corl_interior.dds	22
poi_all_impl_bunker_research_facility_s01	default	sound/amb_combat_area_lp.snd	sound/amb_combat_area_lp.snd		metal	1	0.002	0.25	0.25	0.26	texture/env_corl_interior.dds	22
poi_all_impl_bunker_s01	default	sound/amb_combat_area_lp.snd	sound/amb_combat_area_lp.snd		metal	1	0.002	0.25	0.25	0.26	texture/env_corl_interior.dds	22
poi_all_impl_bunker_s02	default	sound/amb_combat_area_lp.snd	sound/amb_combat_area_lp.snd		metal	1	0.002	0.25	0.25	0.26	texture/env_corl_interior.dds	22
poi_all_impl_bunker_s03	default	sound/amb_combat_area_lp.snd	sound/amb_combat_area_lp.snd		metal	1	0.002	0.25	0.25	0.26	texture/env_corl_interior.dds	22
poi_all_impl_bunker_small_outpost_s01	default	sound/amb_combat_area_lp.snd	sound/amb_combat_area_lp.snd		metal	1	0.002	0.25	0.25	0.26	texture/env_corl_interior.dds	22
poi_all_impl_bunker_small_outpost_s02	default	sound/amb_combat_area_lp.snd	sound/amb_combat_area_lp.snd		metal	1	0.002	0.25	0.25	0.26	texture/env_corl_interior.dds	22
poi_all_impl_bunker_warren_s01	default	sound/amb_combat_area_lp.snd	sound/amb_combat_area_lp.snd		metal	1	0.002	0.25	0.25	0.26	texture/env_corl_interior.dds	22
poi_all_lair_cave_small	default	sound/amb_cave_int_lp.snd	sound/amb_cave_int_lp.snd		stone	0	0	0	0	0	texture/env_yavn_grey.dds	22
poi_all_lair_cave_small_light	default	sound/amb_cave_int_lp.snd	sound/amb_cave_int_lp.snd		stone	0	0	0	0	0	texture/env_yavn_grey.dds	22
poi_all_rebl_bunker_deep_chasm_s01	default	sound/amb_combat_area_lp.snd	sound/amb_combat_area_lp.snd		metal	1	0.002	0.25	0.25	0.26	texture/env_bunker_rebl_hall.dds	22
thm_all_assoc_hall_civ_s01	default	sound/amb_desert_inside.snd	sound/default_interior.snd		stone	0	0	0.075	0.075	0.075	texture/env_corl_interior.dds	22
thm_all_cantina	default	sound/amb_cantina_medium_lp.snd	sound/amb_cantina_medium_lp.snd		stone	1	0.03	0.3	0.32	0.33	texture/env_corl_interior.dds	22
thm_all_cave_s01	default	sound/amb_cave_int_lp.snd	sound/amb_cave_int_lp.snd		stone	0	0.035	0.075	0.075	0.075	texture/env_all_cave.dds	22
thm_all_cave_s01_damprock	default	sound/amb_cave_int_lp.snd	sound/amb_cave_int_lp.snd	sound/music_ambience_underground_b.snd	stone	0	0.003	0.1	0.1	0.1	texture/env_all_cave.dds	22
thm_all_cave_s01_damprock	r11	sound/amb_cave_int_lp.snd	sound/amb_cave_int_lp.snd	sound/music_gloom_a.snd	stone	0	0.003	0.1	0.1	0.1	texture/env_all_cave.dds	22
thm_all_cave_s01_mirror	default	sound/amb_cave_int_lp.snd	sound/amb_cave_int_lp.snd		stone	0	0.003	0.1	0.1	0.1	texture/env_all_cave.dds	22
thm_all_cave_s01_mirror_damprock	default	sound/amb_cave_int_lp.snd	sound/amb_cave_int_lp.snd		stone	0	0.003	0.1	0.1	0.1	texture/env_all_cave.dds	22
thm_all_cave_s02	default	sound/amb_cave_int_lp.snd	sound/amb_cave_int_lp.snd		stone	0	0.003	0.1	0.1	0.1	texture/env_all_cave.dds	22
thm_all_cave_s02_damprock	default	sound/amb_cave_int_lp.snd	sound/amb_cave_int_lp.snd	sound/music_ambience_underground_b.snd	stone	1	0.005	0.31	0.41	0.42	texture/env_all_cave.dds	22
thm_all_cave_s02_mirror	default	sound/amb_cave_int_lp.snd	sound/amb_cave_int_lp.snd		stone	0	0.003	0.1	0.1	0.1	texture/env_all_cave.dds	22
thm_all_cave_s02_mirror_damprock	default	sound/amb_cave_int_lp.snd	sound/amb_cave_int_lp.snd		stone	0	0.003	0.1	0.1	0.1	texture/env_all_cave.dds	22
thm_all_cave_s03	default	sound/amb_cave_int_lp.snd	sound/amb_cave_int_lp.snd		stone	0	0.015	0.075	0.075	0.075	texture/env_all_cave.dds	22
thm_corl_assoc_hall_civ_s01	default	sound/amb_desert_inside.snd	sound/default_interior.snd		stone	0	0	0.075	0.075	0.075	texture/env_corl_interior.dds	22
thm_corl_cantina	default	sound/amb_cantina_medium_lp.snd	sound/amb_cantina_medium_lp.snd		metal	1	0.03	0.3	0.32	0.33	texture/env_corl_interior.dds	22
thm_corl_cave_s01	default	sound/amb_cave_int_lp.snd	sound/amb_cave_int_lp.snd	sound/music_event_danger.snd	stone	1	0.02	0.1	0.1	0.1	texture/env_yavn_grey.dds	22
thm_dath_mtn_clan_stronghold	default	sound/amb_swamp_indoors_lp.snd	sound/amb_swamp_night.snd	sound/music_gloom_a.snd	wood	1	0.06	0.18	0.12	0.05	texture/env_yavn_grey.dds	22
thm_dath_mtn_clan_stronghold	meditation	sound/amb_swamp_indoors_lp.snd	sound/amb_swamp_night.snd	sound/music_gloom_a.snd	wood	1	0.04	0.2	0.28	0.2	texture/env_yavn_grey.dds	22
thm_dath_mtn_clan_stronghold	throne	sound/amb_swamp_indoors_lp.snd	sound/amb_swamp_night.snd	sound/music_gloom_a.snd	wood	1	0.05	0.25	0.175	0.15	texture/env_yavn_grey.dds	22
thm_dath_night_sister_stronghold	default	sound/amb_nightsisters_lp.snd	sound/amb_nightsisters_lp.snd	sound/music_gloom_b.snd	wood	1	0.06	0.175	0.15	0.05	texture/env_yavn_grey.dds	22
thm_dath_night_sister_stronghold	r10	sound/amb_nightsisters_lp.snd	sound/amb_nightsisters_lp.snd	sound/music_gloom_b.snd	wood	1	0.07	0.3	0.1	0.05	texture/env_yavn_grey.dds	22
thm_dath_night_sister_stronghold	r12	sound/amb_nightsisters_lp.snd	sound/amb_nightsisters_lp.snd	sound/music_gloom_b.snd	wood	1	0.07	0.3	0.1	0.05	texture/env_yavn_grey.dds	22
thm_endr_cave_morag	big_room	sound/amb_cave_int_lp.snd	sound/amb_cave_int_lp.snd		stone	0	0.0075	0.1	0.1	0.1	texture/env_cave_morag.dds	22
thm_endr_cave_morag	default	sound/amb_cave_int_lp.snd	sound/amb_cave_int_lp.snd		stone	0	0.001	0.1	0.1	0.1	texture/env_all_cave.dds	22
thm_lok_nyms_stronghold	default	sound/default_interior.snd	sound/default_interior.snd		stone	1	0.002	0.16	0.16	0.16	texture/env_yavn_grey.dds	22
thm_nboo_assoc_hall_civ_s01	default	sound/amb_desert_inside.snd	sound/default_interior.snd		stone	0	0	0.075	0.075	0.075	texture/env_ply_nboo_medhouse.dds	22
thm_nboo_cantina	default	sound/amb_cantina_medium_lp.snd	sound/amb_cantina_medium_lp.snd		metal	1	0.03	0.3	0.32	0.33	texture/env_ply_nboo_medhouse.dds	22
thm_nboo_thed_emp_retreat	default	sound/default_interior.snd	sound/default_interior.snd	sound/music_emperor_theme.snd	wood	0	0	0	0	0	texture/env_ply_nboo_medhouse.dds	22
thm_nboo_thed_hangar	default	sound/default_interior.snd	sound/default_interior.snd		metal	1	0.0025	0.2	0.2	0.23	texture/env_capitol.dds	22
thm_nboo_thed_hangar	hangar	sound/default_interior.snd	sound/default_interior.snd		metal	0	0.0116	0.3	0.3	0.33	texture/env_capitol.dds	22
thm_nboo_thed_theed_palace	default	sound/amb_grasslands_indoors_lp.snd	sound/amb_swamp_night.snd	sound/music_theed_palace.snd	wood	1	0.001	0.4	0.4	0.42	texture/env_nboo_palace.dds	22
thm_newbie_hall	default	sound/amb_space_station_lp.snd	sound/amb_space_station_lp.snd		metal	1	0.015	0.35	0.35	0.4	texture/env_newbie.dds	22
thm_newbie_hall	r12	sound/amb_space_station_lp.snd	sound/amb_space_station_lp.snd		metal	1	0.0051	0.35	0.35	0.4	texture/env_newbie.dds	22
thm_newbie_hall	r13	sound/amb_space_station_lp.snd	sound/amb_space_station_lp.snd		metal	1	0.0051	0.35	0.35	0.4	texture/env_newbie.dds	22
thm_newbie_hall	r2	sound/amb_combat_area_lp.snd	sound/amb_combat_area_lp.snd		metal	0	0	0	0	0	texture/env_newbie.dds	22
thm_newbie_hall	r8	sound/amb_combat_area_lp.snd	sound/amb_combat_area_lp.snd		metal	1	0.0051	0.35	0.35	0.4	texture/env_newbie.dds	22
thm_newbie_hall_skippedtutorial	default	sound/amb_space_station_lp.snd	sound/amb_space_station_lp.snd		metal	1	0.015	0.35	0.35	0.4	texture/env_newbie.dds	22
thm_spc_asteroid_bunker_s01	default	sound/amb_kashyyk_int_avatar_dungeon.snd	sound/amb_kashyyk_int_avatar_dungeon.snd	sound/music_gloom_a.snd	metal	1	0.002	0.25	0.25	0.26	texture/env_all_cave.dds	22
thm_spc_corvette_dungeon	default	sound/amb_cloning_facility_int_lp.snd	sound/amb_cloning_facility_int_lp.snd		metal	1	0.002	0.2	0.2	0.2	texture/env_corl_interior.dds	22
